Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
RLFL,2025-09-18,445,445,434,434,-2.60 %,295.00,"128,781.00"
RLFL,2025-09-08,456.9,456.9,439.1,445.6,-1.05 %,"18,095.00","8,032,654.70"
RLFL,2025-09-07,452.5,467,449.8,450.32,-0.42 %,"12,746.00","5,765,627.10"
RLFL,2025-09-04,463.9,464,438.9,452.23,-1.74 %,"14,794.00","6,700,085.70"
RLFL,2025-09-03,467.9,467.9,460.1,460.23,-0.20 %,"10,713.00","4,943,966.50"
RLFL,2025-09-02,474,474,461,461.14,-1.18 %,"13,650.00","6,308,889.90"
RLFL,2025-09-01,468,469,459.7,466.64,0.39 %,"7,055.00","3,284,843.10"
RLFL,2025-08-31,479,479,463,464.85,-1.63 %,"21,556.00","10,032,450.60"
RLFL,2025-08-28,491.8,491.8,472,472.56,-2.61 %,"20,367.00","9,751,488.40"
RLFL,2025-08-27,480.8,489,472,485.2,2.91 %,"17,222.00","8,294,429.90"
RLFL,2025-08-26,475,475,468,471.47,0.29 %,"3,748.00","1,764,006.60"
RLFL,2025-08-25,465,471.3,465,470.11,0.01 %,"12,779.00","5,990,999.50"
RLFL,2025-08-24,476.24,485.7,468,470.04,-1.30 %,"12,403.00","5,886,107.90"
RLFL,2025-08-21,479.75,481.1,475,476.24,-0.73 %,"9,522.00","4,548,173.50"
RLFL,2025-08-20,480,485,479,479.75,-0.47 %,"13,824.00","6,649,992.10"
RLFL,2025-08-19,492.1,492.1,481,482,-0.18 %,"15,404.00","7,466,476.40"
RLFL,2025-08-18,491,491,481,482.86,0.31 %,"17,337.00","8,385,274.70"
RLFL,2025-08-17,490,493,480,481.38,-0.45 %,"11,861.00","5,736,283.20"
RLFL,2025-08-14,494,498,481,483.56,-0.18 %,"14,626.00","7,074,910.10"
RLFL,2025-08-13,495,495,482,484.42,-0.20 %,"18,815.00","9,170,897.90"
RLFL,2025-08-12,494,500,484.1,485.38,-1.69 %,"15,580.00","7,618,333.80"
RLFL,2025-08-11,513,513,493,493.72,-1.98 %,"23,862.00","11,882,508.10"
RLFL,2025-08-07,506.4,516.5,492,503.71,1.46 %,"15,141.00","7,651,495.30"
RLFL,2025-08-06,511.2,511.2,495,496.48,-0.94 %,"33,685.00","16,888,487.60"
RLFL,2025-08-05,515,522,497,501.19,-2.48 %,"34,349.00","17,406,934.20"
RLFL,2025-08-04,525,525,504,513.92,-0.23 %,"34,070.00","17,392,549.80"
RLFL,2025-08-03,525,535,513.5,515.11,-1.85 %,"37,980.00","19,760,704.30"
RLFL,2025-07-31,515,548,515,524.83,0.03 %,"53,086.00","28,139,826.50"
RLFL,2025-07-30,552,552,522.1,524.65,-3.36 %,"45,505.00","24,187,356.80"
RLFL,2025-07-29,549,558,538,542.9,0.61 %,"73,009.00","39,959,417.50"
RLFL,2025-07-28,520,540.6,511,539.61,4.02 %,"78,793.00","41,491,661.00"
RLFL,2025-07-27,540,541,515,518.75,-2.30 %,"81,429.00","43,049,808.70"
RLFL,2025-07-24,548,548,529,530.98,-1.29 %,"49,371.00","26,380,990.80"
RLFL,2025-07-23,525,549,517,537.92,4.07 %,"119,873.00","63,575,717.00"
RLFL,2025-07-22,497,519,497,516.88,2.90 %,"47,391.00","24,276,498.20"
RLFL,2025-07-21,509.9,510,500,502.29,-0.50 %,"45,187.00","22,715,406.90"
RLFL,2025-07-20,514,520,503,504.83,-1.59 %,"66,692.00","34,218,846.20"
RLFL,2025-07-17,510,522,504,513.01,1.73 %,"54,812.00","28,214,092.40"
RLFL,2025-07-16,512,514.8,504,504.27,-0.31 %,"26,423.00","13,483,985.40"
RLFL,2025-07-15,495,510,493,505.86,2.58 %,"41,117.00","20,728,646.80"
RLFL,2025-07-14,492,498,488,493.12,-0.97 %,"24,259.00","11,933,641.30"
RLFL,2025-07-13,504.1,524.3,495.1,497.97,0.75 %,"27,831.00","14,022,511.70"
RLFL,2025-07-10,499,507,492.2,494.25,0.53 %,"40,530.00","20,200,341.10"
RLFL,2025-07-09,500,500,490,491.66,-1.42 %,"19,060.00","9,415,741.70"
RLFL,2025-07-08,492.9,507,483.1,498.76,2.40 %,"25,584.00","12,671,316.00"
RLFL,2025-07-07,500,505.1,485.1,487.07,-3.59 %,"32,512.00","16,000,879.10"
RLFL,2025-07-06,500,525,489,505.23,2.27 %,"86,572.00","44,068,630.80"
RLFL,2025-07-03,478,499,474,494.02,4.93 %,"62,761.00","30,774,453.40"
RLFL,2025-07-02,466,477.9,464.2,470.8,2.49 %,"28,862.00","13,582,195.80"
RLFL,2025-07-01,465,465,458,459.36,0.01 %,"14,280.00","6,563,629.10"
RLFL,2025-06-30,469.9,469.9,456.3,459.31,-0.66 %,"3,546.00","1,633,238.30"
RLFL,2025-06-29,457.4,465,453,462.36,0.91 %,"11,272.00","5,143,015.00"
RLFL,2025-06-26,461.1,465,457,458.17,-0.55 %,"13,662.00","6,288,905.90"
RLFL,2025-06-25,461.1,467.8,460,460.69,-0.57 %,"5,817.00","2,695,951.80"
RLFL,2025-06-24,476,476,461.3,463.32,-1.14 %,"8,091.00","3,783,047.10"
RLFL,2025-06-23,470.1,472.5,460,468.66,1.17 %,"18,468.00","8,599,008.90"
RLFL,2025-06-22,460.1,469.3,460.1,463.25,-0.87 %,"14,999.00","6,993,012.40"
RLFL,2025-06-19,481,481,466.7,467.32,-1.01 %,"23,730.00","11,109,703.50"
RLFL,2025-06-18,480,480,471.3,472.1,-0.91 %,"11,305.00","5,356,641.70"
RLFL,2025-06-17,485,485,474.5,476.42,-0.30 %,"9,675.00","4,620,280.20"
RLFL,2025-06-16,486,486,475,477.83,-0.08 %,"10,578.00","5,057,112.10"
RLFL,2025-06-15,491,493,476,478.19,-1.48 %,"23,045.00","11,114,896.70"
RLFL,2025-06-12,487.9,500,475,485.38,0.40 %,"31,048.00","15,144,140.10"
RLFL,2025-06-11,505,505,482,483.47,-3.01 %,"24,332.00","11,939,079.30"
RLFL,2025-06-10,473,501.5,468,498.45,6.67 %,"39,259.00","19,092,169.80"
RLFL,2025-06-09,472,472,463,467.28,0.82 %,"14,961.00","6,989,805.30"
RLFL,2025-06-08,472,475.3,462,463.47,-0.88 %,"13,046.00","6,074,205.20"
RLFL,2025-06-05,479.9,479.9,465.5,467.59,-0.89 %,"14,500.00","6,808,418.70"
RLFL,2025-06-04,475,484.5,468.5,471.8,-1.31 %,"20,461.00","9,688,051.10"
RLFL,2025-06-03,489.6,489.6,478,478.05,-0.90 %,"7,997.00","3,837,480.10"
RLFL,2025-06-02,488.9,497.9,481.5,482.4,0.62 %,"14,025.00","6,794,879.90"
RLFL,2025-05-28,483,483,473.5,479.41,0.64 %,"10,981.00","5,262,442.00"
RLFL,2025-05-27,480,488,475,476.35,-1.45 %,"16,018.00","7,671,070.70"
RLFL,2025-05-26,496,514,482,483.34,-0.82 %,"17,319.00","8,513,109.20"
RLFL,2025-05-25,496.5,496.5,482,487.32,-0.36 %,"7,850.00","3,827,649.90"
RLFL,2025-05-22,497,500,485,489.09,-0.59 %,"22,515.00","11,043,827.40"
RLFL,2025-05-21,501.3,530,490,491.99,0.10 %,"35,747.00","17,936,006.80"
RLFL,2025-05-20,484.9,495,476.1,491.52,2.65 %,"25,013.00","12,102,431.70"
RLFL,2025-05-19,485,493,477,478.85,0.69 %,"15,053.00","7,274,830.70"
RLFL,2025-05-18,480.2,489,475,475.57,-0.98 %,"17,667.00","8,452,188.90"
RLFL,2025-05-15,495,495,478,480.27,-1.46 %,"18,009.00","8,651,344.10"
RLFL,2025-05-14,490,505,486,487.39,-0.21 %,"12,892.00","6,370,119.40"
RLFL,2025-05-13,498.1,505,483,488.43,-2.04 %,"16,535.00","8,103,487.80"
RLFL,2025-05-11,516,517,497,498.58,-3.64 %,"19,349.00","9,721,809.30"
RLFL,2025-05-08,503,533.5,487.1,517.39,3.75 %,"48,076.00","24,667,214.80"
RLFL,2025-05-07,469,500,469,498.7,6.15 %,"30,416.00","14,721,655.70"
RLFL,2025-05-06,481,488,469,469.8,-2.48 %,"29,141.00","13,750,017.20"
RLFL,2025-05-05,481,490,477.2,481.74,-0.08 %,"13,568.00","6,541,755.20"
RLFL,2025-05-04,500,500,480.2,482.12,-2.21 %,"33,703.00","16,343,072.20"
RLFL,2025-04-30,489.8,506,489.8,493,-1.35 %,"23,805.00","11,732,323.80"
RLFL,2025-04-29,494.3,521,494.3,499.77,-0.91 %,"17,470.00","8,748,423.00"
RLFL,2025-04-28,500,525,500,504.34,1.32 %,"16,878.00","8,547,917.80"
RLFL,2025-04-27,513,513,497,497.75,-1.62 %,"36,684.00","18,421,945.60"
