Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
RNLI,2025-09-18,439.5,439.5,423,424,-5.45 %,"2,739.00","1,179,713.60"
RNLI,2025-09-08,451,459,447,448.43,-1.45 %,"34,612.00","15,604,694.90"
RNLI,2025-09-07,455.5,465.9,453.3,455.04,-1.31 %,"26,746.00","12,230,279.50"
RNLI,2025-09-04,460.2,469.4,458.7,461.1,-0.54 %,"26,402.00","12,171,094.50"
RNLI,2025-09-03,465.1,470,463,463.6,-0.63 %,"17,682.00","8,224,095.40"
RNLI,2025-09-02,472.66,474,466,466.56,-1.29 %,"25,274.00","11,865,289.10"
RNLI,2025-09-01,479.1,479.1,467,472.66,0.62 %,"70,711.00","33,446,127.90"
RNLI,2025-08-31,478,480,469.3,469.76,-2.12 %,"41,368.00","19,521,917.90"
RNLI,2025-08-28,491,495,478.5,479.95,-1.90 %,"85,710.00","41,969,158.90"
RNLI,2025-08-27,476,498,473,489.23,2.61 %,"177,939.00","86,087,162.40"
RNLI,2025-08-26,475.65,482.9,472.1,476.78,0.24 %,"27,492.00","13,187,817.10"
RNLI,2025-08-25,466,476,466,475.65,0.22 %,"21,228.00","10,028,343.10"
RNLI,2025-08-24,469,494,469,474.59,-0.56 %,"104,290.00","50,620,456.60"
RNLI,2025-08-21,475,484.5,475,477.27,0.26 %,"37,313.00","17,891,601.50"
RNLI,2025-08-20,485,488,475.5,476.02,-1.51 %,"57,854.00","27,903,183.90"
RNLI,2025-08-19,479.68,485,476.1,483.3,0.75 %,"90,215.00","43,572,401.10"
RNLI,2025-08-18,464.9,482.4,464.9,479.68,1.13 %,"70,925.00","33,846,938.30"
RNLI,2025-08-17,470,480,466.1,474.34,0.16 %,"121,451.00","57,141,896.60"
RNLI,2025-08-14,475,484.1,473,473.57,-0.46 %,"16,108.00","7,652,603.90"
RNLI,2025-08-13,475,490,475,475.75,-0.79 %,"39,713.00","19,136,555.30"
RNLI,2025-08-12,480,482,478.3,479.54,-1.11 %,"13,537.00","6,492,078.10"
RNLI,2025-08-11,485.1,504.3,481.1,484.94,0.02 %,"117,489.00","57,678,806.30"
RNLI,2025-08-07,472,498,472,484.84,1.59 %,"56,464.00","27,466,344.20"
RNLI,2025-08-06,485,485,476,477.25,-1.03 %,"21,983.00","10,512,253.90"
RNLI,2025-08-05,489,490,480.5,482.2,-1.47 %,"24,667.00","11,951,173.30"
RNLI,2025-08-04,485,490,481.2,489.39,0.81 %,"31,899.00","15,479,232.00"
RNLI,2025-08-03,492.3,497.5,484,485.45,-2.29 %,"77,607.00","37,835,375.60"
RNLI,2025-07-31,509,510,495.3,496.84,-1.64 %,"99,581.00","50,043,190.20"
RNLI,2025-07-30,522,522,504,505.14,-2.43 %,"53,155.00","27,070,910.20"
RNLI,2025-07-29,504,521.9,504,517.72,1.00 %,"148,900.00","77,099,117.90"
RNLI,2025-07-28,510.1,514.9,502.4,512.59,0.02 %,"67,664.00","34,386,766.70"
RNLI,2025-07-27,525.7,526,507,512.47,-0.59 %,"186,861.00","96,927,075.20"
RNLI,2025-07-24,510,520.9,509,515.49,1.09 %,"189,096.00","97,412,332.40"
RNLI,2025-07-23,520,520,493,509.94,-0.09 %,"138,802.00","69,929,038.70"
RNLI,2025-07-22,492,513,492,510.42,3.56 %,"172,965.00","87,433,302.20"
RNLI,2025-07-21,490,496,482,492.86,-0.19 %,"56,981.00","27,986,471.50"
RNLI,2025-07-20,501.9,510,488,493.82,0.35 %,"149,947.00","74,931,160.20"
RNLI,2025-07-17,475,494,475,492.08,3.23 %,"133,635.00","65,476,964.50"
RNLI,2025-07-16,472,480,471.1,476.68,1.02 %,"83,840.00","40,065,325.10"
RNLI,2025-07-15,468,474,461.3,471.85,0.84 %,"19,662.00","9,223,748.70"
RNLI,2025-07-14,473,473,466,467.92,-1.37 %,"20,220.00","9,479,935.70"
RNLI,2025-07-13,485,485,472.3,474.4,-0.43 %,"58,025.00","27,624,543.30"
RNLI,2025-07-10,465.2,480,465.2,476.45,0.75 %,"27,983.00","13,289,608.50"
RNLI,2025-07-09,478,478,470.5,472.92,0.05 %,"30,840.00","14,595,442.00"
RNLI,2025-07-08,465,476.3,465,472.7,0.29 %,"25,563.00","11,992,488.40"
RNLI,2025-07-07,480,480,468,471.33,-0.69 %,"163,996.00","77,825,234.40"
RNLI,2025-07-06,480.7,485,473.7,474.62,-1.06 %,"97,161.00","46,556,898.40"
RNLI,2025-07-03,464.9,480,455.7,479.7,4.40 %,"203,534.00","95,893,545.90"
RNLI,2025-07-02,455,462.7,446,459.5,2.38 %,"41,545.00","18,973,789.20"
RNLI,2025-07-01,447.9,450,440,448.83,2.06 %,"16,532.00","7,365,164.00"
RNLI,2025-06-30,436,444.5,436,439.76,0.55 %,"15,057.00","6,632,589.20"
RNLI,2025-06-29,431,439,430,437.35,1.61 %,"20,776.00","9,025,085.60"
RNLI,2025-06-26,431.1,435.9,430,430.42,-0.56 %,"21,505.00","9,290,372.40"
RNLI,2025-06-25,434.1,436,431.2,432.83,-0.28 %,"10,860.00","4,702,309.10"
RNLI,2025-06-24,433.1,440,433,434.06,-0.33 %,"11,544.00","5,028,946.10"
RNLI,2025-06-23,440,441,432,435.5,0.38 %,"15,422.00","6,718,002.10"
RNLI,2025-06-22,440,441,433.2,433.84,-1.95 %,"30,116.00","13,113,085.70"
RNLI,2025-06-19,443,450,441,442.48,-0.32 %,"22,663.00","10,025,891.50"
RNLI,2025-06-18,443.7,448.5,442.4,443.9,-0.10 %,"12,894.00","5,721,995.40"
RNLI,2025-06-17,447,448,441.2,444.36,0.04 %,"17,202.00","7,640,992.50"
RNLI,2025-06-16,444.45,447,440.5,444.18,-0.06 %,"19,820.00","8,819,456.70"
RNLI,2025-06-15,443,447,443,444.45,0.11 %,"14,184.00","6,308,587.70"
RNLI,2025-06-12,445,447,442,443.95,-0.88 %,"20,647.00","9,176,376.50"
RNLI,2025-06-11,454.9,454.9,446.1,447.88,-1.03 %,"18,780.00","8,426,103.30"
RNLI,2025-06-10,446,457.9,446,452.56,1.74 %,"26,927.00","12,186,117.50"
RNLI,2025-06-09,455,455,440,444.8,-1.74 %,"50,168.00","22,316,118.70"
RNLI,2025-06-08,514.5,514.5,505.5,506.99,-0.39 %,"88,911.00","45,243,686.40"
RNLI,2025-06-05,511,513.9,505,508.98,-0.37 %,"37,635.00","19,142,527.40"
RNLI,2025-06-04,520,520,501.4,510.89,-0.13 %,"26,180.00","13,306,489.20"
RNLI,2025-06-03,511,517.9,510,511.54,-0.36 %,"38,169.00","19,548,138.90"
RNLI,2025-06-02,519.3,519.8,512.1,513.37,0.67 %,"55,405.00","28,597,890.70"
RNLI,2025-05-28,508,513.9,506.1,509.95,0.25 %,"24,481.00","12,455,962.60"
RNLI,2025-05-27,522.6,522.6,507.1,508.7,-0.74 %,"42,156.00","21,533,111.90"
RNLI,2025-05-26,523.8,534.2,511.6,512.51,-0.21 %,"52,388.00","27,062,218.30"
RNLI,2025-05-25,527.1,527.1,512,513.61,-0.62 %,"32,153.00","16,585,626.90"
RNLI,2025-05-22,527.7,527.7,515,516.83,-0.10 %,"49,440.00","25,649,289.10"
RNLI,2025-05-21,525,545,515.9,517.36,0.51 %,"102,289.00","53,636,051.20"
RNLI,2025-05-20,506,518,497,514.74,3.52 %,"46,394.00","23,585,372.30"
RNLI,2025-05-19,500,503,496.1,497.23,0.22 %,"21,048.00","10,506,257.10"
RNLI,2025-05-18,496.1,505.9,493.4,496.13,-0.01 %,"48,662.00","24,212,012.30"
RNLI,2025-05-15,498,506.8,494.3,496.2,-0.52 %,"68,476.00","34,087,036.60"
RNLI,2025-05-14,505,509.9,498,498.81,-1.11 %,"56,922.00","28,598,143.80"
RNLI,2025-05-13,514,518,503.3,504.43,-0.93 %,"75,396.00","38,218,946.90"
RNLI,2025-05-11,510.9,516.9,506.6,509.14,-0.36 %,"83,109.00","42,343,171.10"
RNLI,2025-05-08,525,530,510,510.96,-2.19 %,"174,426.00","90,050,829.70"
RNLI,2025-05-07,524.2,527.5,515.1,522.38,1.63 %,"190,103.00","99,125,605.40"
RNLI,2025-05-06,509.9,524.7,505.3,514.01,1.89 %,"101,001.00","52,130,103.10"
RNLI,2025-05-05,523.5,534.3,496,504.46,-1.93 %,"224,490.00","113,241,160.40"
RNLI,2025-05-04,517,519,510.5,514.37,-0.13 %,"64,447.00","33,212,831.60"
RNLI,2025-04-30,514,520,513.2,515.02,0.02 %,"52,613.00","27,123,798.90"
RNLI,2025-04-29,518,523.9,514,514.93,-0.92 %,"29,381.00","15,208,886.00"
RNLI,2025-04-28,533,534.8,518,519.73,-0.76 %,"90,906.00","47,860,905.00"
RNLI,2025-04-27,520,535,516,523.69,1.00 %,"112,455.00","59,580,047.80"
RNLI,2025-04-24,516,523,514,518.52,-0.35 %,"53,032.00","27,459,961.80"
RNLI,2025-04-23,527,534.8,520,520.33,-1.34 %,"43,023.00","22,466,936.80"
RNLI,2025-04-22,530,540,526,527.41,-1.99 %,"49,396.00","26,189,719.70"
RNLI,2025-04-21,528.1,544,528.1,538.12,0.45 %,"32,847.00","17,559,580.50"
RNLI,2025-04-20,544.8,544.8,535.1,535.72,-2.03 %,"32,171.00","17,411,849.40"
RNLI,2025-04-17,547.5,561,540.1,546.8,1.38 %,"81,681.00","44,581,889.50"
RNLI,2025-04-16,523,548,523,539.35,1.82 %,"58,647.00","31,487,889.20"
RNLI,2025-04-15,525.1,538,525.1,529.72,-0.76 %,"22,102.00","11,782,540.50"
RNLI,2025-04-13,538,540,532,533.75,-0.86 %,"11,672.00","6,229,760.50"
RNLI,2025-04-10,540,545,534.1,538.4,0.76 %,"38,220.00","20,543,406.60"
RNLI,2025-04-09,528,539,528,534.33,1.10 %,"78,993.00","42,251,981.90"
RNLI,2025-04-08,538,538,524,528.53,-1.60 %,"45,108.00","23,845,555.40"
RNLI,2025-04-07,537,547,533.3,537.12,-1.23 %,"45,587.00","24,639,841.80"
RNLI,2025-04-03,550,554.5,543,543.79,-0.95 %,"114,506.00","62,762,469.70"
RNLI,2025-04-02,550,555,541,549,-0.17 %,"51,578.00","28,415,891.60"
RNLI,2025-04-01,553,554.9,540,549.91,-0.42 %,"79,154.00","43,266,872.40"
RNLI,2025-03-30,544,555,536,552.22,1.47 %,"174,878.00","95,773,793.80"
RNLI,2025-03-27,527,549,520,544.22,1.56 %,"100,760.00","54,216,930.50"
RNLI,2025-03-26,528,545,519.2,535.87,2.81 %,"70,480.00","37,371,007.10"
RNLI,2025-03-25,535,537,515,521.23,-2.91 %,"74,570.00","39,297,633.90"
