Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
SANVI,2025-09-18,590,590,544,544,-9.21 %,"2,090.00","1,205,145.00"
SANVI,2025-09-08,620,620,595.3,599.19,-3.35 %,"23,406.00","14,156,469.20"
SANVI,2025-09-07,637,652,618.4,619.93,-2.26 %,"20,187.00","12,631,988.30"
SANVI,2025-09-04,645,645,630,634.25,-2.47 %,"28,262.00","17,922,049.40"
SANVI,2025-09-03,670,675,650,650.32,-1.97 %,"24,222.00","15,848,943.00"
SANVI,2025-09-02,669,673,661,663.41,-1.67 %,"15,907.00","10,610,937.00"
SANVI,2025-09-01,670,680,670,674.65,-0.90 %,"18,680.00","12,578,017.80"
SANVI,2025-08-31,700,700,678.1,680.78,-2.20 %,"23,562.00","16,091,696.40"
SANVI,2025-08-28,710,720,695.1,696.08,-2.10 %,"27,352.00","19,218,534.20"
SANVI,2025-08-27,725.1,725.1,701,711.02,-0.01 %,"18,576.00","13,214,000.50"
SANVI,2025-08-26,705,726.2,696,711.06,0.91 %,"21,854.00","15,626,912.00"
SANVI,2025-08-25,705,710,690.1,704.65,0.58 %,"15,757.00","11,063,441.00"
SANVI,2025-08-24,720.1,722,698.8,700.6,-3.98 %,"30,382.00","21,503,655.90"
SANVI,2025-08-21,720,731.5,716.1,729.67,0.96 %,"21,206.00","15,331,724.40"
SANVI,2025-08-20,730,748.9,715.5,722.74,-0.71 %,"35,038.00","25,713,375.40"
SANVI,2025-08-19,675,741,675,727.93,6.98 %,"50,197.00","36,009,988.50"
SANVI,2025-08-18,670,690,661,680.44,0.99 %,"25,769.00","17,514,847.80"
SANVI,2025-08-17,700,705,670.2,673.74,-4.42 %,"52,306.00","35,738,071.10"
SANVI,2025-08-14,713,719,703,704.89,-1.21 %,"33,064.00","23,387,648.80"
SANVI,2025-08-13,715.4,729,710.2,713.54,-1.37 %,"28,119.00","20,194,429.10"
SANVI,2025-08-12,745,748,721,723.42,-3.20 %,"48,465.00","35,418,004.70"
SANVI,2025-08-11,773.7,773.7,741.9,747.32,-3.34 %,"56,104.00","42,323,797.00"
SANVI,2025-08-07,790,800,770,773.14,-2.71 %,"54,284.00","42,338,593.30"
SANVI,2025-08-06,775,812,751,794.65,4.49 %,"54,477.00","42,826,017.80"
SANVI,2025-08-05,770,800,753,760.53,-2.34 %,"47,554.00","36,465,315.20"
SANVI,2025-08-04,787,830,729,778.73,-2.95 %,"185,618.00","140,552,114.60"
SANVI,2025-08-03,900,900,802.4,802.4,-9.99 %,"216,419.00","177,676,816.90"
SANVI,2025-07-31,862.8,930.4,845.9,891.5,5.39 %,"279,583.00","249,481,931.40"
SANVI,2025-07-30,784.3,845.9,784.3,845.9,10.00 %,"4,200.00","3,546,923.50"
SANVI,2025-07-29,713,769,713,769,10.00 %,"3,416.00","2,625,469.80"
SANVI,2025-07-28,648,699.1,648,699.1,9.99 %,"2,644.00","1,847,131.80"
SANVI,2025-07-27,589.4,635.6,589.4,635.6,9.98 %,"1,170.00","742,517.00"
SANVI,2025-07-24,535.9,577.9,535.9,577.9,9.99 %,690.00,"397,721.00"
SANVI,2025-07-23,487.2,525.4,487.2,525.4,9.99 %,710.00,"372,096.00"
SANVI,2025-07-22,442.9,477.7,442.9,477.7,9.99 %,500.00,"237,994.00"
SANVI,2025-07-21,388.7,434.3,388.7,434.3,9.98 %,450.00,"193,508.00"
SANVI,2025-07-20,359,394.9,359,394.9,0.00 %,350.00,"136,429.00"
