Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
SAPDBL,2025-09-18,761.6,761.6,699.4,699.4,-9.99 %,"5,569.00","3,960,124.00",0.0
SAPDBL,2025-09-08,790.0,799.7,775.0,777.05,-2.52 %,"18,587.00","14,536,360.30",0.0
SAPDBL,2025-09-07,775.0,800.0,775.0,797.12,1.24 %,"32,087.00","25,232,542.10",0.0
SAPDBL,2025-09-04,795.0,820.0,782.0,787.35,-2.78 %,"37,980.00","30,003,918.50",0.0
SAPDBL,2025-09-03,820.0,832.0,804.0,809.84,-1.97 %,"24,847.00","20,269,593.00",0.0
SAPDBL,2025-09-02,831.0,846.5,822.0,826.13,-1.42 %,"33,633.00","28,004,059.70",0.0
SAPDBL,2025-09-01,839.0,845.0,827.2,838.03,0.47 %,"16,043.00","13,388,280.50",0.0
SAPDBL,2025-08-31,865.0,865.0,830.8,834.09,-1.91 %,"18,923.00","15,923,390.10",0.0
SAPDBL,2025-08-28,854.0,871.0,845.1,850.29,0.29 %,"42,564.00","36,384,601.20",0.0
SAPDBL,2025-08-27,834.0,867.0,829.0,847.84,2.03 %,"45,642.00","38,761,706.40",0.0
SAPDBL,2025-08-26,844.8,844.8,827.0,830.98,-0.09 %,"10,997.00","9,142,331.90",0.0
SAPDBL,2025-08-25,829.53,842.6,826.1,831.69,0.26 %,"17,301.00","14,414,134.00",0.0
SAPDBL,2025-08-24,840.1,866.7,827.3,829.53,-2.43 %,"33,173.00","27,799,888.70",0.0
SAPDBL,2025-08-21,869.0,869.0,836.0,850.16,-0.32 %,"29,573.00","25,319,122.90",0.0
SAPDBL,2025-08-20,845.3,873.0,845.3,852.86,-1.12 %,"26,442.00","22,708,910.30",0.0
SAPDBL,2025-08-19,822.1,869.8,822.1,862.55,2.83 %,"44,782.00","38,228,536.10",0.0
SAPDBL,2025-08-18,836.0,880.0,833.0,838.84,-1.64 %,"49,893.00","42,166,661.40",0.0
SAPDBL,2025-08-17,885.0,886.2,850.0,852.8,-3.85 %,"31,841.00","27,431,197.80",0.0
SAPDBL,2025-08-14,850.9,907.0,826.0,886.91,2.16 %,"110,233.00","97,588,823.30",0.0
SAPDBL,2025-08-13,825.0,910.0,825.0,868.17,3.33 %,"67,474.00","58,569,459.50",0.0
SAPDBL,2025-08-12,877.0,877.0,836.0,840.2,-4.20 %,"75,198.00","63,745,709.90",0.0
SAPDBL,2025-08-11,924.0,924.0,855.6,876.99,-3.20 %,"80,646.00","71,529,582.10",0.0
