Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
SBI,2025-12-11,390,397.8,387.5,397.7,1.74 %,"41,568.00","16,417,145.50"
SBI,2025-12-10,397,397,388,390.9,-0.79 %,"37,223.00","14,527,325.40"
SBI,2025-12-09,388,398,388,394,-0.20 %,"17,190.00","6,775,385.40"
SBI,2025-12-08,399.5,399.5,389.3,394.8,-1.03 %,"14,933.00","5,862,221.30"
SBI,2025-12-07,395.5,398.9,393.3,398.9,-0.25 %,"7,234.00","2,860,152.30"
SBI,2025-12-03,395,402.5,395,399.9,0.65 %,"54,859.00","21,879,225.50"
SBI,2025-12-02,401,401,397,397.3,-0.92 %,"14,130.00","5,628,097.40"
SBI,2025-12-01,396.9,404.8,390,401,-0.99 %,"15,803.00","6,270,141.20"
SBI,2025-11-30,413.9,413.9,397.5,405,-0.44 %,"25,352.00","10,150,507.40"
SBI,2025-11-27,404,420.2,396,406.8,1.65 %,"34,531.00","13,919,986.40"
SBI,2025-11-26,400,404,395,400.2,0.33 %,"31,253.00","12,471,763.10"
SBI,2025-11-25,399.8,401.5,392,398.9,0.76 %,"27,999.00","11,143,737.00"
SBI,2025-11-24,399.8,415.8,385,395.9,0.99 %,"21,841.00","8,611,400.00"
SBI,2025-11-23,394,394,386.3,392,0.26 %,"18,073.00","7,050,812.30"
SBI,2025-11-20,388,393,387.1,391,-0.94 %,"10,357.00","4,025,667.00"
SBI,2025-11-19,394,396,386.7,394.7,0.05 %,"9,727.00","3,797,149.10"
SBI,2025-11-18,385.1,395,385.1,394.5,0.46 %,"25,420.00","9,997,983.30"
SBI,2025-11-17,380.1,392.7,379.1,392.7,1.53 %,"32,180.00","12,364,637.90"
SBI,2025-11-16,398.9,398.9,378,386.8,-1.20 %,"19,565.00","7,516,139.50"
SBI,2025-11-13,390,391.5,383.5,391.5,0.13 %,"8,981.00","3,484,499.50"
SBI,2025-11-12,395,395,388,391,-1.01 %,"11,197.00","4,376,927.10"
SBI,2025-11-11,389.3,395,389.2,395,1.28 %,"16,323.00","6,381,228.20"
SBI,2025-11-10,400,400,389,390,-2.26 %,"27,702.00","10,862,828.00"
SBI,2025-11-09,403,403,392,399,-0.25 %,"32,720.00","13,046,696.30"
SBI,2025-11-06,399.1,402.9,397,400,0.00 %,"13,849.00","5,533,398.80"
SBI,2025-11-05,393.1,400,393.1,400,0.00 %,"22,079.00","8,778,531.50"
SBI,2025-11-04,409,426,397.7,400,-0.50 %,"25,835.00","10,474,135.50"
SBI,2025-11-03,397,404.8,397,402,0.25 %,"15,862.00","6,366,537.40"
SBI,2025-11-02,403.8,404.9,397.1,401,0.25 %,"21,767.00","8,728,246.90"
SBI,2025-10-30,393.1,404,393.1,400,0.25 %,"73,722.00","29,644,106.10"
SBI,2025-10-29,415,435,395.7,399,-2.92 %,"57,003.00","23,153,456.70"
SBI,2025-10-28,390.1,412.9,389,411,5.96 %,"122,589.00","48,454,211.50"
SBI,2025-10-26,383,389.8,375.4,387.9,-0.51 %,"12,365.00","4,785,200.10"
SBI,2025-10-19,375,391.1,375,389.9,3.67 %,"31,829.00","12,198,000.40"
SBI,2025-10-16,384.8,385.5,376,376.1,-0.50 %,"13,570.00","5,133,791.30"
SBI,2025-10-15,379,381.9,376,378,-1.41 %,"15,360.00","5,796,290.80"
SBI,2025-10-14,384,385,377.7,383.4,-0.42 %,"19,256.00","7,343,235.20"
SBI,2025-10-13,382,385,374,385,2.69 %,"27,498.00","10,384,202.60"
SBI,2025-10-12,378,380,368,374.9,-2.29 %,"57,477.00","21,376,232.70"
SBI,2025-10-09,386.9,410,381.1,383.7,1.11 %,"35,439.00","13,688,277.20"
SBI,2025-10-08,384,384,372,379.5,-1.17 %,"17,904.00","6,728,850.50"
SBI,2025-10-07,396,396,383.1,384,-2.29 %,"13,295.00","5,125,512.80"
SBI,2025-09-28,396,398,391,393,-0.73 %,"3,248.00","1,274,964.90"
SBI,2025-09-25,395,396,388,395.9,0.23 %,"8,475.00","3,307,777.30"
SBI,2025-09-24,391,400,389,395,0.59 %,"20,603.00","8,116,508.00"
SBI,2025-09-23,391.5,394,387,392.7,2.26 %,"20,379.00","7,952,583.20"
SBI,2025-09-21,370,389,363,384.03,1.89 %,"25,820.00","9,804,723.00"
SBI,2025-09-18,376.9,376.9,376.9,376.9,-1.97 %,50.00,"18,845.00"
SBI,2025-09-08,386,395,384.1,384.49,-2.03 %,"35,408.00","13,763,514.80"
SBI,2025-09-07,385,396,385,392.44,1.66 %,"50,149.00","19,648,358.10"
SBI,2025-09-04,398.7,398.7,384,386.05,-1.25 %,"18,097.00","6,979,600.20"
SBI,2025-09-03,391,397.8,389,390.92,-1.40 %,"12,725.00","5,003,342.70"
SBI,2025-09-02,402.1,402.1,395.6,396.48,0.56 %,"32,178.00","12,795,772.10"
SBI,2025-09-01,398.9,398.9,387.1,394.26,0.81 %,"39,707.00","15,591,593.80"
SBI,2025-08-31,385,394.5,384.6,391.09,0.07 %,"14,170.00","5,523,243.00"
SBI,2025-08-28,387.5,395,387.5,390.82,-0.83 %,"22,671.00","8,874,313.70"
SBI,2025-08-27,386,394.7,386,394.1,1.88 %,"18,563.00","7,284,576.00"
SBI,2025-08-26,386,393.7,385,386.84,0.38 %,"11,197.00","4,348,314.60"
SBI,2025-08-25,389,389,382.7,385.37,0.62 %,"11,509.00","4,436,308.30"
SBI,2025-08-24,385,390,382,382.98,-0.60 %,"19,702.00","7,567,244.40"
SBI,2025-08-21,380.2,390,380.2,385.29,-0.67 %,"43,357.00","16,687,123.40"
SBI,2025-08-20,391,397,386.7,387.89,-0.72 %,"29,015.00","11,281,571.70"
SBI,2025-08-19,395,395,385,390.71,0.40 %,"16,999.00","6,631,331.20"
SBI,2025-08-18,382.9,401.5,382.9,389.14,-0.39 %,"14,811.00","5,786,870.80"
SBI,2025-08-17,395,399,390,390.67,-0.93 %,"16,089.00","6,296,718.70"
SBI,2025-08-14,405.1,407,390.3,394.34,-2.92 %,"75,653.00","30,007,147.80"
SBI,2025-08-13,410.01,412,406,406.22,-0.92 %,"19,043.00","7,780,645.80"
SBI,2025-08-12,413,418,409.5,410.01,-1.39 %,"14,584.00","6,015,123.30"
SBI,2025-08-11,423,424,415,415.79,-0.31 %,"40,729.00","16,985,709.70"
SBI,2025-08-07,406.6,423,406.6,417.07,0.54 %,"16,998.00","7,092,464.20"
SBI,2025-08-06,426.8,426.8,414.1,414.83,-0.88 %,"18,502.00","7,723,716.40"
SBI,2025-08-05,432,440.7,418,418.51,-1.22 %,"40,757.00","17,148,191.00"
SBI,2025-08-04,407.4,426,407.4,423.67,1.93 %,"23,648.00","9,934,436.10"
SBI,2025-08-03,422.1,427,412,415.64,-2.34 %,"37,697.00","15,785,700.40"
SBI,2025-07-31,436.8,436.8,422.9,425.62,-1.67 %,"71,257.00","30,456,548.50"
SBI,2025-07-30,451.4,451.4,432,432.85,-2.21 %,"62,428.00","27,342,773.30"
SBI,2025-07-29,441.9,444.9,435,442.63,2.16 %,"105,474.00","46,540,909.90"
SBI,2025-07-28,432.1,435,424,433.28,0.45 %,"131,139.00","55,955,147.40"
SBI,2025-07-27,445,445,431,431.36,-1.75 %,"139,379.00","60,547,884.40"
SBI,2025-07-24,442,445,437.2,439.05,-0.75 %,"49,660.00","21,821,007.80"
SBI,2025-07-23,448,451,438,442.36,-0.13 %,"69,273.00","30,788,071.30"
SBI,2025-07-22,445.9,447,436,442.95,1.15 %,"157,090.00","69,378,949.70"
SBI,2025-07-21,430.3,443.4,430.3,437.9,0.53 %,"60,040.00","26,322,654.50"
SBI,2025-07-20,440.1,446,434,435.58,-1.41 %,"77,492.00","34,120,799.40"
SBI,2025-07-17,446,452,440,441.81,0.42 %,"234,926.00","104,252,725.90"
SBI,2025-07-16,444,448.1,438.1,439.98,0.42 %,"342,412.00","150,954,786.80"
SBI,2025-07-15,430,440.5,425.1,438.12,1.88 %,"205,262.00","88,015,248.80"
SBI,2025-07-14,435,439,428.3,430.04,-1.94 %,"156,334.00","67,653,171.50"
SBI,2025-07-13,439.8,447,431.2,438.53,1.69 %,"231,954.00","101,917,624.30"
SBI,2025-07-10,411,433,411,431.24,4.79 %,"230,984.00","97,770,008.20"
SBI,2025-07-09,405.1,412.9,405.1,411.54,0.95 %,"38,878.00","15,901,532.00"
SBI,2025-07-08,410,410,404,407.66,-0.34 %,"35,451.00","14,391,691.60"
SBI,2025-07-07,408.6,412.8,405,409.05,-0.97 %,"105,350.00","43,058,896.10"
SBI,2025-07-06,410,418,405.2,413.05,0.68 %,"52,980.00","21,845,533.50"
SBI,2025-07-03,403.4,415.5,403.4,410.28,0.22 %,"55,181.00","22,658,477.10"
SBI,2025-07-02,410.8,411,400,409.36,1.62 %,"60,037.00","24,359,181.50"
SBI,2025-07-01,393,404,393,402.83,1.62 %,"26,693.00","10,708,482.60"
SBI,2025-06-30,395,398.6,393,396.42,1.01 %,"16,541.00","6,534,896.10"
SBI,2025-06-29,383.5,394,383.5,392.47,1.53 %,"16,253.00","6,325,987.30"
SBI,2025-06-26,384,391.6,383,386.57,0.22 %,"21,912.00","8,485,894.00"
SBI,2025-06-25,389,389.5,385,385.72,-0.71 %,"6,193.00","2,392,767.20"
SBI,2025-06-24,395,395,385,388.48,0.30 %,"24,838.00","9,667,759.10"
SBI,2025-06-23,377.1,396,377.1,387.31,2.34 %,"10,486.00","4,014,825.80"
SBI,2025-06-22,380.1,387,377.2,378.44,-1.85 %,"46,558.00","17,676,600.40"
SBI,2025-06-19,394.9,394.9,380.5,385.56,-0.62 %,"30,944.00","11,969,198.70"
SBI,2025-06-18,393.1,400.5,386.2,387.96,0.29 %,"16,189.00","6,308,735.80"
SBI,2025-06-17,398,398,385,386.82,-1.26 %,"27,143.00","10,522,590.90"
SBI,2025-06-16,389,395,387.9,391.76,0.36 %,"28,643.00","11,200,381.40"
SBI,2025-06-15,395,397,390,390.35,-1.08 %,"21,986.00","8,623,239.10"
SBI,2025-06-12,395,401,392,394.62,-0.81 %,"15,885.00","6,283,354.50"
SBI,2025-06-11,402.1,410,397.1,397.86,-1.27 %,"22,816.00","9,114,885.00"
SBI,2025-06-10,410,410,400.5,402.99,0.22 %,"10,040.00","4,054,503.60"
SBI,2025-06-09,406,406,398,402.09,0.61 %,"9,247.00","3,712,304.30"
SBI,2025-06-08,409.21,412,398,399.64,-2.34 %,"24,041.00","9,641,306.40"
SBI,2025-06-05,406.2,430,406.2,409.21,-1.26 %,"52,784.00","22,120,678.00"
SBI,2025-06-04,408,415,400,414.43,1.58 %,"29,558.00","12,083,110.40"
SBI,2025-06-03,410,418,403.2,407.98,-1.50 %,"100,089.00","40,991,238.80"
SBI,2025-06-02,412,417.6,410,414.19,1.15 %,"167,278.00","69,057,161.80"
SBI,2025-05-28,403,410,398,409.49,1.55 %,"31,797.00","12,919,355.70"
SBI,2025-05-27,400,405.9,399.1,403.23,-0.13 %,"19,040.00","7,660,544.90"
SBI,2025-05-26,409,417,402,403.77,0.68 %,"41,572.00","16,888,959.00"
SBI,2025-05-25,410,416,398,401.05,-2.05 %,"28,748.00","11,676,948.00"
SBI,2025-05-22,391,417,388.2,409.45,4.87 %,"142,310.00","57,561,117.70"
SBI,2025-05-21,395.2,409,388,390.42,0.75 %,"43,735.00","17,201,652.90"
SBI,2025-05-20,375,392,373,387.52,2.34 %,"23,367.00","8,971,435.50"
SBI,2025-05-19,381.7,381.7,374.4,378.67,0.27 %,"23,962.00","9,061,964.40"
SBI,2025-05-18,382,382,374.2,377.64,0.48 %,"10,731.00","4,040,455.90"
SBI,2025-05-15,380,382,374.4,375.83,0.09 %,"19,394.00","7,321,585.60"
SBI,2025-05-14,382,382,375,375.49,-1.62 %,"22,408.00","8,468,185.10"
SBI,2025-05-13,392,392,379,381.67,-0.70 %,"25,917.00","9,917,756.20"
SBI,2025-05-11,393,393,380.6,384.36,-0.87 %,"19,391.00","7,457,062.80"
SBI,2025-05-08,383.6,394.9,383.2,387.72,-0.70 %,"14,706.00","5,706,045.50"
SBI,2025-05-07,384,394,376,390.44,3.52 %,"49,639.00","18,991,741.30"
SBI,2025-05-06,373,409,372.2,377.16,-0.54 %,"41,068.00","15,446,455.90"
SBI,2025-05-05,386.5,391.9,378,379.2,-1.87 %,"50,210.00","19,135,419.00"
SBI,2025-05-04,397,397,385.5,386.41,-0.77 %,"96,577.00","37,603,823.50"
SBI,2025-04-30,393,398,388,389.41,-1.56 %,"42,088.00","16,463,770.40"
SBI,2025-04-29,411,411,395,395.58,-2.20 %,"77,059.00","30,704,385.70"
SBI,2025-04-28,411.8,411.8,403,404.48,0.16 %,"43,988.00","17,919,262.30"
SBI,2025-04-27,404,413.9,403,403.82,-1.41 %,"85,712.00","34,794,250.70"
SBI,2025-04-24,416,416,407,409.58,-0.00 %,"15,376.00","6,293,015.40"
SBI,2025-04-23,410,417.8,408,409.59,-1.55 %,"31,320.00","12,871,251.10"
SBI,2025-04-22,418.2,426,412,416.03,-1.93 %,"39,642.00","16,521,874.90"
SBI,2025-04-21,440.1,440.1,422,424.22,-4.17 %,"63,979.00","27,225,098.70"
SBI,2025-04-20,425,451,418,442.68,3.90 %,"123,884.00","52,725,586.70"
SBI,2025-04-17,430,433,420,426.06,-0.65 %,"37,407.00","15,914,029.60"
SBI,2025-04-16,428.6,430,418,428.86,2.05 %,"39,718.00","16,909,983.90"
SBI,2025-04-15,429,429,418,420.25,-0.15 %,"120,494.00","50,489,323.50"
SBI,2025-04-13,420,422,416.8,420.87,0.98 %,"23,118.00","9,699,770.10"
SBI,2025-04-10,421.9,421.9,414,416.77,0.44 %,"194,183.00","80,483,938.40"
SBI,2025-04-09,425.1,425.1,414,414.95,-0.45 %,"18,953.00","7,897,033.70"
SBI,2025-04-08,412,423.3,407.5,416.81,0.60 %,"20,645.00","8,515,964.80"
SBI,2025-04-07,410,423,408.5,414.33,-0.77 %,"17,594.00","7,270,382.30"
SBI,2025-04-03,410,443,410,417.54,0.75 %,"32,946.00","13,854,901.00"
SBI,2025-04-02,424.6,424.6,409.1,414.44,-0.46 %,"29,094.00","11,975,132.00"
SBI,2025-04-01,413,418.5,410.2,416.35,-0.13 %,"18,902.00","7,805,292.90"
SBI,2025-03-30,412,420,412,416.89,1.08 %,"28,874.00","12,030,815.10"
SBI,2025-03-27,420.5,420.5,407,412.43,0.02 %,"14,449.00","5,947,667.80"
SBI,2025-03-26,402,415,401.8,412.33,2.55 %,"37,901.00","15,507,192.50"
SBI,2025-03-25,400.1,405,399.9,402.08,-1.45 %,"128,753.00","51,765,328.60"
SBI,2025-03-24,403,411,403,408,0.05 %,"17,658.00","7,215,242.80"
SBI,2025-03-23,412,413,406.7,407.8,-1.50 %,"24,099.00","9,838,680.10"
SBI,2025-03-20,415,417,412,414,-0.70 %,"12,798.00","5,295,834.40"
SBI,2025-03-19,411.1,420,411.1,416.9,0.24 %,"26,107.00","10,877,314.20"
SBI,2025-03-18,415,418.9,413.2,415.9,-0.26 %,"12,635.00","5,246,473.70"
SBI,2025-03-17,412.1,417,412,417,0.00 %,"19,215.00","7,953,297.30"
SBI,2025-03-16,414.1,418.9,410,417,0.00 %,"19,880.00","8,198,428.30"
SBI,2025-03-12,415.6,417,411.3,417,0.72 %,"19,717.00","8,150,777.20"
SBI,2025-03-11,425,425,411,414,-0.72 %,"26,592.00","11,012,756.90"
SBI,2025-03-10,423,429,414.9,417,-1.49 %,"34,422.00","14,349,598.80"
SBI,2025-03-09,431,431,414,423.3,-0.05 %,"44,949.00","18,806,120.30"
SBI,2025-03-06,421,434,421,423.5,0.55 %,"11,507.00","4,869,878.00"
SBI,2025-03-05,429,429,421.1,421.2,-1.82 %,"48,935.00","20,737,665.40"
SBI,2025-03-04,432,433,425.1,429,-0.23 %,"45,037.00","19,254,129.00"
SBI,2025-03-03,444,445,430,430,-1.60 %,"62,037.00","27,055,508.40"
SBI,2025-03-02,431.1,437.7,429,437,1.63 %,"117,170.00","50,788,309.60"
SBI,2025-02-27,428.1,436,423.2,430,2.38 %,"124,481.00","53,132,055.00"
SBI,2025-02-25,425,427,418.1,420,-0.24 %,"27,700.00","11,657,247.20"
SBI,2025-02-24,423,424,417.1,421,-0.24 %,"70,819.00","29,720,961.60"
SBI,2025-02-23,415,422,408,422,0.48 %,"94,959.00","39,473,295.60"
SBI,2025-02-20,417.1,422,415,420,-0.69 %,"30,694.00","12,793,287.20"
SBI,2025-02-18,433.2,433.2,419,422.9,-0.45 %,"50,434.00","21,359,642.10"
SBI,2025-02-17,412,425.5,412,424.8,2.36 %,"45,270.00","19,029,662.10"
SBI,2025-02-16,407,415,407,415,1.47 %,"49,298.00","20,314,287.60"
SBI,2025-02-13,410,414,405.1,409,-0.49 %,"20,928.00","8,550,428.70"
SBI,2025-02-12,414,414,409,411,-0.72 %,"67,820.00","27,857,142.60"
SBI,2025-02-11,415,416.5,411.1,414,-0.24 %,"30,521.00","12,587,079.60"
SBI,2025-02-10,415,420,413,415,0.24 %,"28,709.00","11,911,130.60"
SBI,2025-02-09,413.3,420,413.3,414,-0.77 %,"29,041.00","12,089,023.20"
SBI,2025-02-06,424.9,424.9,413.7,417.2,-0.67 %,"41,645.00","17,368,426.20"
SBI,2025-02-05,425.9,425.9,417.1,420,0.24 %,"18,319.00","7,697,905.90"
SBI,2025-02-04,430,430,419,419,-1.18 %,"20,318.00","8,595,927.70"
SBI,2025-02-03,421.3,428,421,424,0.24 %,"55,580.00","23,612,627.40"
SBI,2025-02-02,420,432,416.1,423,1.68 %,"46,025.00","19,335,748.10"
SBI,2025-01-28,417.9,420,413.1,416,-0.48 %,"87,772.00","36,397,754.90"
SBI,2025-01-27,415.7,418,413.2,418,-0.21 %,"112,710.00","46,642,488.50"
SBI,2025-01-26,414.3,424,414.3,418.9,-0.90 %,"28,459.00","11,911,008.60"
SBI,2025-01-23,429.9,429.9,418,422.7,0.17 %,"34,145.00","14,422,900.40"
SBI,2025-01-22,418.1,432,418.1,422,-0.71 %,"33,163.00","14,093,280.00"
SBI,2025-01-21,418.2,428,418,425,0.02 %,"153,589.00","64,650,097.30"
SBI,2025-01-20,450.8,450.8,419,424.9,-3.87 %,"270,114.00","114,153,136.90"
SBI,2025-01-19,432,444,432,442,0.45 %,"28,878.00","12,692,967.70"
SBI,2025-01-16,434,440,430.1,440,1.38 %,"32,984.00","14,363,634.20"
SBI,2025-01-15,450.8,450.8,430,434,-5.65 %,"71,405.00","31,157,514.60"
SBI,2025-01-13,430,460,422,460,7.30 %,"37,663.00","16,198,373.80"
SBI,2025-01-12,424,433,422,428.7,-0.19 %,"8,858.00","3,753,047.00"
SBI,2025-01-09,422,430,422,429.5,0.82 %,"39,047.00","16,616,530.40"
SBI,2025-01-08,432,434.6,423,426,-0.70 %,"43,635.00","18,507,160.10"
SBI,2025-01-07,434.5,443,422.1,429,0.70 %,"89,244.00","39,140,558.90"
SBI,2025-01-06,428.7,428.7,420.5,426,1.36 %,"113,733.00","48,028,878.10"
SBI,2025-01-05,422,427,420,420.3,-0.17 %,"118,933.00","50,003,429.30"
SBI,2025-01-02,427,428,421,421,0.21 %,"22,032.00","9,336,030.40"
SBI,2025-01-01,425,435,419.6,420.1,-1.85 %,"102,446.00","43,123,555.80"
SBI,2024-12-31,426,428,421.1,428,-0.47 %,"29,909.00","12,668,224.00"
SBI,2024-12-29,442,442,428,430,-1.15 %,"40,950.00","17,717,867.80"
SBI,2024-12-26,421,439.6,421,435,2.35 %,"47,253.00","20,458,992.40"
SBI,2024-12-24,422.1,453,422.1,425,-0.65 %,"19,353.00","8,289,472.60"
SBI,2024-12-23,430,430,422,427.8,0.42 %,"51,356.00","21,830,951.20"
SBI,2024-12-22,430,430,422.1,426,0.04 %,"44,183.00","18,821,718.50"
SBI,2024-12-19,450.7,452,442,442,-1.93 %,"47,695.00","21,301,095.00"
SBI,2024-12-18,450.1,455,448.6,450.7,-0.51 %,"33,545.00","15,099,258.50"
