Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
SBL,2025-12-11,350,354.9,346.1,350,0.00 %,"40,103.00","13,984,439.20"
SBL,2025-12-10,355,358.9,348.5,350,-0.85 %,"40,469.00","14,150,476.70"
SBL,2025-12-09,350,353,349,353,1.44 %,"66,334.00","23,313,928.70"
SBL,2025-12-08,348,350,343,348,0.00 %,"37,745.00","13,111,372.10"
SBL,2025-12-07,346.5,352.4,346.3,348,-1.14 %,"59,028.00","20,565,206.10"
SBL,2025-12-03,352,355.8,349.1,352,-0.85 %,"41,115.00","14,458,762.90"
SBL,2025-12-02,352.5,359,350,355,0.71 %,"84,747.00","29,908,580.60"
SBL,2025-12-01,351.9,354,347,352.5,0.06 %,"62,397.00","21,879,278.00"
SBL,2025-11-30,357.9,357.9,351,352.3,0.09 %,"196,984.00","69,389,106.10"
SBL,2025-11-27,341,352.3,341,352,2.50 %,"123,772.00","42,954,342.80"
SBL,2025-11-26,336.2,343.4,336.2,343.4,0.62 %,"36,872.00","12,612,042.20"
SBL,2025-11-25,340,342,336,341.3,0.50 %,"63,502.00","21,627,368.40"
SBL,2025-11-24,335,340,333,339.6,2.32 %,"81,537.00","27,403,888.90"
SBL,2025-11-23,331,332,326.2,331.9,1.84 %,"30,908.00","10,191,651.40"
SBL,2025-11-20,328.7,328.7,322.5,325.9,0.99 %,"17,891.00","5,795,845.00"
SBL,2025-11-19,322.5,327.9,321.3,322.7,-0.40 %,"16,598.00","5,385,967.90"
SBL,2025-11-18,327,329.7,321.7,324,1.06 %,"66,042.00","21,469,259.80"
SBL,2025-11-17,326.8,348,320.5,320.6,-1.51 %,"89,176.00","28,838,764.50"
SBL,2025-11-16,326.9,333,322,325.5,-0.43 %,"22,393.00","7,292,231.60"
SBL,2025-11-13,334.9,334.9,325,326.9,-0.58 %,"33,648.00","10,976,892.40"
SBL,2025-11-12,332,335,324.4,328.8,-1.85 %,"91,138.00","30,021,328.10"
SBL,2025-11-11,330.2,335,327.2,335,0.90 %,"92,679.00","30,583,500.00"
SBL,2025-11-10,331.5,337.5,329.5,332,-0.90 %,"49,458.00","16,375,018.70"
SBL,2025-11-09,339,339,331.5,335,-1.03 %,"54,931.00","18,312,473.40"
SBL,2025-11-06,339,343,338.5,338.5,0.00 %,"92,480.00","31,460,791.40"
SBL,2025-11-05,340,345,336.2,338.5,-0.44 %,"35,681.00","12,083,043.40"
SBL,2025-11-04,345,346,339.2,340,-1.45 %,"255,671.00","87,220,526.10"
SBL,2025-11-03,346.5,349.5,345,345,-1.29 %,"64,848.00","22,490,717.50"
SBL,2025-11-02,370,370,359,367,0.91 %,"245,403.00","88,792,775.20"
SBL,2025-10-30,358,364,357,363.7,0.19 %,"185,452.00","66,821,397.80"
SBL,2025-10-29,356.2,366,356.2,363,0.53 %,"58,010.00","20,958,983.50"
