Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
SCB,2025-09-18,619.1,619.1,605.0,607.0,-3.91%,"2,917.00","1,773,044.00",0.0
SCB,2025-09-08,630.1,640.0,630.0,631.7,-1.67%,"12,381.00","7,825,523.90",0.0
SCB,2025-09-07,659.0,659.0,637.0,642.44,-1.43%,"23,683.00","15,198,093.90",0.0
SCB,2025-09-04,650.0,659.9,642.0,651.75,-0.41%,"24,639.00","15,992,862.80",0.0
SCB,2025-09-03,668.8,668.8,653.0,654.46,-1.10%,"20,734.00","13,640,432.20",0.0
SCB,2025-09-02,670.0,679.3,657.0,661.75,0.27%,"119,242.00","79,527,616.70",0.0
SCB,2025-09-01,625.0,681.0,625.0,659.97,4.08%,"106,420.00","69,673,993.20",0.0
SCB,2025-08-31,628.0,635.0,619.0,634.1,0.61%,"21,876.00","13,744,858.30",0.0
SCB,2025-08-28,623.0,634.7,623.0,630.26,-0.17%,"13,295.00","8,377,707.30",0.0
SCB,2025-08-27,634.0,634.0,625.6,631.31,0.78%,"8,359.00","5,261,878.00",0.0
SCB,2025-08-26,633.0,633.0,623.0,626.45,0.58%,"8,993.00","5,626,911.50",0.0
SCB,2025-08-25,620.2,626.9,620.2,622.83,-0.40%,"13,483.00","8,397,710.30",0.0
SCB,2025-08-24,624.0,627.5,623.3,625.35,-0.12%,"15,149.00","9,470,269.20",0.0
SCB,2025-08-21,629.0,629.0,624.0,626.12,-0.21%,"12,319.00","7,713,039.90",0.0
SCB,2025-08-20,630.0,631.0,626.0,627.42,-0.30%,"10,590.00","6,651,177.00",0.0
SCB,2025-08-19,634.8,634.8,625.5,629.28,0.75%,"8,775.00","5,502,983.50",0.0
SCB,2025-08-18,625.0,628.0,619.0,624.57,-0.59%,"28,522.00","17,781,090.20",0.0
SCB,2025-08-17,638.0,639.8,624.0,628.26,-1.44%,"41,677.00","26,226,429.40",0.0
SCB,2025-08-14,639.0,640.0,635.0,637.46,-0.29%,"12,418.00","7,909,497.90",0.0
SCB,2025-08-13,640.0,641.0,635.1,639.32,-0.10%,"15,501.00","9,887,187.30",0.0
SCB,2025-08-12,658.0,658.0,630.5,639.98,-1.10%,"27,289.00","17,461,420.90",0.0
SCB,2025-08-11,656.7,669.7,645.5,647.13,0.50%,"21,700.00","14,070,005.90",0.0
SCB,2025-08-07,646.3,647.0,638.3,643.93,0.13%,"13,098.00","8,416,708.30",0.0
SCB,2025-08-06,648.0,650.0,638.0,643.09,-0.38%,"40,792.00","26,096,567.90",0.0
SCB,2025-08-05,670.0,680.0,644.0,645.52,-1.86%,"65,370.00","42,599,851.00",0.0
SCB,2025-08-04,649.0,701.0,634.4,657.74,3.15%,"59,656.00","38,553,757.50",0.0
SCB,2025-08-03,650.0,650.0,637.2,637.64,-2.01%,"51,219.00","32,846,012.30",0.0
SCB,2025-07-31,660.0,660.0,650.2,650.71,-1.43%,"29,239.00","19,128,099.40",0.0
SCB,2025-07-30,673.0,679.0,659.0,660.12,-0.88%,"26,079.00","17,258,091.90",0.0
SCB,2025-07-29,666.0,675.0,662.0,665.98,0.61%,"40,515.00","27,076,312.40",0.0
SCB,2025-07-28,660.1,664.0,657.0,661.91,-0.72%,"42,716.00","28,136,593.10",0.0
SCB,2025-07-27,670.0,674.8,665.0,666.72,-0.62%,"34,558.00","23,129,366.30",0.0
SCB,2025-07-24,668.1,672.0,665.0,670.91,0.12%,"24,626.00","16,452,412.60",0.0
SCB,2025-07-23,675.0,675.0,661.2,670.09,-0.67%,"54,717.00","36,561,365.70",0.0
SCB,2025-07-22,670.0,677.0,665.0,674.61,1.54%,"67,646.00","45,370,970.80",0.0
SCB,2025-07-21,670.2,670.2,660.0,664.39,-0.86%,"25,207.00","16,769,083.10",0.0
SCB,2025-07-20,681.7,681.7,667.0,670.17,0.27%,"52,292.00","35,186,852.80",0.0
