Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
SHIVM,2025-09-18,567.5,567.5,524.0,532.0,-8.13 %,"70,798.00","37,451,718.20",0.0
SHIVM,2025-09-08,599.0,599.0,576.0,579.08,-2.42 %,"205,207.00","119,554,855.80",0.0
SHIVM,2025-09-07,604.3,604.8,590.0,593.44,0.16 %,"132,999.00","79,514,383.90",0.0
SHIVM,2025-09-04,603.0,603.0,585.2,592.48,-1.04 %,"156,908.00","92,743,623.60",0.0
SHIVM,2025-09-03,605.0,613.0,594.0,598.68,-1.29 %,"210,267.00","126,670,588.90",0.0
SHIVM,2025-09-02,626.3,626.3,605.1,606.49,-1.23 %,"139,519.00","84,969,020.40",0.0
SHIVM,2025-09-01,623.6,623.6,605.0,614.06,0.43 %,"237,133.00","145,064,449.60",0.0
SHIVM,2025-08-31,637.6,637.6,610.1,611.41,-2.20 %,"192,135.00","118,455,599.20",0.0
SHIVM,2025-08-28,635.0,645.0,625.0,625.14,-1.52 %,"356,079.00","224,232,198.40",0.0
SHIVM,2025-08-27,621.2,636.9,605.1,634.8,4.23 %,"255,924.00","160,346,988.60",0.0
SHIVM,2025-08-26,610.0,625.0,608.1,609.03,-0.87 %,"78,006.00","47,739,446.50",0.0
SHIVM,2025-08-25,618.0,619.0,607.0,614.35,-0.36 %,"164,589.00","100,969,327.70",0.0
SHIVM,2025-08-24,626.0,629.0,615.0,616.57,-1.03 %,"194,309.00","120,616,558.20",0.0
SHIVM,2025-08-21,626.9,626.9,619.0,623.01,0.28 %,"189,626.00","117,936,317.70",0.0
SHIVM,2025-08-20,630.9,630.9,620.1,621.28,-0.77 %,"147,607.00","91,942,530.60",0.0
SHIVM,2025-08-19,626.0,634.8,622.1,626.13,0.26 %,"190,144.00","119,391,078.60",0.0
SHIVM,2025-08-18,632.3,632.3,615.0,624.52,0.74 %,"227,686.00","141,460,905.80",0.0
SHIVM,2025-08-17,638.0,642.0,617.3,619.93,-2.01 %,"353,705.00","221,444,772.70",0.0
SHIVM,2025-08-14,630.0,642.0,630.0,632.66,0.06 %,"338,220.00","214,978,391.00",0.0
SHIVM,2025-08-13,645.4,646.0,630.1,632.27,-0.08 %,"376,940.00","240,045,319.60",0.0
SHIVM,2025-08-12,640.0,648.7,629.0,632.79,-1.33 %,"316,321.00","200,643,873.35",0.0
SHIVM,2025-08-11,631.0,663.0,631.0,641.34,-0.34 %,"830,323.00","538,860,957.70",0.0
SHIVM,2025-08-07,618.0,655.0,618.0,643.52,2.26 %,"572,355.00","369,383,617.10",0.0
SHIVM,2025-08-06,636.4,636.4,618.0,629.3,0.85 %,"385,091.00","241,991,866.30",0.0
SHIVM,2025-08-05,635.0,652.59,621.0,623.98,-2.49 %,"527,278.00","332,886,329.00",0.0
SHIVM,2025-08-04,655.9,655.9,620.0,639.91,-0.49 %,"686,268.00","436,488,058.50",0.0
SHIVM,2025-08-03,661.0,665.0,640.0,643.05,-2.75 %,"848,115.00","550,200,736.20",0.0
SHIVM,2025-07-31,676.7,676.7,656.0,661.26,-0.33 %,"1,008,251.00","671,123,215.30",0.0
SHIVM,2025-07-30,690.0,695.0,660.0,663.48,-3.34 %,"850,492.00","573,374,434.40",0.0
SHIVM,2025-07-29,674.9,709.0,674.9,686.4,-0.33 %,"716,074.00","495,120,501.00",0.0
SHIVM,2025-07-28,670.0,690.0,657.0,688.64,3.09 %,"1,375,211.00","925,782,760.10",0.0
SHIVM,2025-07-27,628.7,690.0,628.7,668.01,4.14 %,"1,528,991.00","1,020,335,923.90",0.0
SHIVM,2025-07-24,652.0,658.0,634.0,641.48,-0.65 %,"603,568.00","386,499,220.40",0.0
SHIVM,2025-07-23,638.5,660.0,631.1,645.65,3.14 %,"1,167,236.00","752,959,391.30",0.0
SHIVM,2025-07-22,575.0,626.0,570.1,626.0,9.99 %,"1,128,704.00","688,318,902.30",0.0
SHIVM,2025-07-21,570.0,576.3,553.0,569.14,1.84 %,"433,014.00","243,864,088.90",0.0
SHIVM,2025-07-20,575.0,579.8,555.0,558.86,-1.49 %,"472,374.00","268,744,286.60",0.0
SHIVM,2025-07-17,542.0,570.0,542.0,567.29,6.03 %,"568,742.00","318,816,724.90",0.0
SHIVM,2025-07-16,525.0,545.0,525.0,535.04,2.15 %,"245,961.00","131,890,387.50",0.0
SHIVM,2025-07-15,529.6,529.6,516.0,523.76,0.86 %,"100,605.00","52,596,647.30",0.0
SHIVM,2025-07-14,524.0,527.1,518.5,519.27,-0.87 %,"113,296.00","59,284,229.60",0.0
SHIVM,2025-07-13,534.2,534.2,522.1,523.83,0.01 %,"184,820.00","97,206,622.80",0.0
