Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
SHL,2025-09-18,533.5,533.5,489.9,489.9,-10.00 %,"5,696.00","2,823,860.40"
SHL,2025-09-08,561,561,542,544.31,-1.42 %,"32,918.00","17,993,095.90"
SHL,2025-09-07,554,557,550.1,552.15,0.07 %,"40,514.00","22,430,028.50"
SHL,2025-09-04,558,561,547,551.78,-1.00 %,"73,684.00","40,640,907.40"
SHL,2025-09-03,558.1,564.5,555,557.34,-1.06 %,"44,279.00","24,769,100.60"
SHL,2025-09-02,556.3,565,551.8,563.3,0.33 %,"40,466.00","22,686,290.70"
SHL,2025-09-01,555,565,552,561.44,0.38 %,"21,663.00","12,174,594.40"
SHL,2025-08-31,566,566,550.2,559.32,-0.47 %,"35,900.00","20,098,054.20"
SHL,2025-08-28,571,575,560,561.95,-1.61 %,"87,475.00","49,633,184.10"
SHL,2025-08-27,565.5,575,555,571.15,1.66 %,"48,014.00","27,243,814.10"
SHL,2025-08-26,564,565,555,561.8,0.12 %,"15,674.00","8,813,316.80"
SHL,2025-08-25,560,562.4,550,561.12,0.47 %,"24,835.00","13,891,802.09"
SHL,2025-08-24,569,572,550,558.48,-0.91 %,"45,670.00","25,599,320.90"
SHL,2025-08-21,576.9,579,560,563.63,-1.45 %,"24,961.00","14,165,532.00"
SHL,2025-08-20,560.4,579,560,571.9,1.81 %,"86,698.00","49,638,187.50"
SHL,2025-08-19,568.8,568.8,555,561.75,-0.66 %,"38,347.00","21,615,614.00"
SHL,2025-08-18,566.8,567,555,565.49,0.60 %,"29,115.00","16,442,476.70"
SHL,2025-08-17,561,568,550.1,562.09,0.22 %,"42,265.00","23,783,320.50"
SHL,2025-08-14,557.5,564.9,556,560.85,0.55 %,"42,863.00","24,040,936.10"
SHL,2025-08-13,555,560,550,557.78,0.30 %,"26,187.00","14,611,820.40"
SHL,2025-08-12,556.71,560.8,550,556.1,-0.11 %,"43,033.00","23,963,695.50"
SHL,2025-08-11,561,569.5,549.8,556.71,-1.52 %,"79,745.00","44,634,434.60"
SHL,2025-08-07,560,570,560,565.31,0.65 %,"45,717.00","25,891,623.20"
SHL,2025-08-06,555,565,550,561.68,0.40 %,"60,761.00","34,113,717.30"
SHL,2025-08-05,570.9,570.9,557,559.43,-1.19 %,"113,878.00","63,950,003.10"
SHL,2025-08-04,574,575,559.2,566.15,-0.46 %,"106,407.00","60,333,982.90"
SHL,2025-08-03,580,580,560,568.76,-0.89 %,"101,379.00","57,794,007.00"
SHL,2025-07-31,564.7,582.8,564.7,573.85,-0.41 %,"136,308.00","78,530,385.90"
SHL,2025-07-30,590,593,567,576.19,-1.75 %,"237,920.00","137,751,702.40"
SHL,2025-07-29,599.9,600,583.3,586.45,-0.49 %,"151,771.00","90,024,072.20"
SHL,2025-07-28,581.1,595,575,589.33,-0.18 %,"210,958.00","123,848,362.70"
SHL,2025-07-27,608.9,619,588,590.37,-2.49 %,"453,779.00","272,657,848.24"
SHL,2025-07-24,613.3,613.3,590,605.47,0.67 %,"212,009.00","127,980,800.30"
SHL,2025-07-23,614.5,616,588.5,601.42,-1.89 %,"319,537.00","193,332,052.70"
SHL,2025-07-22,594,615,586,612.98,4.95 %,"544,088.00","329,001,030.40"
SHL,2025-07-21,581,595,572,584.07,-0.03 %,"156,962.00","91,780,322.70"
SHL,2025-07-20,590,599.3,575,584.27,-0.74 %,"228,293.00","134,898,315.80"
SHL,2025-07-17,583,599,577.3,588.65,1.92 %,"192,333.00","113,285,652.90"
SHL,2025-07-16,585.1,585.1,567,577.58,0.69 %,"181,350.00","104,941,295.80"
SHL,2025-07-15,568,579,563.5,573.63,1.34 %,"171,988.00","98,306,685.60"
SHL,2025-07-14,568.1,574.8,558.6,566.02,-0.22 %,"120,143.00","68,241,429.30"
SHL,2025-07-13,572.6,575.4,551.8,567.25,0.55 %,"169,044.00","95,628,222.50"
SHL,2025-07-10,569,576.3,553,564.16,0.01 %,"72,957.00","41,254,352.30"
SHL,2025-07-09,565,569.9,553.7,564.13,-0.02 %,"75,423.00","42,666,346.40"
SHL,2025-07-08,570,570,550,564.25,-0.07 %,"84,450.00","47,776,183.20"
SHL,2025-07-07,566,577,555.1,564.65,0.99 %,"169,163.00","96,017,406.20"
SHL,2025-07-06,564.9,564.9,550,559.1,-0.01 %,"106,025.00","59,363,780.00"
SHL,2025-07-03,564,565,549,559.13,-0.45 %,"114,750.00","64,364,147.80"
SHL,2025-07-02,556,565,550,561.66,0.57 %,"87,947.00","49,363,769.20"
SHL,2025-07-01,555,559.9,544,558.5,0.95 %,"84,327.00","46,908,540.50"
SHL,2025-06-30,553.2,561.7,550,553.27,0.00 %,"96,374.00","53,528,395.50"
SHL,2025-06-29,540,557.8,540,553.26,0.47 %,"99,674.00","55,017,462.70"
SHL,2025-06-26,561,578.3,546,550.65,-2.17 %,"204,538.00","113,742,018.60"
SHL,2025-06-25,558.1,566.9,550,562.84,1.07 %,"97,030.00","54,557,248.50"
SHL,2025-06-24,572,574,556,556.9,-1.16 %,"96,835.00","54,500,915.90"
SHL,2025-06-23,563,569.9,543,563.45,1.22 %,"142,891.00","80,297,448.90"
SHL,2025-06-22,579.9,581,555,556.64,-3.99 %,"213,001.00","120,585,926.50"
SHL,2025-06-19,586.9,596,573.5,579.75,-1.53 %,"358,731.00","209,441,372.70"
SHL,2025-06-18,593,597,583,588.75,-0.64 %,"144,559.00","85,095,455.90"
SHL,2025-06-17,611.1,617.9,588,592.55,-1.10 %,"501,929.00","302,980,441.00"
SHL,2025-06-16,554,604,554,599.15,6.30 %,"900,638.00","530,557,987.40"
SHL,2025-06-15,578,578,553.2,563.62,-1.17 %,"159,010.00","90,107,506.30"
SHL,2025-06-12,572.2,579.9,551,570.28,1.64 %,"350,935.00","200,086,278.90"
SHL,2025-06-11,568.1,574,559,561.07,-1.92 %,"194,522.00","110,175,044.60"
SHL,2025-06-10,565,578,558.6,572.03,2.40 %,"315,155.00","179,213,315.70"
SHL,2025-06-09,555,569.7,551.9,558.64,-1.25 %,"239,199.00","134,550,220.20"
SHL,2025-06-08,558.1,574.8,557.1,565.74,0.88 %,"297,550.00","168,432,356.20"
SHL,2025-06-05,558,571.8,550,560.82,-0.89 %,"212,462.00","119,410,290.50"
SHL,2025-06-04,572,578.5,564,565.87,-0.93 %,"123,545.00","70,212,243.00"
SHL,2025-06-03,586,589,562,571.18,-2.43 %,"236,083.00","135,739,162.40"
SHL,2025-06-02,582.2,601,578,585.4,2.55 %,"561,476.00","330,379,078.30"
SHL,2025-05-28,550.6,580,550.6,570.85,1.61 %,"315,844.00","181,108,166.70"
SHL,2025-05-27,551,565,546.7,561.8,0.68 %,"226,773.00","126,355,057.80"
SHL,2025-05-26,574.4,580,550,557.98,-0.92 %,"230,821.00","129,463,327.80"
