Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
SHPC,2025-09-18,527.1,527.5,491.0,500.0,-7.04 %,"21,887.00","10,945,913.50",0.0
SHPC,2025-09-08,551.9,551.9,533.0,537.84,-0.60 %,"119,782.00","64,566,726.70",0.0
SHPC,2025-09-07,551.0,551.0,540.0,541.1,-1.02 %,"76,664.00","41,734,706.10",0.0
SHPC,2025-09-04,548.16,553.0,542.0,546.68,-0.27 %,"82,141.00","44,808,439.70",0.0
SHPC,2025-09-03,554.0,557.0,547.0,548.16,-1.08 %,"85,357.00","46,993,871.80",0.0
SHPC,2025-09-02,559.0,562.0,552.0,554.16,-0.60 %,"89,534.00","49,659,647.70",0.0
SHPC,2025-09-01,552.1,567.0,549.0,557.53,0.30 %,"108,975.00","60,480,455.70",0.0
SHPC,2025-08-31,562.0,564.0,553.0,555.89,-1.15 %,"65,341.00","36,321,524.70",0.0
SHPC,2025-08-28,587.8,587.8,560.0,562.37,-2.42 %,"149,728.00","85,637,115.70",0.0
SHPC,2025-08-27,570.2,581.0,558.8,576.3,3.08 %,"173,913.00","98,827,610.70",0.0
SHPC,2025-08-26,563.8,563.8,556.8,559.08,-0.02 %,"40,403.00","22,607,931.00",0.0
SHPC,2025-08-25,555.6,562.0,547.7,559.17,1.04 %,"89,973.00","49,941,992.30",0.0
SHPC,2025-08-24,562.0,562.0,552.0,553.44,-0.72 %,"73,643.00","40,927,547.90",0.0
SHPC,2025-08-21,562.0,563.9,555.1,557.48,-0.47 %,"88,507.00","49,490,740.60",0.0
SHPC,2025-08-20,565.0,567.8,560.0,560.14,-0.86 %,"135,786.00","76,331,626.80",0.0
SHPC,2025-08-19,564.0,572.0,564.0,565.01,0.34 %,"68,938.00","39,039,314.50",0.0
SHPC,2025-08-18,563.1,566.9,560.6,563.07,0.07 %,"75,738.00","42,659,546.00",0.0
SHPC,2025-08-17,570.0,572.5,561.4,562.67,-0.92 %,"98,317.00","55,654,571.20",0.0
SHPC,2025-08-14,566.6,571.8,562.0,567.92,0.24 %,"144,565.00","81,868,976.00",0.0
SHPC,2025-08-13,582.6,582.6,566.0,566.54,-0.81 %,"170,179.00","96,915,853.00",0.0
SHPC,2025-08-12,591.2,591.2,569.7,571.19,-1.45 %,"176,115.00","101,333,525.80",0.0
SHPC,2025-08-11,592.0,596.1,578.3,579.62,-1.76 %,"192,844.00","112,782,049.90",0.0
SHPC,2025-08-07,586.1,599.8,586.1,590.02,0.04 %,"132,510.00","78,288,281.00",0.0
