Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
SICL,2025-09-18,712.2,712.2,654.2,654.2,-9.98 %,"2,150.00","1,467,476.00",0.0
SICL,2025-09-08,730.1,735.0,721.0,726.7,-1.14 %,"6,893.00","5,002,836.60",0.0
SICL,2025-09-07,734.0,738.0,730.1,735.07,0.03 %,"5,755.00","4,227,147.80",0.0
SICL,2025-09-04,736.0,736.7,731.0,734.83,0.10 %,"13,222.00","9,709,421.90",0.0
SICL,2025-09-03,746.8,746.8,732.2,734.1,-0.57 %,"5,161.00","3,793,735.40",0.0
SICL,2025-09-02,741.97,750.0,737.0,738.28,-0.50 %,"4,786.00","3,537,610.50",0.0
SICL,2025-09-01,744.0,744.0,736.0,741.97,0.72 %,"6,117.00","4,531,076.10",0.0
SICL,2025-08-31,735.0,749.0,730.3,736.64,0.11 %,"9,939.00","7,310,181.00",0.0
SICL,2025-08-28,757.0,757.0,735.0,735.81,-1.16 %,"9,430.00","7,018,029.90",0.0
SICL,2025-08-27,745.0,748.0,733.0,744.41,1.47 %,"13,178.00","9,776,705.10",0.0
SICL,2025-08-26,730.0,740.0,730.0,733.59,-0.19 %,"7,798.00","5,713,597.40",0.0
SICL,2025-08-25,744.0,744.0,731.7,735.01,0.35 %,"8,411.00","6,177,040.90",0.0
SICL,2025-08-24,740.0,745.0,732.0,732.45,-0.80 %,"9,106.00","6,706,879.10",0.0
SICL,2025-08-21,739.0,745.0,735.0,738.35,-0.39 %,"10,845.00","8,022,845.00",0.0
SICL,2025-08-20,750.0,750.0,740.2,741.25,-0.57 %,"11,206.00","8,322,237.10",0.0
SICL,2025-08-19,745.0,751.0,740.0,745.49,0.10 %,"9,536.00","7,077,494.50",0.0
SICL,2025-08-18,746.0,751.0,744.0,744.73,-0.06 %,"5,656.00","4,216,253.70",0.0
SICL,2025-08-17,750.1,752.0,744.0,745.17,-0.36 %,"15,329.00","11,451,127.90",0.0
SICL,2025-08-14,755.0,755.0,745.0,747.84,-0.30 %,"9,313.00","6,981,517.20",0.0
SICL,2025-08-13,754.0,765.0,740.0,750.07,-0.56 %,"9,826.00","7,383,601.10",0.0
