Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
SIKLES,2025-09-18,691.0,691.0,651.0,651.0,-7.61 %,"1,330.00","901,834.00",0.8
SIKLES,2025-09-08,711.7,738.6,701.0,704.63,-2.77 %,"10,750.00","7,622,622.30",0.8
SIKLES,2025-09-07,739.0,748.9,720.4,724.68,-1.92 %,"7,451.00","5,428,000.10",0.8
SIKLES,2025-09-04,740.0,767.6,735.1,738.86,-1.82 %,"10,928.00","8,160,085.30",0.8
SIKLES,2025-09-03,766.4,781.9,750.0,752.57,-3.76 %,"8,355.00","6,326,089.40",0.8
SIKLES,2025-09-02,797.5,810.4,763.0,781.95,-1.95 %,"10,279.00","8,051,049.30",0.8
SIKLES,2025-09-01,800.0,800.0,754.1,797.51,0.23 %,"7,886.00","6,130,449.30",0.8
SIKLES,2025-08-31,822.1,848.0,791.0,795.66,-4.44 %,"13,569.00","10,979,820.80",0.8
SIKLES,2025-08-28,864.4,879.8,830.0,832.61,-3.80 %,"19,608.00","16,536,886.50",0.8
SIKLES,2025-08-27,894.5,900.0,851.7,865.47,-1.31 %,"10,851.00","9,509,347.10",0.8
SIKLES,2025-08-26,866.8,883.5,864.0,876.98,1.17 %,"1,969.00","1,726,691.00",2.0
SIKLES,2025-08-25,897.0,914.9,823.0,866.8,-3.54 %,"103,813.00","90,955,118.80",2.0
SIKLES,2025-08-24,908.0,924.0,890.0,898.63,-1.12 %,"3,591.00","3,227,118.20",2.0
SIKLES,2025-08-21,923.1,924.0,908.0,908.85,-1.54 %,"3,557.00","3,243,046.00",2.0
SIKLES,2025-08-20,928.0,945.0,914.0,923.11,-0.39 %,"3,247.00","3,006,243.20",2.0
SIKLES,2025-08-19,912.6,948.0,895.0,926.75,-0.47 %,"3,068.00","2,840,525.00",2.0
SIKLES,2025-08-18,914.1,950.0,914.1,931.17,-0.05 %,"4,120.00","3,807,537.60",2.0
SIKLES,2025-08-17,950.0,958.0,900.0,931.65,-2.66 %,"10,269.00","9,427,480.20",2.0
SIKLES,2025-08-14,950.1,1015.8,950.1,957.1,-0.09 %,"9,065.00","8,747,707.00",2.0
SIKLES,2025-08-13,1020.0,1029.8,950.0,957.96,-7.22 %,"14,593.00","14,331,553.40",2.0
SIKLES,2025-08-12,1160.0,1163.0,1032.4,1032.51,-9.99 %,"14,000.00","14,689,138.10",2.0
SIKLES,2025-08-11,1155.0,1170.0,1083.4,1147.06,-2.41 %,"21,811.00","25,108,518.50",2.0
