Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
SINDU,2025-09-18,690.0,690.0,618.0,618.0,-10.00 %,"1,075.00","700,066.00",0.0
SINDU,2025-09-08,700.0,702.0,685.0,686.67,-1.74 %,"9,779.00","6,764,379.30",0.0
SINDU,2025-09-07,709.0,709.0,698.0,698.8,-0.17 %,"10,095.00","7,075,741.20",0.0
SINDU,2025-09-04,698.8,723.0,690.0,700.01,-1.82 %,"23,850.00","16,670,295.40",0.0
SINDU,2025-09-03,749.2,749.2,710.0,712.98,-2.94 %,"18,265.00","13,171,128.00",0.0
SINDU,2025-09-02,754.1,754.1,732.0,734.54,-0.65 %,"8,255.00","6,077,318.10",0.0
SINDU,2025-09-01,740.0,748.5,731.0,739.35,-0.02 %,"8,325.00","6,159,696.30",0.0
SINDU,2025-08-31,755.0,755.0,735.0,739.47,-1.72 %,"10,556.00","7,851,603.60",0.0
SINDU,2025-08-28,773.5,773.5,750.0,752.39,-1.52 %,"12,801.00","9,722,191.40",0.0
SINDU,2025-08-27,733.4,765.0,733.4,764.0,2.10 %,"16,026.00","12,169,531.40",0.0
SINDU,2025-08-26,767.3,767.3,745.0,748.28,-0.54 %,"8,416.00","6,297,623.10",0.0
SINDU,2025-08-25,762.9,762.9,733.4,752.34,0.58 %,"12,384.00","9,246,173.60",0.0
SINDU,2025-08-24,757.7,760.0,745.0,747.97,-0.96 %,"12,035.00","9,036,141.10",0.0
SINDU,2025-08-21,774.0,774.0,752.0,755.21,-0.55 %,"13,493.00","10,210,504.50",0.0
SINDU,2025-08-20,778.3,778.3,752.2,759.36,-0.49 %,"9,293.00","7,079,072.30",0.0
SINDU,2025-08-19,775.3,775.3,762.0,763.08,0.39 %,"11,525.00","8,810,572.40",0.0
SINDU,2025-08-18,752.6,782.0,752.6,760.12,-1.01 %,"19,859.00","15,147,944.20",0.0
SINDU,2025-08-17,790.0,791.9,766.0,767.91,-2.12 %,"17,945.00","13,900,027.50",0.0
SINDU,2025-08-14,772.2,801.0,772.2,784.57,-0.43 %,"13,643.00","10,764,363.90",0.0
SINDU,2025-08-13,764.5,805.9,764.5,787.92,1.01 %,"14,095.00","11,111,758.00",0.0
SINDU,2025-08-12,779.3,809.0,778.0,780.07,-1.90 %,"26,155.00","20,470,878.50",0.0
SINDU,2025-08-11,824.0,824.0,794.0,795.18,-1.62 %,"28,645.00","22,965,306.60",0.0
SINDU,2025-08-07,800.0,816.0,800.0,808.27,0.31 %,"25,736.00","20,852,251.50",0.0
SINDU,2025-08-06,793.0,820.0,793.0,805.74,-0.37 %,"20,145.00","16,310,645.20",0.0
SINDU,2025-08-05,830.9,830.9,805.7,808.74,-0.86 %,"21,125.00","17,178,945.60",0.0
SINDU,2025-08-04,814.5,847.6,810.0,815.74,-1.84 %,"32,454.00","26,633,338.10",0.0
SINDU,2025-08-03,876.4,876.4,825.0,831.06,-3.28 %,"34,790.00","29,395,273.50",0.0
SINDU,2025-07-31,820.0,879.8,820.0,859.22,6.74 %,"144,566.00","123,111,232.50",0.0
SINDU,2025-07-30,804.4,820.0,803.0,804.94,-1.93 %,"27,288.00","22,074,845.10",0.0
SINDU,2025-07-29,821.1,835.0,815.0,820.8,-0.04 %,"33,432.00","27,503,996.20",0.0
SINDU,2025-07-28,814.0,824.5,795.0,821.09,2.79 %,"49,024.00","39,774,105.80",0.0
SINDU,2025-07-27,795.1,829.9,795.1,798.77,-1.54 %,"57,501.00","46,260,897.90",0.0
SINDU,2025-07-24,828.0,828.0,805.0,811.29,-1.96 %,"69,022.00","55,997,519.50",0.0
SINDU,2025-07-23,836.5,850.0,820.0,827.51,-1.02 %,"30,269.00","25,111,096.20",0.0
SINDU,2025-07-22,820.0,851.0,790.9,836.05,3.52 %,"66,910.00","55,439,747.40",0.0
SINDU,2025-07-21,865.0,870.0,776.3,807.63,-6.36 %,"242,793.00","194,980,173.90",0.0
SINDU,2025-07-20,891.0,891.0,859.0,862.48,-1.34 %,"67,185.00","58,520,263.70",0.0
SINDU,2025-07-17,883.9,883.9,870.0,874.22,0.87 %,"36,834.00","32,291,944.20",0.0
SINDU,2025-07-16,861.0,886.3,845.0,866.7,0.67 %,"40,641.00","35,412,085.10",0.0
SINDU,2025-07-15,845.1,885.0,845.1,860.96,1.35 %,"38,386.00","33,304,934.50",0.0
SINDU,2025-07-14,872.0,875.0,843.0,849.53,-2.59 %,"48,465.00","41,414,456.10",0.0
SINDU,2025-07-13,900.3,918.0,865.0,872.13,-1.20 %,"75,372.00","66,612,301.20",0.0
SINDU,2025-07-10,920.0,975.0,869.3,882.74,-4.39 %,"110,196.00","99,811,856.30",0.0
SINDU,2025-07-09,915.4,938.0,900.0,923.24,0.86 %,"64,619.00","59,736,102.90",0.0
