Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
SKBBL,2025-09-18,864.3,864.3,812.2,813.0,-7.81 %,"1,767.00","1,468,347.10",0.0
SKBBL,2025-09-08,916.6,916.6,878.8,881.9,-1.87 %,"37,840.00","33,480,802.70",0.0
SKBBL,2025-09-07,913.0,913.0,896.0,898.7,-0.07 %,"17,008.00","15,306,581.30",0.0
SKBBL,2025-09-04,915.0,915.0,894.0,899.34,-0.07 %,"23,231.00","20,841,689.40",0.0
SKBBL,2025-09-03,923.0,923.0,898.0,899.93,-0.63 %,"15,676.00","14,154,841.70",0.0
SKBBL,2025-09-02,930.0,930.0,902.0,905.68,-1.34 %,"10,372.00","9,419,902.40",0.0
SKBBL,2025-09-01,906.0,922.0,900.0,917.94,1.45 %,"32,511.00","29,511,143.50",0.0
SKBBL,2025-08-31,915.1,920.0,900.0,904.8,-1.67 %,"37,429.00","33,892,252.50",0.0
SKBBL,2025-08-28,935.8,940.0,918.1,920.13,-1.99 %,"51,995.00","48,240,753.80",0.0
SKBBL,2025-08-27,954.8,954.8,936.0,938.84,-0.43 %,"50,943.00","47,921,341.20",0.0
SKBBL,2025-08-26,939.0,951.0,935.0,942.91,1.12 %,"90,094.00","85,170,593.90",0.0
SKBBL,2025-08-25,903.5,939.9,903.5,932.44,5.26 %,"155,326.00","143,118,474.70",0.0
SKBBL,2025-08-24,885.0,902.7,882.0,885.81,0.83 %,"38,917.00","34,636,585.10",0.0
SKBBL,2025-08-21,875.0,884.0,873.0,878.56,0.32 %,"13,775.00","12,069,862.50",0.0
SKBBL,2025-08-20,867.5,884.8,867.5,875.73,-0.52 %,"12,924.00","11,310,489.30",0.0
SKBBL,2025-08-19,886.0,886.0,876.0,880.28,1.05 %,"21,722.00","19,111,710.50",0.0
SKBBL,2025-08-18,869.2,875.0,869.2,871.12,0.14 %,"19,967.00","17,379,967.50",0.0
SKBBL,2025-08-17,879.5,886.0,869.2,869.94,-1.03 %,"25,127.00","22,013,428.90",0.0
SKBBL,2025-08-14,880.0,889.0,875.6,878.95,0.09 %,"14,456.00","12,721,533.10",0.3
SKBBL,2025-08-13,902.8,902.8,875.0,878.13,-0.79 %,"22,865.00","20,192,000.40",0.3
SKBBL,2025-08-12,905.0,905.0,883.0,885.13,-1.72 %,"27,146.00","24,130,629.70",0.3
SKBBL,2025-08-11,922.0,926.9,900.0,900.6,-1.99 %,"34,004.00","30,884,141.10",0.3
SKBBL,2025-08-07,925.0,925.0,913.0,918.85,0.68 %,"37,588.00","34,588,732.70",0.3
SKBBL,2025-08-06,919.0,920.0,895.0,912.65,0.62 %,"38,382.00","34,955,087.60",0.3
SKBBL,2025-08-05,918.0,925.0,902.0,907.02,-0.83 %,"28,458.00","25,938,143.70",0.3
SKBBL,2025-08-04,905.0,928.0,886.9,914.58,2.03 %,"53,600.00","48,510,428.30",0.3
SKBBL,2025-08-03,924.0,925.0,890.0,896.38,-3.88 %,"89,801.00","81,376,473.00",0.3
SKBBL,2025-07-31,956.0,956.0,923.0,932.61,-0.66 %,"101,807.00","95,232,481.60",0.3
SKBBL,2025-07-30,960.0,975.0,935.0,938.79,-3.17 %,"143,136.00","136,632,789.50",0.3
SKBBL,2025-07-29,960.0,989.0,960.0,969.48,1.89 %,"92,622.00","90,015,127.40",0.3
SKBBL,2025-07-28,951.5,960.0,935.0,951.52,-0.89 %,"107,836.00","102,188,565.10",0.3
SKBBL,2025-07-27,959.0,975.0,951.0,960.03,0.06 %,"158,496.00","153,205,918.40",0.3
SKBBL,2025-07-24,995.0,995.0,955.2,959.46,-1.89 %,"107,021.00","103,372,125.20",0.3
SKBBL,2025-07-23,988.7,990.0,960.4,977.91,-1.09 %,"106,769.00","103,685,153.90",-1.0
SKBBL,2025-07-22,964.1,999.0,964.1,988.7,4.59 %,"184,988.00","182,461,607.70",-1.0
SKBBL,2025-07-21,928.5,982.2,902.0,945.28,3.84 %,"168,547.00","155,744,937.30",-1.0
SKBBL,2025-07-20,928.0,930.0,904.0,910.35,0.05 %,"163,761.00","150,616,621.00",-1.0
SKBBL,2025-07-17,899.0,916.5,887.0,909.87,2.88 %,"89,453.00","81,015,178.40",-1.0
SKBBL,2025-07-16,864.0,897.6,857.0,884.41,3.78 %,"221,484.00","195,252,789.40",-1.0
SKBBL,2025-07-15,860.0,878.3,840.0,852.23,0.95 %,"74,790.00","63,581,282.30",-1.0
SKBBL,2025-07-14,869.5,869.5,840.0,844.23,-0.97 %,"48,208.00","40,886,812.40",-1.0
SKBBL,2025-07-13,836.7,885.0,836.7,852.49,3.92 %,"101,265.00","86,731,944.40",-1.0
SKBBL,2025-07-10,820.0,825.9,810.3,820.36,1.02 %,"63,977.00","52,335,399.90",-1.0
SKBBL,2025-07-09,819.0,821.0,805.0,812.09,0.68 %,"19,791.00","16,048,952.80",-1.0
SKBBL,2025-07-08,801.5,810.0,801.5,806.58,0.25 %,"10,294.00","8,306,777.20",-1.0
SKBBL,2025-07-07,808.0,812.0,801.0,804.58,-0.66 %,"15,818.00","12,768,844.60",-1.0
SKBBL,2025-07-06,811.0,814.8,797.0,809.95,-0.02 %,"12,679.00","10,254,303.20",-1.0
SKBBL,2025-07-03,817.0,817.0,805.1,810.08,-0.01 %,"11,608.00","9,404,224.30",-1.0
SKBBL,2025-07-02,815.0,819.0,806.0,810.13,0.42 %,"24,282.00","19,698,481.90",-1.0
SKBBL,2025-07-01,800.0,810.0,800.0,806.77,0.80 %,"17,434.00","14,028,995.10",-1.0
SKBBL,2025-06-30,810.0,810.0,795.0,800.34,0.68 %,"10,127.00","8,098,519.80",-1.0
SKBBL,2025-06-29,789.0,800.0,788.1,794.92,0.97 %,"9,180.00","7,263,360.50",-1.0
SKBBL,2025-06-26,785.0,791.0,785.0,787.3,0.25 %,"7,798.00","6,139,206.90",-1.0
SKBBL,2025-06-25,795.0,795.0,781.0,785.33,-0.20 %,"7,340.00","5,766,156.40",-1.0
SKBBL,2025-06-24,794.9,794.9,785.0,786.92,0.34 %,"9,891.00","7,782,909.30",-1.0
SKBBL,2025-06-23,785.0,789.9,780.0,784.29,0.17 %,"16,102.00","12,599,835.10",-1.0
SKBBL,2025-06-22,784.1,796.0,781.1,782.93,-0.59 %,"17,105.00","13,426,708.60",-1.0
SKBBL,2025-06-19,785.6,799.8,785.6,787.57,-0.34 %,"14,602.00","11,545,179.90",-1.0
SKBBL,2025-06-18,805.0,805.0,789.0,790.28,-0.02 %,"19,368.00","15,315,071.80",-1.0
SKBBL,2025-06-17,809.0,809.9,790.0,790.41,-0.81 %,"26,875.00","21,363,722.80",-1.0
SKBBL,2025-06-16,795.0,873.0,785.0,796.85,0.39 %,"20,302.00","16,898,034.50",-1.0
SKBBL,2025-06-15,805.0,808.9,790.3,793.74,-0.23 %,"14,628.00","11,637,276.90",-1.0
SKBBL,2025-06-12,804.9,804.9,795.2,795.57,0.01 %,"16,351.00","13,038,004.50",-1.0
SKBBL,2025-06-11,800.7,800.7,793.4,795.53,0.27 %,"13,512.00","10,760,148.40",-1.0
SKBBL,2025-06-10,788.0,800.0,788.0,793.4,0.38 %,"10,355.00","8,212,163.00",-1.0
SKBBL,2025-06-09,786.0,794.9,785.0,790.38,0.06 %,"7,637.00","6,039,504.10",-1.0
SKBBL,2025-06-08,792.24,799.6,785.3,789.9,-0.30 %,"15,136.00","11,977,231.50",-1.0
SKBBL,2025-06-05,792.0,806.8,792.0,792.24,-0.42 %,"7,638.00","6,064,464.80",-1.0
SKBBL,2025-06-04,800.16,800.16,791.1,795.56,-0.57 %,"9,458.00","7,519,622.30",-1.0
SKBBL,2025-06-03,800.2,803.0,800.0,800.16,-0.33 %,"19,084.00","15,281,121.50",-1.0
SKBBL,2025-06-02,802.0,815.9,800.0,802.81,0.14 %,"16,389.00","13,189,930.80",-1.0
SKBBL,2025-05-28,805.0,809.9,797.0,801.67,-0.03 %,"11,317.00","9,050,236.20",-1.0
SKBBL,2025-05-27,807.0,810.0,796.2,801.95,-0.74 %,"6,551.00","5,256,424.20",-1.0
SKBBL,2025-05-26,833.6,833.6,807.1,807.91,-1.15 %,"18,417.00","14,994,893.40",-1.0
SKBBL,2025-05-25,827.5,827.5,810.5,817.27,0.73 %,"24,475.00","19,990,756.30",-1.0
SKBBL,2025-05-22,814.0,815.5,796.1,811.31,1.40 %,"25,077.00","20,289,076.60",-1.0
SKBBL,2025-05-21,815.0,823.0,797.2,800.11,-0.27 %,"18,664.00","15,057,093.10",-1.0
SKBBL,2025-05-20,787.6,807.9,787.6,802.25,0.83 %,"14,826.00","11,822,221.00",0.0
SKBBL,2025-05-19,807.5,807.5,794.0,795.64,-0.51 %,"8,005.00","6,390,075.10",0.0
SKBBL,2025-05-18,809.0,809.0,794.0,799.69,0.21 %,"37,911.00","30,247,141.10",0.0
SKBBL,2025-05-15,795.0,801.0,791.0,797.99,0.81 %,"33,896.00","27,007,044.10",0.0
SKBBL,2025-05-14,800.0,807.7,787.0,791.55,-0.17 %,"4,869.00","3,860,742.10",0.0
SKBBL,2025-05-13,814.0,814.0,792.1,792.89,-0.85 %,"9,668.00","7,705,131.30",0.0
SKBBL,2025-05-11,787.0,801.0,787.0,799.66,-0.02 %,"8,064.00","6,440,260.40",0.0
SKBBL,2025-05-08,796.0,805.0,791.0,799.85,-0.38 %,"17,451.00","13,955,578.10",0.0
SKBBL,2025-05-07,786.0,808.8,781.0,802.87,2.24 %,"15,789.00","12,482,686.20",0.0
SKBBL,2025-05-06,802.0,802.0,780.2,785.27,-0.22 %,"22,008.00","17,259,670.60",0.0
SKBBL,2025-05-05,797.0,809.9,783.0,787.01,0.54 %,"8,044.00","6,346,168.50",0.0
SKBBL,2025-05-04,793.0,793.0,782.2,782.75,0.07 %,"7,858.00","6,159,255.80",0.0
SKBBL,2025-04-30,786.1,798.5,781.1,782.24,-0.50 %,"8,858.00","6,953,263.70",0.0
SKBBL,2025-04-29,785.21,790.0,785.0,786.15,0.12 %,"11,762.00","9,240,080.30",0.0
SKBBL,2025-04-28,793.0,799.0,784.0,785.21,-0.91 %,"18,378.00","14,501,015.50",0.0
SKBBL,2025-04-27,791.0,804.0,790.1,792.45,0.28 %,"10,218.00","8,112,248.40",0.0
