Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
SNLI,2025-09-18,445,445,427.4,427.4,-5.85 %,"3,142.00","1,355,767.50"
SNLI,2025-09-08,457.47,460,451,453.98,-0.76 %,"13,962.00","6,336,121.90"
SNLI,2025-09-07,460.86,465,455.3,457.47,-0.74 %,"14,503.00","6,645,711.10"
SNLI,2025-09-04,460,464,455,460.86,-0.02 %,"30,082.00","13,793,183.00"
SNLI,2025-09-03,462,470,460.4,460.95,-1.03 %,"10,871.00","5,020,220.50"
SNLI,2025-09-02,466,469,465,465.75,-0.83 %,"17,664.00","8,230,309.60"
SNLI,2025-09-01,469,472,465,469.64,0.10 %,"12,112.00","5,689,373.70"
SNLI,2025-08-31,472,479.5,468,469.15,-0.80 %,"26,806.00","12,643,890.60"
SNLI,2025-08-28,488.4,488.4,472,472.95,-1.25 %,"27,487.00","13,126,794.60"
SNLI,2025-08-27,468.2,480,468.2,478.95,1.38 %,"23,813.00","11,338,307.30"
SNLI,2025-08-26,471,475,469,472.43,-0.38 %,"14,151.00","6,658,170.60"
SNLI,2025-08-25,474.1,475,468.1,474.22,0.48 %,"15,892.00","7,499,775.10"
SNLI,2025-08-24,460,478,460,471.95,0.67 %,"43,487.00","20,560,989.20"
SNLI,2025-08-21,460,472,460,468.8,0.78 %,"24,444.00","11,428,756.50"
SNLI,2025-08-20,468,468,460.5,465.17,-0.56 %,"19,506.00","9,069,507.30"
SNLI,2025-08-19,471.9,471.9,462.5,467.81,0.35 %,"12,715.00","5,950,003.50"
SNLI,2025-08-18,460.4,468,458.4,466.18,1.25 %,"21,719.00","10,110,323.40"
SNLI,2025-08-17,466.38,473,459,460.42,-1.28 %,"60,993.00","28,279,750.50"
SNLI,2025-08-14,465.3,471,462,466.38,0.24 %,"41,407.00","19,319,578.50"
SNLI,2025-08-13,474,481,465,465.28,-1.84 %,"50,372.00","23,616,925.60"
SNLI,2025-08-12,470,480.5,470,473.98,-0.86 %,"32,317.00","15,354,814.20"
SNLI,2025-08-11,480.1,490,477,478.09,-0.71 %,"40,486.00","19,458,860.00"
SNLI,2025-08-07,480.83,490,475.7,481.5,0.14 %,"29,526.00","14,252,121.10"
SNLI,2025-08-06,492.7,492.7,480,480.83,-0.47 %,"33,403.00","16,135,724.40"
SNLI,2025-08-05,490,493,482,483.12,-2.26 %,"38,429.00","18,685,745.10"
SNLI,2025-08-04,498,498.8,482,494.27,1.07 %,"44,331.00","21,692,010.00"
SNLI,2025-08-03,500,505,485,489.06,-2.95 %,"61,093.00","30,162,409.40"
SNLI,2025-07-31,511.23,513,502,503.9,-1.43 %,"44,991.00","22,789,391.70"
SNLI,2025-07-30,512,525,510,511.23,-1.53 %,"53,427.00","27,538,225.90"
SNLI,2025-07-29,518,530,516.1,519.15,0.93 %,"93,267.00","48,878,533.50"
SNLI,2025-07-28,520,523,510,514.35,-0.31 %,"51,250.00","26,305,958.60"
SNLI,2025-07-27,521.03,533.4,515,515.93,-0.98 %,"74,704.00","39,068,503.00"
SNLI,2025-07-24,524.85,530,517.1,521.03,-0.73 %,"55,807.00","29,083,922.90"
SNLI,2025-07-23,533,538,520,524.85,-0.92 %,"55,870.00","29,332,682.50"
SNLI,2025-07-22,504,534,504,529.71,4.95 %,"107,443.00","56,159,036.90"
SNLI,2025-07-21,510,510,500,504.74,-0.52 %,"44,588.00","22,498,329.60"
SNLI,2025-07-20,511,515,503,507.37,1.27 %,"106,620.00","54,242,745.40"
SNLI,2025-07-17,500,510,491,501.03,2.12 %,"67,688.00","33,973,293.90"
SNLI,2025-07-16,480,495,480,490.64,1.03 %,"47,924.00","23,471,241.00"
SNLI,2025-07-15,486,495.6,475,485.64,-0.05 %,"35,464.00","17,069,505.00"
SNLI,2025-07-14,485,493,485,485.89,-1.30 %,"16,653.00","8,125,379.70"
SNLI,2025-07-13,500,509.9,490,492.31,0.36 %,"25,000.00","12,376,229.50"
SNLI,2025-07-10,485.1,495.5,485.1,490.52,0.37 %,"24,278.00","11,913,004.80"
SNLI,2025-07-09,485.1,493.9,485.1,488.72,0.35 %,"20,764.00","10,145,557.80"
SNLI,2025-07-08,480,492,480,487.03,-0.22 %,"14,154.00","6,890,262.70"
SNLI,2025-07-07,500,503.5,485,488.1,-1.44 %,"15,759.00","7,758,386.50"
SNLI,2025-07-06,508,508,490.1,495.23,-2.00 %,"31,721.00","15,853,368.80"
SNLI,2025-07-03,496.9,511,485,505.35,3.68 %,"47,137.00","23,438,795.80"
SNLI,2025-07-02,468.8,489.6,468,487.39,4.07 %,"31,646.00","15,252,261.70"
SNLI,2025-07-01,470,470,460,468.31,0.77 %,"7,391.00","3,450,461.00"
SNLI,2025-06-30,457.2,471.2,457.2,464.74,0.22 %,"8,821.00","4,110,554.00"
SNLI,2025-06-29,463,468,458,463.71,1.06 %,"9,661.00","4,454,913.30"
SNLI,2025-06-26,457,464,457,458.86,0.28 %,"7,153.00","3,284,196.70"
SNLI,2025-06-25,455,465,455,457.56,0.18 %,"6,447.00","2,956,257.00"
SNLI,2025-06-24,460,469,452,456.75,-0.80 %,"14,643.00","6,699,083.80"
SNLI,2025-06-23,456,488,456,460.45,-0.31 %,"9,431.00","4,356,462.80"
SNLI,2025-06-22,465,477,460.6,461.86,-1.86 %,"13,144.00","6,123,851.80"
SNLI,2025-06-19,472,479.9,470,470.59,-1.23 %,"19,425.00","9,215,530.10"
SNLI,2025-06-18,470.1,480,470.1,476.44,0.17 %,"7,966.00","3,783,027.30"
SNLI,2025-06-17,477,480,474,475.61,-0.51 %,"15,846.00","7,534,650.00"
SNLI,2025-06-16,473.1,480,473.1,478.04,0.61 %,"10,321.00","4,919,789.90"
SNLI,2025-06-15,475.2,484,472,475.12,-0.54 %,"8,204.00","3,902,208.90"
SNLI,2025-06-12,473,481,473,477.69,-0.56 %,"7,073.00","3,371,160.40"
SNLI,2025-06-11,480,490,477.1,480.4,-1.41 %,"11,045.00","5,302,309.40"
SNLI,2025-06-10,475,490,475,487.25,1.72 %,"13,430.00","6,482,539.90"
SNLI,2025-06-09,480,487,477.1,479.03,-0.84 %,"9,366.00","4,488,847.50"
SNLI,2025-06-08,477,490,476,483.09,0.13 %,"8,526.00","4,080,388.20"
SNLI,2025-06-05,478.2,489.9,478.2,482.48,-0.99 %,"7,927.00","3,824,956.10"
SNLI,2025-06-04,485,490,485,487.3,-0.24 %,"5,760.00","2,797,755.20"
SNLI,2025-06-03,491,494,483.5,488.46,-0.77 %,"9,195.00","4,505,062.70"
SNLI,2025-06-02,499.5,500,490,492.24,0.50 %,"18,288.00","9,031,069.00"
SNLI,2025-05-28,486.1,491,486.1,489.81,0.23 %,"10,081.00","4,929,810.80"
SNLI,2025-05-27,490,492,485.1,488.67,-0.44 %,"5,447.00","2,660,041.20"
SNLI,2025-05-26,500,501,490,490.82,-0.26 %,"14,853.00","7,334,875.00"
SNLI,2025-05-25,500,500,490.1,492.11,0.19 %,"15,756.00","7,756,937.70"
SNLI,2025-05-22,505,505,488.8,491.2,-0.91 %,"13,424.00","6,607,708.40"
SNLI,2025-05-21,502.9,518,495.1,495.7,0.54 %,"14,941.00","7,509,216.30"
SNLI,2025-05-20,483,497,483,493.05,1.31 %,"11,100.00","5,453,130.70"
SNLI,2025-05-19,488,494.9,480.1,486.67,-0.66 %,"27,485.00","13,293,973.40"
SNLI,2025-05-18,490,492,481.1,489.88,-0.09 %,"6,188.00","3,015,927.60"
SNLI,2025-05-15,491,493,489.6,490.32,-0.71 %,"13,219.00","6,482,279.10"
SNLI,2025-05-14,509.4,509.4,491.1,493.85,-1.12 %,"18,671.00","9,269,517.10"
SNLI,2025-05-13,494,501.8,494,499.42,1.12 %,"22,467.00","11,177,433.70"
SNLI,2025-05-11,493,499,488,493.87,0.19 %,"18,685.00","9,220,232.50"
SNLI,2025-05-08,488,500,485.1,492.91,0.87 %,"17,965.00","8,842,841.80"
SNLI,2025-05-07,475,503,471,488.68,3.24 %,"18,240.00","8,754,974.00"
SNLI,2025-05-06,481,482.5,472.9,473.36,-1.41 %,"20,449.00","9,704,670.80"
SNLI,2025-05-05,482,488.7,479,480.13,-0.47 %,"13,085.00","6,299,786.70"
SNLI,2025-05-04,495,495,482,482.42,-1.02 %,"14,924.00","7,245,654.20"
SNLI,2025-04-30,494,499.4,485,487.37,0.36 %,"17,603.00","8,628,185.40"
SNLI,2025-04-29,486,499,485,485.6,-1.95 %,"23,975.00","11,701,035.70"
SNLI,2025-04-28,502,502.9,493,495.28,-0.36 %,"18,071.00","8,977,209.30"
SNLI,2025-04-27,502,502,492,497.09,-0.82 %,"40,685.00","20,151,154.50"
SNLI,2025-04-24,501,505,497.1,501.18,-0.37 %,"10,370.00","5,191,100.40"
SNLI,2025-04-23,503,510,501.1,503.05,-0.06 %,"13,528.00","6,795,900.10"
SNLI,2025-04-22,500,510,500,503.36,-0.42 %,"23,813.00","11,981,074.90"
SNLI,2025-04-21,500.1,508,500.1,505.47,-0.74 %,"30,355.00","15,264,183.50"
SNLI,2025-04-20,516,525,500,509.23,-1.44 %,"36,004.00","18,372,500.90"
SNLI,2025-04-17,639.7,639.7,619,629.16,0.31 %,"133,097.00","83,473,879.10"
SNLI,2025-04-16,632,638,623.1,627.24,-0.54 %,"55,399.00","34,723,086.80"
SNLI,2025-04-15,641,645,629.6,630.66,-1.53 %,"72,534.00","45,953,738.60"
SNLI,2025-04-13,648.2,660,632.1,640.48,0.69 %,"101,521.00","65,270,549.40"
SNLI,2025-04-10,644,644,635,636.07,-1.26 %,"13,743.00","8,764,953.90"
SNLI,2025-04-09,636.9,649,629,644.17,1.66 %,"21,912.00","14,059,036.20"
SNLI,2025-04-08,636,636,618,633.67,-0.44 %,"50,793.00","31,690,117.50"
SNLI,2025-04-07,658,658,634.1,636.47,-1.51 %,"26,520.00","17,027,709.50"
SNLI,2025-04-03,645,663,640,646.26,-0.61 %,"24,220.00","15,759,789.80"
SNLI,2025-04-02,647.78,652,637,650.22,0.38 %,"11,688.00","7,547,169.50"
SNLI,2025-04-01,654,660,640,647.78,-0.98 %,"21,232.00","13,673,998.80"
SNLI,2025-03-30,639.4,668,639.4,654.22,0.27 %,"42,236.00","27,785,591.00"
SNLI,2025-03-27,643,657.9,636,652.44,1.44 %,"27,391.00","17,732,862.90"
SNLI,2025-03-26,622,645,622,643.19,3.22 %,"20,083.00","12,809,133.50"
SNLI,2025-03-25,645,653,622,623.13,-3.48 %,"28,934.00","18,250,178.70"
SNLI,2025-03-24,645,655,635,645.57,0.02 %,"26,167.00","16,819,890.90"
SNLI,2025-03-23,655.1,666.9,644,645.41,-3.34 %,"36,840.00","24,078,294.10"
SNLI,2025-03-20,659,671,658,667.74,0.41 %,"23,494.00","15,621,350.20"
SNLI,2025-03-19,695,695,657,665,-3.20 %,"67,833.00","45,407,070.30"
SNLI,2025-03-18,706.8,706.8,686,687,-0.87 %,"69,187.00","47,744,195.60"
SNLI,2025-03-17,695,707.5,690,693,-0.29 %,"36,227.00","25,358,217.50"
SNLI,2025-03-16,700.2,709.9,692,695,-0.74 %,"30,976.00","21,615,141.40"
SNLI,2025-03-12,692,709,692,700.2,1.18 %,"47,753.00","33,463,429.40"
SNLI,2025-03-11,700,716,690,692,-1.14 %,"67,389.00","47,293,750.00"
SNLI,2025-03-10,708,717.8,697.1,700,-1.55 %,"46,584.00","32,942,498.40"
SNLI,2025-03-09,709,729.9,703,711,-1.39 %,"79,487.00","56,721,666.90"
SNLI,2025-03-05,700.1,715,700.1,702.5,-0.64 %,"83,756.00","59,176,210.70"
SNLI,2025-03-04,729.9,730,707,707,-1.81 %,"66,537.00","47,614,498.80"
SNLI,2025-03-03,735,740,720,720,-1.71 %,"136,399.00","99,381,545.30"
SNLI,2025-03-02,729.9,739.5,721.6,732.5,1.03 %,"106,553.00","77,888,324.30"
SNLI,2025-02-27,721,727,710,725,0.55 %,"76,631.00","54,939,692.80"
SNLI,2025-02-25,718,744.5,710.5,721,0.29 %,"171,204.00","124,965,721.90"
SNLI,2025-02-24,710,724,691.3,718.9,1.25 %,"157,645.00","111,609,306.40"
SNLI,2025-02-23,680,716.8,680,710,2.75 %,"142,480.00","101,207,054.30"
SNLI,2025-02-20,681,702.4,675.5,691,1.47 %,"137,268.00","95,396,710.50"
SNLI,2025-02-18,676.6,694,672.1,681,0.65 %,"73,160.00","50,251,708.00"
SNLI,2025-02-17,680.3,683.9,676,676.6,-0.54 %,"58,941.00","40,072,851.60"
SNLI,2025-02-16,676.2,701,676.2,680.3,-0.10 %,"128,738.00","89,071,558.90"
SNLI,2025-02-13,660,687.5,660,681,2.41 %,"158,556.00","107,706,571.50"
SNLI,2025-02-12,651,667,647,665,2.15 %,"55,899.00","37,047,644.80"
SNLI,2025-02-11,661,661,649,651,0.00 %,"26,205.00","17,077,791.90"
SNLI,2025-02-10,650,663,646.1,651,0.14 %,"33,733.00","21,973,362.60"
SNLI,2025-02-09,638.3,665,638.3,650.1,0.32 %,"41,862.00","27,458,393.30"
SNLI,2025-02-06,640.09,660,640.09,648,0.86 %,"75,568.00","48,956,430.77"
SNLI,2025-02-05,650,654,641.5,642.5,-0.73 %,"31,338.00","20,242,312.80"
SNLI,2025-02-04,647.1,658.9,647,647.2,-1.49 %,"31,433.00","20,473,515.70"
SNLI,2025-02-03,665,671,650,657,-0.30 %,"45,754.00","30,162,706.70"
SNLI,2025-02-02,640,659,635,659,2.98 %,"40,322.00","26,197,522.20"
SNLI,2025-01-28,631,642,631,639.9,0.50 %,"27,407.00","17,462,637.30"
SNLI,2025-01-27,645,647,635,636.7,-1.44 %,"29,751.00","19,041,659.60"
SNLI,2025-01-26,655,661.5,644,646,-0.92 %,"47,438.00","30,827,455.00"
SNLI,2025-01-23,640,658,638.7,652,1.56 %,"55,992.00","36,456,121.50"
SNLI,2025-01-22,644,647,630,642,0.78 %,"36,998.00","23,767,236.60"
