Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
SPDL,2025-09-18,395,395,362.4,362.4,-10.00 %,"9,385.00","3,450,863.00"
SPDL,2025-09-08,396,408,396,402.65,1.65 %,"173,738.00","69,775,931.40"
SPDL,2025-09-07,394.1,404,394,396.1,-0.14 %,"38,060.00","15,181,927.30"
SPDL,2025-09-04,394,399,393,396.67,0.93 %,"102,347.00","40,557,763.70"
SPDL,2025-09-03,390,403.6,390,393,0.48 %,"57,621.00","22,838,915.30"
SPDL,2025-09-02,403,403,391,391.14,-1.22 %,"45,915.00","18,018,683.00"
SPDL,2025-09-01,396,401,393.2,395.96,-0.06 %,"47,971.00","19,012,533.60"
SPDL,2025-08-31,400,404.9,395,396.21,-0.95 %,"69,328.00","27,503,693.00"
SPDL,2025-08-28,404.2,420,398,400.03,-2.99 %,"133,784.00","54,421,407.90"
SPDL,2025-08-27,395,414,395,412.37,4.48 %,"78,873.00","32,048,433.90"
SPDL,2025-08-26,395.5,399,393,394.67,-0.21 %,"32,807.00","12,960,330.20"
SPDL,2025-08-25,390,399.8,388.3,395.49,0.64 %,"45,788.00","18,023,399.20"
SPDL,2025-08-24,397,401,391.5,392.98,-1.15 %,"53,699.00","21,184,791.00"
SPDL,2025-08-21,402,404,396.1,397.56,-0.90 %,"65,148.00","25,936,498.80"
SPDL,2025-08-20,401.4,407.8,400.3,401.19,-0.82 %,"39,967.00","16,127,616.00"
SPDL,2025-08-19,396,410,396,404.52,0.19 %,"42,538.00","17,258,300.70"
SPDL,2025-08-18,405,408,400,403.75,0.67 %,"46,970.00","18,936,498.60"
SPDL,2025-08-17,407,413.2,400.1,401.07,-1.33 %,"87,165.00","35,305,882.20"
SPDL,2025-08-14,404,410,404,406.46,-0.08 %,"63,676.00","25,870,244.40"
SPDL,2025-08-13,409.8,414.5,402.1,406.8,1.24 %,"68,834.00","27,983,890.50"
SPDL,2025-08-12,400,407.9,398.2,401.81,-0.70 %,"82,676.00","33,267,494.00"
SPDL,2025-08-11,417.9,417.9,400,404.66,-1.26 %,"116,853.00","47,722,474.80"
SPDL,2025-08-07,415.9,415.9,405,409.82,0.37 %,"79,582.00","32,740,541.80"
SPDL,2025-08-06,405,415,401,408.29,0.92 %,"68,236.00","27,927,387.00"
SPDL,2025-08-05,416.9,416.9,404,404.58,-1.51 %,"75,615.00","30,765,214.20"
SPDL,2025-08-04,415,418,407,410.77,-0.62 %,"125,497.00","51,553,457.70"
SPDL,2025-08-03,410,417,408.3,413.32,0.69 %,"113,208.00","46,623,096.90"
SPDL,2025-07-31,416.1,421.6,410,410.49,-1.43 %,"158,705.00","65,732,177.00"
SPDL,2025-07-30,427.6,434,414.6,416.43,-3.60 %,"191,823.00","81,101,567.30"
SPDL,2025-07-29,429.3,450,429.3,432,-1.37 %,"154,177.00","67,401,730.30"
SPDL,2025-07-28,427.2,443.1,427.2,438,0.48 %,"230,952.00","100,371,592.20"
SPDL,2025-07-27,444.9,456.5,435,435.9,-0.48 %,"440,087.00","196,117,800.20"
SPDL,2025-07-24,432,444.9,422,438,3.30 %,"384,733.00","167,538,066.40"
SPDL,2025-07-23,430.9,430.9,420,424.02,0.36 %,"184,176.00","78,152,486.20"
SPDL,2025-07-22,421.9,435,420,422.5,0.13 %,"204,295.00","87,226,055.30"
SPDL,2025-07-21,426,426,418,421.95,0.04 %,"198,935.00","83,712,774.90"
SPDL,2025-07-20,437.1,437.1,419.1,421.77,-1.58 %,"272,076.00","116,239,718.30"
