Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
SWBBL,2025-09-18,807.0,807.0,756.9,760.0,-7.67 %,976.00,"757,924.00",0.0
SWBBL,2025-09-08,840.9,841.0,820.0,823.11,-1.22 %,"8,090.00","6,682,924.40",0.0
SWBBL,2025-09-07,835.0,838.9,831.2,833.3,0.68 %,"2,086.00","1,739,684.60",0.0
SWBBL,2025-09-04,825.1,841.6,815.1,827.71,-0.45 %,"15,851.00","13,046,529.20",0.0
SWBBL,2025-09-03,840.0,843.0,831.0,831.42,-0.21 %,"5,331.00","4,455,619.60",0.0
SWBBL,2025-09-02,850.0,856.9,830.0,833.19,-0.89 %,"6,942.00","5,808,034.60",0.0
SWBBL,2025-09-01,848.0,848.6,832.0,840.68,-0.88 %,"9,073.00","7,618,389.50",0.0
SWBBL,2025-08-31,880.0,880.0,845.0,848.13,-2.41 %,"11,975.00","10,255,911.80",0.0
SWBBL,2025-08-28,890.0,890.0,865.0,869.06,-1.53 %,"13,476.00","11,783,880.50",0.0
SWBBL,2025-08-27,887.0,887.0,872.0,882.53,1.25 %,"6,354.00","5,603,564.60",0.0
SWBBL,2025-08-26,890.0,890.0,865.0,871.63,-1.72 %,"8,565.00","7,504,035.70",0.0
SWBBL,2025-08-25,894.0,928.0,874.0,886.89,1.17 %,"17,766.00","15,794,617.30",0.0
SWBBL,2025-08-24,891.0,894.0,865.0,876.61,-0.09 %,"14,322.00","12,601,384.30",0.0
SWBBL,2025-08-21,880.0,885.0,871.0,877.37,-0.31 %,"8,220.00","7,218,391.00",0.0
SWBBL,2025-08-20,890.0,892.0,880.0,880.13,-1.59 %,"6,699.00","5,932,702.60",0.0
SWBBL,2025-08-19,904.0,904.0,892.1,894.39,-0.84 %,"7,765.00","6,959,608.00",0.0
SWBBL,2025-08-18,900.0,911.0,881.1,901.99,0.61 %,"7,243.00","6,509,214.00",0.0
SWBBL,2025-08-17,909.0,922.0,890.0,896.49,-1.40 %,"16,697.00","15,046,268.60",0.0
SWBBL,2025-08-14,933.9,933.9,908.0,909.18,-0.79 %,"9,025.00","8,257,459.00",0.0
SWBBL,2025-08-13,942.0,942.0,915.0,916.46,-0.93 %,"15,952.00","14,774,546.70",1.0
SWBBL,2025-08-12,933.9,952.5,905.0,925.05,0.88 %,"49,346.00","45,305,645.10",1.0
SWBBL,2025-08-11,940.0,940.0,911.0,916.95,-2.65 %,"16,882.00","15,600,233.30",1.0
SWBBL,2025-08-07,959.5,959.5,940.0,941.87,0.13 %,"14,379.00","13,559,240.30",1.0
SWBBL,2025-08-06,964.2,964.2,927.0,940.69,-0.49 %,"21,001.00","19,877,303.00",0.3
SWBBL,2025-08-05,960.0,960.0,935.0,945.3,0.29 %,"16,305.00","15,490,219.70",0.3
SWBBL,2025-08-04,940.0,960.0,920.0,942.53,1.15 %,"19,216.00","17,936,473.20",0.3
SWBBL,2025-08-03,952.0,969.0,925.0,931.77,-3.15 %,"31,978.00","30,088,793.10",0.3
SWBBL,2025-07-31,995.0,1016.0,957.2,962.09,-1.49 %,"32,060.00","31,213,511.10",0.3
SWBBL,2025-07-30,1034.0,1034.0,970.0,976.66,-3.68 %,"48,226.00","47,717,611.80",0.3
SWBBL,2025-07-29,1020.0,1028.0,1010.5,1013.96,0.66 %,"56,705.00","57,755,810.30",0.3
SWBBL,2025-07-28,1039.0,1039.0,988.0,1007.34,-1.15 %,"64,705.00","65,133,899.40",0.3
SWBBL,2025-07-27,1020.0,1046.5,1010.0,1019.08,1.20 %,"149,276.00","153,712,582.10",0.3
SWBBL,2025-07-24,980.0,1039.0,980.0,1007.03,0.91 %,"170,658.00","172,015,058.40",0.3
SWBBL,2025-07-23,969.8,1015.0,953.0,997.91,3.42 %,"164,873.00","161,326,281.00",0.3
SWBBL,2025-07-22,885.0,967.0,885.0,964.94,7.18 %,"118,429.00","111,965,518.50",0.3
SWBBL,2025-07-21,904.9,905.0,878.0,900.3,1.17 %,"14,467.00","12,966,102.30",0.3
SWBBL,2025-07-20,900.0,924.0,888.0,889.86,-0.68 %,"41,301.00","37,256,577.10",0.3
SWBBL,2025-07-17,890.0,907.8,890.0,895.93,1.64 %,"18,567.00","16,702,775.20",0.3
SWBBL,2025-07-16,877.0,895.0,877.0,881.44,0.44 %,"21,611.00","19,119,196.50",0.3
SWBBL,2025-07-15,872.0,882.0,856.1,877.6,1.91 %,"17,271.00","15,079,238.90",0.3
SWBBL,2025-07-14,883.0,883.0,856.0,861.15,-1.03 %,"7,869.00","6,808,358.50",0.3
SWBBL,2025-07-13,857.5,884.0,857.5,870.14,3.49 %,"31,759.00","27,677,726.80",0.0
SWBBL,2025-07-10,833.0,843.7,825.1,840.78,1.93 %,"9,289.00","7,763,801.20",0.0
SWBBL,2025-07-09,827.4,832.0,821.1,824.82,0.07 %,"2,651.00","2,191,301.20",0.0
SWBBL,2025-07-08,817.5,827.6,817.5,824.28,-0.92 %,"1,443.00","1,183,683.90",0.0
SWBBL,2025-07-07,831.0,840.0,820.0,831.93,-0.48 %,"10,529.00","8,671,812.00",0.0
SWBBL,2025-07-06,836.0,842.0,833.0,835.95,0.02 %,"6,304.00","5,275,830.60",0.0
SWBBL,2025-07-03,826.1,845.0,826.1,835.76,-0.01 %,"14,016.00","11,750,291.80",0.0
SWBBL,2025-07-02,840.0,847.5,820.0,835.86,0.60 %,"14,102.00","11,770,418.90",0.0
SWBBL,2025-07-01,834.0,834.0,821.0,830.89,1.11 %,"6,834.00","5,642,467.80",0.0
SWBBL,2025-06-30,807.0,825.0,807.0,821.73,0.81 %,"3,282.00","2,677,584.00",0.0
SWBBL,2025-06-29,787.1,820.0,787.1,815.13,2.48 %,"6,466.00","5,162,115.60",0.0
SWBBL,2025-06-26,790.5,800.0,787.0,795.4,0.46 %,"2,303.00","1,824,182.20",0.0
SWBBL,2025-06-25,790.0,799.0,785.1,791.77,-0.61 %,980.00,"777,961.10",0.0
SWBBL,2025-06-24,783.0,810.0,782.4,796.66,0.81 %,"4,040.00","3,222,412.00",0.0
