Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
TRH,11/6/2025,703.7,729.8,703.7,717,-0.14 %,"8,012.00","5,769,446.50"
TRH,11/5/2025,720,725,715,718,-0.83 %,"8,035.00","5,780,608.30"
TRH,11/4/2025,719.1,737,719.1,724,-1.32 %,"9,178.00","6,676,933.40"
TRH,11/3/2025,719.1,748,716.1,733.7,1.23 %,"14,914.00","10,865,297.50"
TRH,11/2/2025,720,733.9,711.1,724.8,0.67 %,"15,084.00","10,881,777.20"
TRH,10/30/2025,725.2,740,711,720,-2.69 %,"11,132.00","8,102,276.20"
TRH,10/29/2025,730,750,730,739.9,0.67 %,"8,954.00","6,614,997.50"
TRH,10/28/2025,725.5,752,701.3,735,-0.54 %,"24,734.00","17,652,450.20"
TRH,10/26/2025,780.1,780.1,716.4,739,-7.16 %,"27,892.00","20,122,049.80"
TRH,10/19/2025,810,814,796,796,-1.47 %,"1,107.00","888,708.00"
TRH,10/16/2025,800,808.6,793,807.9,-0.85 %,"2,479.00","1,973,005.90"
TRH,10/15/2025,805,816,800.1,814.8,-0.15 %,"2,174.00","1,745,479.00"
TRH,10/14/2025,820,828.9,809.1,816,-0.09 %,"1,296.00","1,060,917.00"
TRH,10/13/2025,801,816.7,799.1,816.7,1.96 %,"3,216.00","2,589,430.40"
TRH,10/12/2025,812,815,796,801,-3.14 %,"3,924.00","3,143,860.50"
TRH,10/9/2025,830,845,807.1,827,0.98 %,"6,317.00","5,183,502.00"
TRH,10/8/2025,835,835,813,819,-3.08 %,"3,029.00","2,478,112.70"
TRH,10/7/2025,840,850,823.2,845,-1.38 %,"7,591.00","6,344,654.70"
TRH,9/28/2025,850,856.8,825,856.8,2.12 %,"8,799.00","7,315,222.50"
TRH,9/25/2025,840,844.7,833.1,839,-1.29 %,"2,040.00","1,707,625.00"
TRH,9/24/2025,860.7,867,842.8,850,-1.16 %,"8,148.00","6,917,342.60"
TRH,9/23/2025,850,874,837.1,860,0.76 %,"6,220.00","5,324,223.60"
TRH,9/21/2025,879.3,914.5,807.5,853.48,-4.87 %,"18,553.00","15,460,270.50"
TRH,9/18/2025,897.2,897.2,897.2,897.2,-2.00%,50,"44,860.00"
TRH,9/8/2025,918.5,919,915,915.47,-0.62%,"2,160.00","1,979,319.20"
TRH,9/7/2025,918,937.6,918,921.22,0.20%,"4,396.00","4,058,956.90"
TRH,9/4/2025,911.4,926,911.4,919.37,-0.63%,"3,235.00","2,972,635.00"
TRH,9/3/2025,920,944.9,920,925.16,-0.30%,"4,180.00","3,884,415.60"
TRH,9/2/2025,940,940,925,927.93,-1.46%,"11,633.00","10,848,165.00"
TRH,9/1/2025,942,946,935,941.64,-0.32%,"7,596.00","7,129,416.00"
TRH,8/31/2025,956,963,935,944.65,-1.60%,"6,176.00","5,840,931.50"
TRH,8/28/2025,992,992,955.2,960,-1.56%,"7,639.00","7,406,149.50"
TRH,8/27/2025,962,980,960,975.25,1.65%,"6,108.00","5,914,023.60"
TRH,8/26/2025,962,966.9,948,959.42,-1.01%,"7,545.00","7,211,849.70"
TRH,8/25/2025,960,973,958,969.18,0.23%,"1,391.00","1,342,799.00"
TRH,8/24/2025,960,972.4,955,966.98,1.06%,"6,044.00","5,848,757.70"
TRH,8/21/2025,955,971.9,955,956.83,-0.26%,"4,051.00","3,882,230.90"
TRH,8/20/2025,948,975,940.1,959.29,1.51%,"5,559.00","5,330,773.00"
TRH,8/19/2025,950,957.5,944,945,-0.31%,"3,510.00","3,328,518.00"
TRH,8/18/2025,921.8,950,921.8,947.91,0.78%,"2,803.00","2,646,029.30"
TRH,8/17/2025,936,952,936,940.58,-0.22%,"5,159.00","4,869,266.00"
TRH,8/14/2025,939,955,935.1,942.66,0.17%,"3,098.00","2,914,467.10"
TRH,8/13/2025,950,958,940,941.06,-1.69%,"7,794.00","7,354,750.50"
TRH,8/12/2025,942,965,942,957.2,0.70%,"2,766.00","2,646,018.00"
TRH,8/11/2025,946,964.9,944.9,950.55,0.44%,"6,160.00","5,849,580.40"
TRH,8/7/2025,969,969.5,945,946.35,-0.44%,"7,172.00","6,813,208.20"
TRH,8/6/2025,941,979,941,950.55,-0.99%,"15,834.00","15,081,180.60"
TRH,8/5/2025,983,983,957,960.09,-0.38%,"3,708.00","3,565,210.10"
TRH,8/4/2025,994,1000,957,963.74,-1.20%,"10,653.00","10,256,219.40"
TRH,8/3/2025,990,999,973.2,975.46,-1.45%,"12,542.00","12,264,437.10"
TRH,7/31/2025,1008,1030.8,980,989.84,-2.06%,"17,472.00","17,470,778.80"
TRH,7/30/2025,1025,1045,1010.2,1010.62,-2.62%,"10,987.00","11,247,361.60"
TRH,7/29/2025,1028.5,1063.8,1025,1037.82,1.48%,"6,368.00","6,646,832.40"
TRH,7/28/2025,1046.9,1051,1001.1,1022.72,-0.98%,"20,725.00","21,299,105.30"
TRH,7/27/2025,1054.8,1086.3,1026.2,1032.83,-0.13%,"34,761.00","36,643,521.20"
TRH,7/24/2025,1018,1065,1018,1034.15,0.88%,"15,661.00","16,215,492.10"
TRH,7/23/2025,1049,1049,1010,1025.08,-0.91%,"10,129.00","10,346,639.60"
TRH,7/22/2025,1010,1050.6,1002.7,1034.48,3.22%,"21,159.00","21,676,599.30"
TRH,7/21/2025,996.9,1005,990,1002.19,1.34%,"11,218.00","11,193,692.90"
TRH,7/20/2025,985,1015,969,988.98,1.94%,"24,914.00","24,631,458.60"
TRH,7/17/2025,965,980,946,970.16,2.54%,"11,923.00","11,564,089.50"
TRH,7/16/2025,940,957,939,946.12,0.50%,"10,063.00","9,548,762.00"
TRH,7/15/2025,958,958,939,941.42,-0.74%,"4,132.00","3,922,536.90"
TRH,7/14/2025,969,1045.3,938,948.41,-0.20%,"14,705.00","14,676,425.80"
TRH,7/13/2025,969,970,940,950.33,-0.15%,"8,542.00","8,115,897.60"
TRH,7/10/2025,950,955,930,951.73,1.37%,"12,778.00","12,038,526.70"
TRH,7/9/2025,925,943,925,938.86,1.00%,"3,657.00","3,416,347.10"
TRH,7/8/2025,930,937,924,929.56,-0.34%,"1,561.00","1,449,317.00"
TRH,7/7/2025,935,944,932.1,932.7,-0.02%,"3,370.00","3,154,989.00"
TRH,7/6/2025,936,943.1,931.2,932.84,-0.65%,"3,099.00","2,900,692.90"
TRH,7/3/2025,921,945,920.1,938.94,1.13%,"5,730.00","5,358,064.50"
TRH,7/2/2025,913,951,901,928.48,1.34%,"8,563.00","7,970,832.10"
TRH,7/1/2025,913,924.4,907,916.16,0.11%,"1,658.00","1,522,148.50"
TRH,6/30/2025,911,929,911,915.11,0.13%,"1,323.00","1,212,243.60"
TRH,6/29/2025,933,933,898,913.95,-0.25%,"4,261.00","3,875,599.40"
TRH,6/26/2025,920.1,930,915,916.28,-1.40%,"8,897.00","8,177,753.00"
TRH,6/25/2025,934,934,920.2,929.29,1.26%,"1,546.00","1,430,365.00"
TRH,6/24/2025,940,944,916.2,917.73,-1.09%,"2,406.00","2,235,936.00"
TRH,6/23/2025,921,930,920.1,927.81,0.85%,"4,950.00","4,574,558.00"
TRH,6/22/2025,931,949.6,919,920,-2.63%,"9,078.00","8,418,852.00"
TRH,6/19/2025,944,955,926,944.85,-0.01%,"9,814.00","9,214,117.70"
TRH,6/18/2025,950,973,940,944.99,-1.48%,"3,487.00","3,299,974.00"
TRH,6/17/2025,995,996,950.1,959.14,-2.16%,"12,637.00","12,292,675.50"
TRH,6/16/2025,955,985,952,980.32,3.00%,"27,441.00","26,675,573.40"
TRH,6/15/2025,955,958,940,951.74,0.94%,"2,574.00","2,441,777.90"
TRH,6/12/2025,921,958.9,921,942.89,1.73%,"8,224.00","7,761,578.00"
TRH,6/11/2025,957.9,957.9,921.2,926.86,-1.48%,"7,790.00","7,242,694.40"
TRH,6/10/2025,945,965,940.1,940.82,1.33%,"3,785.00","3,617,948.70"
TRH,6/9/2025,944,944,926,928.47,-0.43%,"3,540.00","3,296,093.70"
TRH,6/8/2025,930.1,940,928,932.48,-1.11%,"5,025.00","4,691,962.70"
TRH,6/5/2025,948.1,966,940.2,942.91,-1.71%,"7,704.00","7,288,329.50"
TRH,6/4/2025,972.9,972.9,956.5,959.36,0.40%,"3,735.00","3,589,095.30"
TRH,6/3/2025,970,975,953,955.54,-1.57%,"6,086.00","5,837,563.30"
TRH,6/2/2025,953.5,976,953.5,970.79,3.84%,"14,986.00","14,489,431.00"
TRH,5/28/2025,945,948,933,934.86,0.21%,"5,348.00","5,020,733.30"
TRH,5/27/2025,950,950,928.7,932.92,-1.54%,"12,533.00","11,710,752.30"
TRH,5/26/2025,964.6,983.8,935,947.55,0.19%,"10,080.00","9,516,072.60"
TRH,5/25/2025,953.2,986,940,945.74,-2.19%,"13,182.00","12,613,716.50"
TRH,5/22/2025,1025,1040,961,966.88,-5.67%,"17,756.00","17,365,922.70"
TRH,5/21/2025,1036.6,1075,980,1025,0.85%,"19,736.00","19,914,439.60"
TRH,5/20/2025,1000,1040,990,1016.34,1.28%,"44,326.00","45,173,708.60"
TRH,5/19/2025,1044.9,1075,999,1003.46,-2.95%,"14,927.00","15,187,101.00"
TRH,5/18/2025,1010,1035,1010,1033.94,3.56%,"33,588.00","34,350,208.50"
TRH,5/15/2025,975,1004,974,998.37,4.35%,"23,568.00","23,412,398.80"
TRH,5/14/2025,950,971,950,956.74,-0.44%,"1,297.00","1,244,025.70"
