Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
UNHPL,2025-09-18,454.7,454.7,421.4,425,-8.39 %,"75,284.00","32,334,473.20"
UNHPL,2025-09-08,450,466,446.2,463.92,3.08 %,"527,763.00","240,980,111.90"
UNHPL,2025-09-07,435,454,427,450.05,3.91 %,"671,017.00","299,970,348.40"
UNHPL,2025-09-04,432.6,440,423.5,433.11,0.57 %,"407,675.00","175,896,458.40"
UNHPL,2025-09-03,406,432.4,405.5,430.67,7.03 %,"799,834.00","338,022,524.60"
UNHPL,2025-09-02,388.8,407,388.8,402.4,3.60 %,"366,391.00","146,950,984.40"
UNHPL,2025-09-01,382,392.4,382,388.41,0.94 %,"45,262.00","17,533,335.20"
UNHPL,2025-08-31,393.1,393.1,382.2,384.79,-1.93 %,"65,029.00","25,228,628.30"
UNHPL,2025-08-28,405,410,391.1,392.36,-2.81 %,"244,805.00","98,103,363.70"
UNHPL,2025-08-27,395,404.8,392,403.69,3.96 %,"134,224.00","53,491,031.50"
UNHPL,2025-08-26,385,395.7,385,388.32,-0.13 %,"20,107.00","7,800,397.80"
UNHPL,2025-08-25,380.2,394.7,378,388.82,2.05 %,"73,949.00","28,682,186.60"
UNHPL,2025-08-24,393.8,393.8,378.5,381.02,-1.57 %,"72,110.00","27,614,138.50"
UNHPL,2025-08-21,395,395.2,386,387.1,-1.86 %,"80,214.00","31,134,334.10"
UNHPL,2025-08-20,399.2,403.9,393,394.44,-0.71 %,"72,419.00","28,838,149.70"
UNHPL,2025-08-19,415.9,416,396.2,397.26,-2.72 %,"103,075.00","41,567,630.10"
UNHPL,2025-08-18,385,412,380,408.35,6.10 %,"195,713.00","78,508,476.30"
UNHPL,2025-08-17,386,394,384,384.88,-1.43 %,"50,520.00","19,532,195.40"
UNHPL,2025-08-14,386,394.7,379.1,390.47,2.52 %,"85,067.00","32,872,938.30"
UNHPL,2025-08-13,386,392,375.9,380.87,0.14 %,"117,397.00","44,894,624.40"
UNHPL,2025-08-12,380,385,377,380.33,-0.91 %,"81,542.00","31,015,101.20"
UNHPL,2025-08-11,397,397.9,383,383.82,-2.85 %,"95,193.00","37,038,550.70"
UNHPL,2025-08-07,386,400,382.1,395.07,3.31 %,"88,916.00","34,935,743.50"
UNHPL,2025-08-06,376,392,372.3,382.43,1.52 %,"94,961.00","36,164,097.90"
UNHPL,2025-08-05,396,397,374,376.72,-4.04 %,"125,440.00","48,025,928.10"
UNHPL,2025-08-04,400,402.6,384,392.58,-1.04 %,"107,576.00","42,276,638.70"
UNHPL,2025-08-03,407.1,410,395.2,396.71,-2.95 %,"128,681.00","51,555,629.50"
UNHPL,2025-07-31,414,417,407,408.77,-1.34 %,"130,042.00","53,651,424.40"
UNHPL,2025-07-30,420,427.9,413.1,414.33,-1.70 %,"145,608.00","61,091,584.60"
UNHPL,2025-07-29,428,436.9,419,421.48,-0.47 %,"212,549.00","90,832,588.40"
UNHPL,2025-07-28,418,427,415,423.46,1.55 %,"159,061.00","67,013,376.50"
UNHPL,2025-07-27,429,435,412,416.98,-1.93 %,"286,677.00","122,106,149.40"
UNHPL,2025-07-24,421,434.8,418,425.19,0.97 %,"266,533.00","113,577,086.30"
UNHPL,2025-07-23,422,426.7,413.2,421.09,-0.06 %,"263,828.00","110,925,442.70"
