Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
UNL,2025-09-18,47043.1,47043.1,47043.1,47043.1,-2.00 %,10.00,"470,431.00"
UNL,2025-09-08,48000,48003.1,48000,48003.1,0.01 %,23.00,"1,104,843.20"
UNL,2025-09-07,48499.8,48499.8,48000,48000,0.42 %,60.00,"2,884,998.00"
UNL,2025-09-04,47801,47801,47801,47801,0.00 %,5.00,"241,818.00"
UNL,2025-09-03,47805,47805,47801,47801,0.21 %,50.00,"2,390,120.00"
UNL,2025-09-02,47600,48000,47500,47700,-0.63 %,80.00,"3,811,000.00"
UNL,2025-09-01,48000,48000,48000,48000,0.00 %,21.00,"1,008,920.00"
UNL,2025-08-31,47111,48000,47101,48000,0.04 %,40.00,"1,902,120.00"
UNL,2025-08-28,47980.8,47980.8,47980.8,47980.8,-2.00 %,10.00,"479,808.00"
UNL,2025-08-27,47999,48960,47999,48960,3.07 %,50.00,"2,409,590.00"
UNL,2025-08-26,47500,47500,47500,47500,0.00 %,20.00,"950,000.00"
UNL,2025-08-25,47200,47500,47200,47500,0.64 %,30.00,"1,422,000.00"
UNL,2025-08-21,47200,47200,47200,47200,-0.63 %,10.00,"472,000.00"
UNL,2025-08-20,47500,47500,47500,47500,0.00 %,1.00,"47,001.00"
UNL,2025-08-19,47500,47500,47500,47500,-0.76 %,10.00,"475,000.00"
UNL,2025-08-17,48800,48840,47864,47864,-0.08 %,30.00,"1,455,040.00"
UNL,2025-08-14,47100,47900,47100,47900,1.91 %,90.00,"4,282,600.00"
UNL,2025-08-13,47000,47000,46101,47000,0.00 %,50.00,"2,325,031.00"
UNL,2025-08-12,46970,47900,46970,47000,2.06 %,50.00,"2,358,110.00"
UNL,2025-08-11,46600,46600,46050,46050,-1.40 %,80.00,"3,700,610.00"
UNL,2025-08-07,47500,47600,46650,46705,0.01 %,111.00,"5,221,111.00"
UNL,2025-08-06,47050,47500,46105.1,46700,-2.71 %,292.00,"13,681,223.90"
UNL,2025-08-05,47900.5,48000,47900,48000,0.21 %,21.00,"1,007,500.00"
UNL,2025-08-04,48450,48450,47602,47900.5,-1.13 %,46.00,"2,212,534.00"
UNL,2025-07-31,48265,48450,47500,48450,-1.62 %,50.00,"2,402,150.00"
UNL,2025-07-30,49250,49250,49250,49250,0.51 %,10.00,"492,500.00"
UNL,2025-07-29,49731,50724,49000,49000.5,0.50 %,70.00,"3,477,106.00"
UNL,2025-07-28,48755.9,48756,48755.9,48755.96,2.00 %,38.00,"1,845,295.10"
UNL,2025-07-27,47500,48450,47500,47800,-0.83 %,60.00,"2,875,490.00"
UNL,2025-07-24,47926,48200,47926,48200,-1.43 %,20.00,"961,260.00"
UNL,2025-07-23,47430.1,48900,47430.1,48900,3.10 %,146.00,"7,098,167.00"
UNL,2025-07-22,46980,47430.1,46500,47430.1,2.00 %,60.00,"2,818,402.00"
UNL,2025-07-21,46666.6,46666.6,46500.1,46500.1,-0.43 %,70.00,"3,259,824.00"
UNL,2025-07-20,46900,46900,46700,46700,-0.43 %,50.00,"2,341,000.00"
UNL,2025-07-17,47150,47150,46900,46900,1.21 %,40.00,"1,880,500.00"
UNL,2025-07-16,46300,46887,46300,46340,2.04 %,40.00,"1,858,270.00"
UNL,2025-07-15,46000,46308,45201,45415.55,-1.27 %,217.00,"9,867,561.70"
UNL,2025-07-14,46014,46014,46000,46000,-0.00 %,50.00,"2,300,410.00"
UNL,2025-07-13,46920,46950,46001,46001,0.00 %,110.00,"5,092,492.00"
UNL,2025-07-10,46010,46010,46000,46000,-1.89 %,50.00,"2,300,130.00"
UNL,2025-07-09,46888,46888,46888,46888,1.27 %,10.00,"468,880.00"
UNL,2025-07-08,46300,46300,46299,46299,0.63 %,20.00,"925,990.00"
UNL,2025-07-07,46010,46010,46010,46010,0.03 %,10.00,"460,100.00"
UNL,2025-07-06,46050,46050,45990,45994.33,-1.51 %,56.00,"2,576,330.00"
UNL,2025-07-02,46790,46790,46001,46700,1.52 %,30.00,"1,394,910.00"
UNL,2025-07-01,46060,46060,45500,46000,-2.13 %,90.00,"4,126,400.00"
UNL,2025-06-30,46155,47000,45450,47000,3.87 %,60.00,"2,758,650.00"
UNL,2025-06-29,45950.3,45950.3,45032,45250,-3.49 %,50.00,"2,281,152.00"
UNL,2025-06-26,45800,47120,45800,46888,1.93 %,70.00,"3,246,080.00"
UNL,2025-06-25,46000,46000,45790,46000,-1.53 %,44.00,"2,021,900.00"
UNL,2025-06-24,45013,46716,45013,46716,2.44 %,30.00,"1,375,290.00"
UNL,2025-06-23,47100,47100,45000,45601.3,-1.30 %,"1,108.00","50,184,164.00"
UNL,2025-06-22,47100,47100,45700,46200,0.03 %,390.00,"17,989,980.00"
UNL,2025-06-19,47043.4,47900,45990,46188,0.15 %,440.00,"20,408,354.00"
UNL,2025-06-18,47043,47043,46121,46121,-0.00 %,66.00,"3,057,616.00"
UNL,2025-06-17,46100.2,47031,46100.2,46121.27,-0.67 %,227.00,"10,464,785.60"
UNL,2025-06-16,46002.1,46920,46002.1,46431.15,-0.79 %,140.00,"6,471,112.90"
UNL,2025-06-12,46065,46800,46063,46800,-0.42 %,60.00,"2,779,910.00"
UNL,2025-06-11,45285.4,46998,45285.1,46998,1.73 %,190.00,"8,720,848.00"
UNL,2025-06-10,46455,46455,46200,46200,-0.55 %,85.00,"3,939,100.00"
UNL,2025-06-09,46455.1,46455.1,46455.1,46455.1,-1.99 %,10.00,"464,551.00"
UNL,2025-06-08,47398,47398,47398,47398,1.93 %,10.00,"473,980.00"
UNL,2025-06-05,46923,46923,46500,46500,-0.90 %,40.00,"1,868,460.00"
