Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
UPCL,2025-09-18,405,405,371.6,382,-7.47 %,"81,236.00","31,056,894.60"
UPCL,2025-09-08,400.7,419,399,412.82,3.04 %,"564,543.00","232,419,701.00"
UPCL,2025-09-07,382.1,403,382.1,400.63,5.12 %,"328,299.00","130,117,972.80"
UPCL,2025-09-04,381.1,385,376.7,381.13,0.10 %,"106,352.00","40,371,066.00"
UPCL,2025-09-03,382,386,380.4,380.76,-0.31 %,"88,143.00","33,750,102.50"
UPCL,2025-09-02,393,393,381.4,381.95,-1.42 %,"56,337.00","21,620,331.40"
UPCL,2025-09-01,385,391.3,383,387.46,0.98 %,"71,367.00","27,586,485.40"
UPCL,2025-08-31,393.9,393.9,383.1,383.69,-2.00 %,"104,881.00","40,518,262.80"
UPCL,2025-08-28,400.5,406,390.1,391.52,-2.13 %,"179,721.00","71,651,217.90"
UPCL,2025-08-27,395.9,402,388.1,400.03,3.06 %,"133,885.00","53,016,116.10"
UPCL,2025-08-26,390,395,386.1,388.16,-0.16 %,"47,037.00","18,285,497.60"
UPCL,2025-08-25,385.9,390,380,388.79,1.52 %,"98,906.00","38,096,690.60"
UPCL,2025-08-24,381.4,396.7,381.4,382.97,-1.59 %,"104,029.00","40,092,745.20"
UPCL,2025-08-21,400,400,388,389.15,-1.54 %,"98,292.00","38,501,204.40"
UPCL,2025-08-20,393,405,393,395.25,-1.37 %,"98,189.00","39,028,781.30"
UPCL,2025-08-19,409.9,409.9,400,400.76,-0.72 %,"110,299.00","44,476,543.10"
UPCL,2025-08-18,399.8,404.8,393.1,403.66,1.77 %,"117,519.00","47,108,508.90"
UPCL,2025-08-17,411.8,411.8,396,396.64,-1.77 %,"121,257.00","48,435,094.10"
UPCL,2025-08-14,403.8,406,398,403.79,1.27 %,"125,211.00","50,301,404.00"
UPCL,2025-08-13,399,406.8,394.2,398.74,0.84 %,"90,911.00","36,550,141.90"
UPCL,2025-08-12,408,408,395,395.41,-1.53 %,"158,263.00","62,908,599.10"
UPCL,2025-08-11,411,413,400.9,401.54,-1.84 %,"147,014.00","59,462,518.60"
UPCL,2025-08-07,413,415,407.2,409.06,0.22 %,"140,401.00","57,601,935.00"
UPCL,2025-08-06,406,413.9,405,408.18,0.63 %,"117,008.00","47,955,206.40"
UPCL,2025-08-05,424,424,404.1,405.62,-2.48 %,"213,709.00","87,730,354.90"
UPCL,2025-08-04,422,422,411.1,415.93,0.14 %,"184,356.00","76,579,475.20"
UPCL,2025-08-03,410.9,424.9,410.9,415.36,-0.92 %,"193,496.00","80,856,856.70"
UPCL,2025-07-31,430,431.9,416.1,419.2,-1.06 %,"300,000.00","126,313,529.80"
UPCL,2025-07-30,423,439.9,422,423.68,-1.84 %,"332,627.00","142,517,830.10"
UPCL,2025-07-29,433,444,427,431.63,-0.18 %,"298,469.00","129,291,607.20"
UPCL,2025-07-28,445.9,445.9,429,432.41,-1.09 %,"409,354.00","177,761,682.00"
UPCL,2025-07-27,460,463,435,437.19,-3.14 %,"735,758.00","329,784,158.30"
UPCL,2025-07-24,429.3,457.7,429.3,451.36,3.06 %,"620,533.00","279,506,808.90"
UPCL,2025-07-23,432,442,427,437.94,0.67 %,"448,854.00","195,132,094.50"
UPCL,2025-07-22,421.8,443.7,421.8,435.03,1.10 %,"465,698.00","203,098,373.80"
UPCL,2025-07-21,420,432.4,416.7,430.29,2.56 %,"510,520.00","217,468,014.80"
UPCL,2025-07-20,427,439,417.5,419.55,-1.61 %,"557,949.00","239,253,361.40"
UPCL,2025-07-17,409.9,429,409,426.42,5.58 %,"584,864.00","247,057,435.50"
UPCL,2025-07-16,414,414,400.7,403.87,-0.63 %,"322,119.00","130,614,981.50"
UPCL,2025-07-15,402.6,409.7,395,406.44,2.96 %,"316,534.00","128,417,508.10"
UPCL,2025-07-14,403,408,392,394.77,-0.23 %,"300,968.00","119,731,945.90"
UPCL,2025-07-13,414,422,395,395.68,-2.52 %,"301,358.00","120,693,057.50"
UPCL,2025-07-10,415,419.9,405,405.92,-0.77 %,"371,402.00","152,561,828.10"
UPCL,2025-07-09,405.4,415.9,401.5,409.06,2.90 %,"289,056.00","118,528,992.20"
UPCL,2025-07-08,388.1,404.8,382.1,397.53,2.93 %,"296,313.00","118,015,258.40"
UPCL,2025-07-07,387.6,400,385,386.2,-2.35 %,"284,187.00","110,877,408.40"
UPCL,2025-07-06,400.1,404,394,395.49,-1.27 %,"261,892.00","104,210,760.30"
UPCL,2025-07-03,410,410,400,400.59,-1.71 %,"275,183.00","111,070,537.90"
UPCL,2025-07-02,417.9,425.5,406,407.54,-2.47 %,"369,378.00","153,084,233.90"
