Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
UPPER,2025-12-11,176,177,174.1,175.8,0.46 %,"53,726.00","9,432,662.20"
UPPER,2025-12-10,176,177.5,174,175,-0.91 %,"50,637.00","8,857,779.10"
UPPER,2025-12-09,174,176.6,173.4,176.6,1.09 %,"46,902.00","8,219,656.90"
UPPER,2025-12-08,175,176.7,174.5,174.7,-0.51 %,"74,595.00","13,064,772.10"
UPPER,2025-12-07,179,179,175,175.6,-1.57 %,"105,861.00","18,605,455.30"
UPPER,2025-12-03,179,180.8,178,178.4,-0.34 %,"33,653.00","6,030,083.70"
UPPER,2025-12-02,179,180,178,179,-0.22 %,"41,117.00","7,350,447.30"
UPPER,2025-12-01,181,181.5,179,179.4,-0.88 %,"48,204.00","8,688,598.10"
UPPER,2025-11-30,183.9,184.8,181,181,-1.09 %,"121,856.00","22,280,388.90"
UPPER,2025-11-27,182,183,180,183,0.55 %,"58,588.00","10,674,023.60"
UPPER,2025-11-26,185,185,180,182,0.05 %,"69,461.00","12,565,538.40"
UPPER,2025-11-25,181.9,186.6,180.5,181.9,1.06 %,"100,112.00","18,232,532.70"
UPPER,2025-11-24,179,181,179,180,0.56 %,"73,348.00","13,204,297.40"
UPPER,2025-11-23,176.9,179.5,176.5,179,1.70 %,"88,499.00","15,760,812.10"
UPPER,2025-11-20,171.7,178,171.7,176,0.51 %,"67,379.00","11,884,181.60"
UPPER,2025-11-19,177.9,178,174.8,175.1,-1.02 %,"52,125.00","9,173,552.60"
UPPER,2025-11-18,174,177,174,176.9,1.43 %,"78,002.00","13,731,595.50"
UPPER,2025-11-17,175.9,176.5,172,174.4,0.23 %,"39,637.00","6,890,663.20"
UPPER,2025-11-16,176,176,171.6,174,0.00 %,"56,278.00","9,761,258.50"
UPPER,2025-11-13,175,176.8,174,174,-0.29 %,"57,993.00","10,132,505.00"
UPPER,2025-11-12,177,177,174,174.5,-0.57 %,"52,869.00","9,239,225.90"
UPPER,2025-11-11,175.1,177.4,175,175.5,0.29 %,"30,983.00","5,444,973.90"
UPPER,2025-11-10,177,178,174.8,175,-0.34 %,"81,317.00","14,277,192.40"
UPPER,2025-11-09,178.2,178.9,175.4,175.6,-1.46 %,"69,409.00","12,246,851.50"
UPPER,2025-11-06,179.5,180.5,178,178.2,-0.45 %,"52,908.00","9,451,865.50"
UPPER,2025-11-05,179,180,177.5,179,0.56 %,"36,679.00","6,567,233.30"
UPPER,2025-11-04,181,181.9,178,178,-1.66 %,"53,866.00","9,708,017.90"
UPPER,2025-11-03,182.9,184.2,180.1,181,-0.82 %,"57,523.00","10,488,096.90"
UPPER,2025-11-02,179,184.6,179,182.5,1.33 %,"68,734.00","12,564,872.10"
UPPER,2025-10-30,177.2,182,177.1,180.1,0.33 %,"55,787.00","10,028,896.00"
UPPER,2025-10-29,178,183,178,179.5,-0.99 %,"52,552.00","9,518,342.20"
UPPER,2025-10-28,175.6,181.3,175,181.3,3.30 %,"87,761.00","15,711,478.30"
UPPER,2025-10-26,175,175.9,173.5,175.5,0.29 %,"42,706.00","7,451,832.10"
UPPER,2025-10-19,175,177.5,173,175,-0.57 %,"70,943.00","12,435,581.10"
UPPER,2025-10-16,178,180,175.8,176,-1.12 %,"77,825.00","13,756,713.60"
UPPER,2025-10-15,179.9,181,178,178,-1.06 %,"54,726.00","9,784,408.20"
UPPER,2025-10-14,184,185,179,179.9,-1.15 %,"44,192.00","7,958,300.30"
UPPER,2025-10-13,184,184,177.6,182,0.55 %,"67,720.00","12,206,374.80"
UPPER,2025-10-12,182.5,186,180.2,181,-2.16 %,"83,441.00","15,167,893.50"
UPPER,2025-10-09,185.9,195.9,184,185,1.48 %,"119,714.00","22,434,958.10"
UPPER,2025-10-08,185.5,186.3,180.4,182.3,-1.51 %,"111,802.00","20,394,044.30"
UPPER,2025-10-07,189,189,185.1,185.1,-2.06 %,"76,249.00","14,218,432.20"
UPPER,2025-09-28,187,191.7,187,189,1.02 %,"59,047.00","11,149,481.40"
UPPER,2025-09-25,189,189.9,186,187.1,-0.69 %,"44,954.00","8,442,154.10"
UPPER,2025-09-24,194,194,187,188.4,-2.08 %,"73,886.00","13,982,068.40"
UPPER,2025-09-23,184,195,184,192.4,3.45 %,"145,187.00","27,868,650.40"
UPPER,2025-09-21,166,186,166,185.99,9.99 %,"360,644.00","65,651,780.70"
UPPER,2025-09-18,180,182.7,169,169.1,-7.72 %,"31,896.00","5,555,802.00"
UPPER,2025-09-08,186,187,183,183.24,-1.41 %,"89,359.00","16,456,028.80"
UPPER,2025-09-07,188,189.7,185.2,185.86,-1.02 %,"77,624.00","14,495,450.80"
UPPER,2025-09-04,190,191.8,187.1,187.78,-1.20 %,"140,070.00","26,371,455.80"
UPPER,2025-09-03,192,192,190,190.07,-0.51 %,"120,350.00","22,898,031.40"
UPPER,2025-09-02,195.4,195.4,190.8,191.04,-0.30 %,"91,111.00","17,420,653.40"
UPPER,2025-09-01,190,198.9,190,191.61,-0.27 %,"104,747.00","20,045,892.50"
UPPER,2025-08-31,195.5,195.5,192,192.12,-0.50 %,"135,154.00","26,000,562.50"
UPPER,2025-08-28,199.2,199.2,193,193.09,-1.17 %,"113,914.00","22,091,093.20"
UPPER,2025-08-27,197.1,197.1,193,195.37,1.08 %,"96,114.00","18,676,974.20"
UPPER,2025-08-26,192.4,195,192.4,193.29,-0.05 %,"99,620.00","19,232,965.00"
