date,headline,link,sentiment
"Aug 08, 2025",Asian Hydropower Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60863,0.0
"May 12, 2025",Asian Hydropower Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59707,0.0
"Feb 04, 2025",Asian Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58319,0.0
"Jan 08, 2025",6th AGM Minutes for the FY2080/81 - Asian Hydropower Limited (AHL),https://merolagani.com/AnnouncementDetail.aspx?id=56897,0.0
"Nov 25, 2024","Asian Hydropower Limited has proclaimed its 6th AGM going to be held on Poush 02, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56118,0.0
"Nov 13, 2024",Asian Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55837,0.0
"Aug 11, 2024",Asian Hydropower Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54684,0.0
"May 03, 2024",Asian Hydropower Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53580,0.0
"Feb 11, 2024",Asian Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52591,0.0
"Jan 16, 2024",5th AGM Minutes - Asian Hydropower Limited (AHL),https://merolagani.com/AnnouncementDetail.aspx?id=52154,0.0
"Dec 21, 2023","Asian Hydropower Limited has proclaimed its 5th AGM going to be held on Poush 27, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51715,0.0
"Nov 10, 2023",Asian Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51112,0.0
"Aug 17, 2023",Asian Hydropower Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=50023,0.0
"Jun 23, 2023",Minutes of 4th Annual General Meeting - Asian Hydropower Limited (AHL),https://merolagani.com/AnnouncementDetail.aspx?id=49054,0.0
"May 25, 2023","Asian Hydropower Limited has proclaimed its 4th AGM going to be held on Jestha 32, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48749,0.0
"May 14, 2023",Asian Hydropower Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48558,0.0
"Mar 22, 2023",Listing of IPO Shares. The open price range is set as Rs. 99.60 to Rs. 298.80 for the first transactions - Asian Hydropower Limited (AHL),https://merolagani.com/AnnouncementDetail.aspx?id=47657,2.0
"Mar 05, 2023","Asian Hydropower Limited has appointed NMB Capital Limited as its share registrar started from Falgun 18, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47402,0.3
"Feb 27, 2023","Asian Hydropower Limited has distributed its 6,97,200.00 units of IPO shares to the general public on Falgun 14, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47323,2.0
"Feb 15, 2023","Asian Hydropower Limited is going to close its 6,97,200.00 units of IPO shares to the general public from today, Falgun 03, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47138,1.0
"Feb 14, 2023","Asian Hydropower Limited has extended its 6,97,200.00 units of IPO shares to the general public till Falgun 03, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47126,1.0
"Feb 10, 2023","Asian Hydropower Limited is going to open its 6,97,200.00 units of IPO shares to the general public starting from today, Magh 27, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47009,1.0
"Jan 31, 2023","Asian Hydropower Limited is going to issue its 6,97,200.00 units of IPO shares to the general public starting from 27th Magh - 2nd Falgun, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=46806,1.8
"Jan 25, 2023","Asian Hydropower Limited has distributed its 3,40,000.00 units of IPO shares to the projected affected local residents of Illam District, Illam Municipality Ward No. 10 (Former Godak VDC Ward No. 01-09), Maijogmai VDC Ward No. 03 & 04 (Former Namsaling VDC), Naya Bazar VDC Ward No. 05, Suryodaya Municipality Ward No. 11 (Former Maghesuntale and Tinghare all VDCs, Suryodaya VDC Ward No. 03, 04 & 05), other district of Illam and 84,000.00 units of IPO shares to the foreign employment citizens of Nepal on Magh 10, 2079 and is going to refund the payment to the non-allottees bank account starting from Magh 13, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=46601,2.0
"Jan 03, 2023","Asian Hydropower Limited is going to close its 3,40,000.00 units of IPO shares to the projected affected local residents of Illam District, Illam Municipality Ward No. 10 (Former Godak VDC Ward No. 01-09), Maijogmai VDC Ward No. 03 & 04 (Former Namsaling VDC), Naya Bazar VDC Ward No. 05, Suryodaya Municipality Ward No. 11 (Former Maghesuntale and Tinghare all VDCs, Suryodaya VDC Ward No. 03, 04 & 05) and other district of Illam from today, Poush 19, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=46225,1.0
"Dec 27, 2022","Asian Hydropower Limited is going to close its 84,000.00 units of IPO shares to the foreign employment citizens of Nepal from today, Poush 12, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=46125,1.0
"Dec 27, 2022","Asian Hydropower Limited has extended its 3,40,000.00 units of IPO shares to the projected affected local residents of Illam District, Illam Municipality Ward No. 10 (Former Godak VDC Ward No. 01-09), Maijogmai VDC Ward No. 03 & 04 (Former Namsaling VDC), Naya Bazar VDC Ward No. 05, Suryodaya Municipality Ward No. 11 (Former Maghesuntale and Tinghare all VDCs, Suryodaya VDC Ward No. 03, 04 & 05) and other district of Illam till Poush 19, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=46124,1.0
