date,headline,link,sentiment
"Sep 18, 2025",Declaration of 0.421% Cash Dividend and 8% Bonus Share - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=61713,2.0
"Aug 15, 2025",Arun Valley Hydropower Development Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61040,0.0
"May 07, 2025",Arun Valley Hydropower Development Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59596,0.0
"Feb 07, 2025",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58380,0.0
"Dec 11, 2024","11,20,778.00 Units (3%) of Bonus Share has been listed in NEPSE - Arun Valley Hydropower Development Company Limited (AHPC)",https://merolagani.com/AnnouncementDetail.aspx?id=56327,2.0
"Nov 11, 2024",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55792,0.0
"Oct 20, 2024",Price Adjusted of Rs.271.84 for 3% Bonus shares on previous closing price of Rs.280.00 - Arun Valley Hydropower Development Co. Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=55553,2.0
"Oct 04, 2024","Arun Valley Hydropower Development Company Limited has proclaimed its 27th AGM going to be held on Kartik 14, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55408,0.0
"Aug 13, 2024",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54716,0.0
"May 21, 2024","1,86,79,626.00 Units (100%) of Right Shares has been listed in NEPSE - Arun Valley Hydropower Development Company Limited (AHPC)",https://merolagani.com/AnnouncementDetail.aspx?id=53940,2.0
"May 15, 2024","Arun Valley Hydropower Development Company Limited has distributed its 19,92,134.00 units of ordinary right shares to the interested whoever person, company, firm, institutions on Jestha 01, 2081 and is going to refund the payment to the non-allottees bank account starting from Jestha 03, 2081 (The cut-off price of distribution is as Rs.143.5)",https://merolagani.com/AnnouncementDetail.aspx?id=53901,2.0
"May 12, 2024",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53763,0.0
"May 09, 2024","Arun Valley Hydropower Development Company Limited has published a notice regarding a bid opening date of its 19,92,134.00 units ordinary right share to the interested whoever person, company, firm, institutions from today, Baishakh 27, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53648,1.0
"Apr 22, 2024","Arun Valley Hydropower Development Company Limited is going to open its auction of 19,92,134.00 units ordinary right share to the interested whoever person, company, firm, institutions starting from today, Baishakh 10, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53454,1.0
"Apr 21, 2024",Arun Valley Hydropower Development Company Limited has listed the application collection/deposit centres of its upcoming auction.,https://merolagani.com/AnnouncementDetail.aspx?id=53438,0.8
"Apr 15, 2024","Arun Valley Hydropower Development Company Limited is going to sell its 19,92,134.00 units of ordinary right share in an auction to the interested whoever person, company, firm, institutions starting from 10th - 24th Baishakh, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53350,1.0
"Apr 11, 2024","Arun Valley Hydropower Development Company Limited has distributed its 1:1 ratio right share (1,86,79,626.00 units @ Rs.100 per unit) to its shareholders on Chaitra 27, 2080 and is going to return the payment to the non-allottees bank account starting from Chaitra 30, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=53286,2.0
"Mar 20, 2024","Arun Valley Hydropower Development Company Limited is going to close its 1:1 ratio right share (1,86,79,626.00 units @ Rs.100 per unit) to its shareholders from today, Chaitra 07, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=53106,1.0
"Mar 19, 2024","Arun Valley Hydropower Development Company Limited has published a notice to its shareholders regarding 02 working days remaining for the closure of its 1:1 ratio right share (1,86,79,626.00 units @ Rs.100 per unit).",https://merolagani.com/AnnouncementDetail.aspx?id=53097,1.0
"Mar 03, 2024","Arun Valley Hydropower Development Company Limited has published a notice regarding the last day for the submission of application of its ongoing 1:1 ratio right share (1,86,79,626.00 units @ Rs.100 per unit) to its shareholders on Chaitra 07, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52928,1.0
"Feb 29, 2024","Arun Valley Hydropower Development Company Limited is going to open its 1:1 ratio right share (1,86,79,626.00 units @ Rs.100 per unit) to its shareholders starting from today, Falgun 17, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52899,1.0
"Feb 13, 2024",Arun Valley Hydropower Development Company Limited has listed the application collection/payment deposit centres for its upcoming 1:1 ratio right share.,https://merolagani.com/AnnouncementDetail.aspx?id=52756,1.8
"Feb 13, 2024",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52735,0.0
"Feb 12, 2024","Arun Valley Hydropower Development Company Limited is going to issue its 1:1 ratio right share (1,86,79,626.00 units @ Rs.100 per unit) to its shareholders starting from 17th Falgun - 7th Chaitra 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52699,1.8
"Jan 29, 2024",Price Adjusted of Rs.190.10 for 100% right shares on previous closing price of Rs.280.20 - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=52388,2.0
"Jan 19, 2024","Arun Valley Hydropower Development Company Limited has published a notice regarding a book closure date for its upcoming 1:1 ratio right share on Magh 15, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52202,1.0
"Jan 05, 2024",Approval of 1:1 Ratio Right Issuance - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=52007,0.0
"Dec 22, 2023","Arun Valley Hydropower Development Company Limited has proclaimed its 26th AGM going to be held on Poush 29, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51753,0.0
"Nov 12, 2023",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51200,0.0
"Aug 15, 2023",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49850,0.0
"Jul 13, 2023",ERC has approved for the Issuance of 1:1 Ratio Right Share - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=49264,1.0
"Jun 05, 2023","Arun Valley Hydropower Development Company Limited has proclaimed its SGM going to be held on Ashad 07, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48847,0.0
"Jun 04, 2023",Information Regarding Issuance of 1:1 Ratio Right Share - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=48844,1.0
"May 21, 2023",Pre-approval from ERC for 1:1 Ratio Right Shares - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=48678,1.0
"May 12, 2023",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48442,0.0
"May 08, 2023","Arun Valley Hydropower Development Company Limited has distributed 8% bonus share directly to the demat account on Baishakh 15, 2080 and has urged its shareholders to dematerialize their shares.",https://merolagani.com/AnnouncementDetail.aspx?id=48323,2.0
"Apr 27, 2023","13,83,676.00 Units (8%) of Bonus Shares has been Listed in NEPSE - Arun Valley Hydropower Development Company Limited (AHPC)",https://merolagani.com/AnnouncementDetail.aspx?id=48206,2.0
"Apr 19, 2023",Proposed 1:1 Ratio Right Share - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=48032,1.0
"Mar 06, 2023",Arun Valley Hydropower Development Company Limited has published its annual report of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=47474,0.0
"Feb 12, 2023",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46915,0.0
"Jan 31, 2023",Price Adjusted of Rs.308.33 for 8% bonus shares on previous closing price of Rs.333.00 - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=46814,2.0
"Jan 17, 2023",Notice on Book Closure Date - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=46443,0.0
"Jan 17, 2023","Arun Valley Hydropower Development Company Limited has proclaimed its 25th AGM going to be held on Magh 27, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=46436,0.0
"Dec 02, 2022",Declaration of 8% Bonus Share and 0.421% Cash Dividend - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=45655,2.0
"Nov 16, 2022",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45430,0.0
"Aug 15, 2022",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44297,0.0
"May 11, 2022",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=43069,0.0
"Feb 06, 2022","Arun Valley Hydropower Development Company Limited has published a notice regarding the sell of 22,32,570.00 units ordinary shares of Arun Kabeli Power Limited in secondary market.",https://merolagani.com/AnnouncementDetail.aspx?id=41923,0.0
"Jan 31, 2022",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41857,0.0
"Jan 04, 2022","15,72,359.00 Units (10%) of Bonus Shares has been Listed in NEPSE - Arun Valley Hydropower Development Company Limited (AHPC)",https://merolagani.com/AnnouncementDetail.aspx?id=41486,2.0
"Nov 16, 2021",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=40788,0.0
"Oct 09, 2021",Arun Valley Hydropower Development Company Limited has published a notice regarding change of venue for its 24th AGM.,https://merolagani.com/AnnouncementDetail.aspx?id=40249,0.0
"Sep 27, 2021",Adjusted Price of Rs.523.00 for 10% Bonus Shares on previous closing price of Rs.575.00 - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=40149,2.0
"Sep 17, 2021","Arun Valley Hydropower Development Company Limited has proclaimed its 24th AGM going to be held on Ashwin 24, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=40080,0.0
"Sep 16, 2021",24th AGM with Bonus and Right Share - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=40074,1.0
"Aug 13, 2021",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=39568,0.0
"Jul 16, 2021","52,41,197 Units ( 50%) of Right Share has been Listed in NEPSE - Arun Valley Hydropower Development Company Limited (AHPC)",https://merolagani.com/AnnouncementDetail.aspx?id=39277,2.0
"Jul 11, 2021","Arun Valley Hydropower Development Company Limited has distributed its 4,35,894.00 units of ordinary right share to the general public on Ashad 24, 2078 and is going to refund the payment to the non-allottees bank account starting from Ashad 28, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=39186,2.0
"Jul 05, 2021","Arun Valley Hydropower Development Company Limited has published a notice regarding a bid opening date of its 4,35,894.00 units of ordinary right share to the general public from today, Ashad 21, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=39156,1.0
"Jun 29, 2021","Arun Valley Hydropower Development Company Limited has made correction on its ongoing auction of its 4,35,894.00 units of ordinary right share.",https://merolagani.com/AnnouncementDetail.aspx?id=39124,0.0
"Jun 16, 2021","Arun Valley Hydropower Development Company Limited is going to sell its 4,35,894.00 units of ordinary right share in an auction to the general public starting from 9th - 16th Ashad, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=39021,1.0
"Jun 03, 2021","Arun Valley Hydropower Development Company Limited has distributed its 1:0.5 ratio ordinary right share (52,41,197.00 units @Rs.100/unit) to its shareholders on Jestha 18, 2078 and is going to refund the payment of the non-allottee's bank account from Jestha 21, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=38918,2.0
"May 16, 2021","Arun Valley Hydropower Development Company Limited is going to close its 1:0.5 ratio ordinary right share (52,41,197.00 units @Rs.100/unit) to its shareholders from today, Jestha 02, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=38821,1.0
"May 13, 2021",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38726,0.0
"May 07, 2021","Arun Valley Hydropower Development Company Limited has extended the date of its (1:0.5) ratio Right Share till Jestha 02, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=38634,1.0
"Apr 19, 2021","Arun Valley Hydropower Development Company Limited is going to open its 1:0.5 ratio ordinary right share (52,41,197.00 units @Rs.100/unit) to its shareholders from today, Baishakh 06, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=38349,1.0
"Apr 02, 2021","Arun Valley Hydropower Development Company Limited is going to issue 1:0.5 ratio ordinary right share (52,41,197.00 units @Rs.100/unit) to its shareholders starting from 6th - 26th Baishakh 2078",https://merolagani.com/AnnouncementDetail.aspx?id=38194,1.0
"Mar 22, 2021",Adjusted Price of Rs.242 for 50% Right Share on previous closing price of Rs.313 - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=38105,1.0
"Mar 11, 2021","Arun Valley Hydropower Development Company Limited has announced a book closure date for its upcoming (1:0.5) ratio right share on Chaitra 09, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=37982,1.0
"Feb 15, 2021","Arun Valley Hydropower Development Company Limited (AHPC) - (5%) 4,99,162 Units of Bonus Share has been Listed in NEPSE.",https://merolagani.com/AnnouncementDetail.aspx?id=37791,2.0
"Jan 26, 2021",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=37410,0.0
"Dec 11, 2020",Price Adjusted - Arun Valley Hydropower Development Company Limited (AHPC),https://merolagani.com/AnnouncementDetail.aspx?id=36851,0.5
"Nov 30, 2020","Arun Valley Hydropower Development Company Limited proclaim its 23rd AGM going to be held on Poush 08, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=36778,0.0
"Nov 12, 2020",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2077/78.,https://merolagani.com/AnnouncementDetail.aspx?id=36589,0.0
"Aug 14, 2020",Arun Valley Hydropower Development Co. Limited has published its provisional financial statement from the fourth quarter of a fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=36055,0.0
"Jun 22, 2020",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=35641,0.0
"Feb 11, 2020",Arun Valley Hydropower Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34918,0.0
"Dec 26, 2019",Arun Valley Hydropower Development Company Limited (AHPC) - Price Adjusted,https://merolagani.com/AnnouncementDetail.aspx?id=34504,0.5
