date,headline,link,sentiment
"Aug 15, 2025",Ankhu Khola Jalavidyut Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61039,0.0
"May 07, 2025",Ankhu Khola Jalavidyut Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59602,0.0
"Feb 10, 2025",Ankhu Khola Jalavidyut Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58420,0.0
"Jan 28, 2025",Ankhu Khola Jalavidyut Company Limited has published a notice regarding the relocation of its registered office.,https://merolagani.com/AnnouncementDetail.aspx?id=58212,0.0
"Nov 14, 2024",Ankhu Khola Jalavidyut Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55886,0.0
"Nov 11, 2024","1,20,00,000.00 Units (150%) of Right Share has been listed in NEPSE - Ankhu Khola Jalvidhyut Company Limited (AKJCL)",https://merolagani.com/AnnouncementDetail.aspx?id=55802,2.0
"Oct 29, 2024",Aankhu Khola Jalavidyut Company Limited has postponed its 17th AGM until further notice.,https://merolagani.com/AnnouncementDetail.aspx?id=55683,-1.0
"Oct 23, 2024","Ankhu Khola Jalavidyut Company Limited has distributed its 17,50,248.00 units of undistributed ordinary right shares to the interested whoever person, company, firm, institutions on Kartik 06, 2081 and is going to refund the payment to the non-allottees bank account starting from today, Kartik 07, 2081 (Cut-off price was Rs.171.00)",https://merolagani.com/AnnouncementDetail.aspx?id=55628,2.0
"Oct 18, 2024","Ankhu Khola Jalavidyut Company Limited has published a notice regarding a bid opening date of its 17,50,248.00 units of ordinary right share to the interested whoever person, company, firm, institutions from today, Kartik 02, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55543,1.0
"Oct 07, 2024","Aankhu Khola Jalavidyut Company Limited has proclaimed its 17th AGM going to be held on Kartik 12, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55429,0.0
"Oct 06, 2024","Ankhu Khola Jalavidyut Company Limited is going to close its auction of 17,50,248.00 units ordinary right share to the interested whoever person, company, firm, institutions from today, Ashwin 20, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55420,1.0
"Sep 26, 2024","Ankhu Khola Jalavidyut Company Limited has published a notice regarding the submission/deadline of its upcoming auction of 17,50,248.00 units of ordinary right share from 11th - 20th Ashwin, 2081 and has also listed its application collection/payment deposit centres.",https://merolagani.com/AnnouncementDetail.aspx?id=55306,1.8
"Sep 20, 2024","Ankhu Khola Jalavidyut Company Limited is going to sell its 17,50,248.00 units of ordinary right share in an auction to the interested whoever person, company, firm, institutions starting from 11th - 20th Ashwin, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55260,1.0
"Sep 16, 2024","Ankhu Khola Jalavidyut Company Limited has distributed its 1:1.5 ratio right share (1,20,00,000.00 units @ Rs.100.00 per unit) to its shareholders on Bhadra 30, 2081 and is going to refund the payment to the non-allottees bank account starting from Ashwin 04, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55223,2.0
"Sep 01, 2024","Ankhu Khola Jalavidyut Company Limited is going to close its 1:1.5 ratio right share (1,20,00,000.00 units @ Rs.100.00 per unit) to its shareholders from today, Bhadra 16, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55066,1.0
"Aug 23, 2024","Ankhu Khola Jalavidyut Company Limited has re-published a deadline notice for the submission of its ongoing 1:1.5 ratio right share (1,20,00,000.00 units @ Rs.100.00 per unit) on Bhadra 16, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54978,1.0
"Aug 15, 2024","Ankhu Khola Jalavidyut Company Limited has published a notice regarding the last day for the submission of application of its ongoing 1:1.5 ratio right share (1,20,00,000.00 units @ Rs.100.00 per unit) on Bhadra 16, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54882,1.0
"Aug 14, 2024",Ankhu Khola Jalavidyut Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54782,0.0
"Aug 11, 2024","Ankhu Khola Jalavidyut Company Limited is going to open its 1:1.5 ratio right share (1,20,00,000.00 units @ Rs.100.00 per unit) to its shareholders starting from today, Shrawan 27, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54690,1.0
