date,headline,link,sentiment
"Oct 15, 2025",15th AGM Minutes - Arun Kabeli Power Limited (AKPL),https://merolagani.com/AnnouncementDetail.aspx?id=61981,0.0
"Aug 28, 2025","Arun Kabeli Power Limited has proclaimed its 15th AGM going to be held on Ashwin 03, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61397,0.0
"Aug 15, 2025",Arun Kabeli Power Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61036,0.0
"Jun 20, 2025",Arun Kabeli Power Limited has published a notice regarding claims on lost share certificates.,https://merolagani.com/AnnouncementDetail.aspx?id=60221,0.0
"May 12, 2025",Arun Kabeli Power Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59706,0.0
"Apr 15, 2025",Arun Kabeli Power Limited has published a notice regarding claims on lost share certificates.,https://merolagani.com/AnnouncementDetail.aspx?id=59217,0.0
"Feb 10, 2025",Arun Kabeli Power Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58417,0.0
"Nov 13, 2024",Arun Kabeli Power Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55838,0.0
"Sep 26, 2024","Arun Kabeli Power Limited has proclaimed its 14th AGM going to be held on Kartik 04, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55316,0.0
"Aug 14, 2024",Arun Kabeli Power Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54812,0.0
