date,headline,link,sentiment
"Oct 08, 2025","Asian Life Insurance Company Limited has distributed 3,28,473.91 units of unsold ordinary right shares through an auction to interested individuals, company, association/institutions on Ashwin 20, 2082 and the refund process for non-allottee's begins today, Ashwin 22, 2082 and the final cut-off price is as Rs.422.5",https://merolagani.com/AnnouncementDetail.aspx?id=61894,2.0
"Sep 26, 2025","Asian Life Insurance Company Limited has published a notice regarding a bid opening date of its 3,28,473.91 units unsold ordinary right shares to the interested person, company, association/institutions from today, Ashwin 10, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61827,0.5
"Sep 17, 2025","Asian Life Insurance Company Limited has published a notice regarding interest discount (25% & 50%) on different past insurance policies starting from 1st Ashwin - 25th Kartik, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61400,0.0
"Sep 14, 2025","Asian Life Insurance Company Limited has extended its auction of 3,28,473.91 units unsold ordinary right shares to the interested person, company, association/institutions till Ashwin 05, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61616,0.5
"Sep 06, 2025","Asian Life Insurance Company Limited has published a notice regarding the auction of 30,038.57 and 3,28,473.91 units of unsold promoter and ordinary right shares to the interested person, company, association/institutions till Bhadra 29, 2082 and has also listed its application collection and deposit centres.",https://merolagani.com/AnnouncementDetail.aspx?id=61570,1.8
"Aug 30, 2025","Asian Life Insurance Company Limited is going to sell its 3,28,473.91 units of unsold ordinary right shares in an auction to the interested person, company, association/institutions starting from 22nd - 29th Bhadra, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61450,0.5
"Aug 25, 2025","Asian Life Insurance Company Limited has distributed its 1:0.42 ratio right share (1,42,79,312.48 units @ Rs.100.00 per unit) to its shareholders on Bhadra 08, 2082 and is refunding the payment to the non-allottee's bank account starting from Bhadra 11, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61321,2.0
"Aug 15, 2025",Asian Life Insurance Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61082,0.0
"Aug 05, 2025","Asian Life Insurance Company Limited is going to close its 1:0.42 ratio right share (1,42,79,312.48 units @ Rs.100.00 per unit) to its shareholders from today, Shrawan 20, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60802,1.0
"Aug 04, 2025","Asian Life Insurance Company Limited has published a notice to its shareholders regarding 02 working days remaining for the closure of its ongoing 1:0.42 ratio right share (1,42,79,312.48 units @ Rs.100.00 per unit).",https://merolagani.com/AnnouncementDetail.aspx?id=60761,1.0
"Aug 03, 2025","Asian Life Insurance Company Limited has published a notice to its shareholders regarding 03 working days remaining for the closure of its ongoing 1:0.42 ratio right share (1,42,79,312.48 units @ Rs.100.00 per unit).",https://merolagani.com/AnnouncementDetail.aspx?id=60765,1.0
"Aug 01, 2025",Asian Life Insurance Co. Limited has published its 17th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=30007,0.0
"Jul 29, 2025",17th AGM Minutes - Asian Life Insurance Company Limited (ALICL),https://merolagani.com/AnnouncementDetail.aspx?id=60682,0.0
"Jul 29, 2025","Asian Life Insurance Company Limited has extended its 1:0.42 ratio right share (1,42,79,312.48 units @ Rs.100.00 per unit) to its shareholders till Shrawan 20, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60679,1.0
"Jul 21, 2025","Asian Life Insurance Company Limited has re-published a notice regarding the submission of its ongoing 1:0.42 ratio right share (1,42,79,312.48 units @ Rs.100.00 per unit) to its shareholders with the deadline set for Shrawan 13, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60574,1.0
"Jul 15, 2025","Asian Life Insurance Company Limited has published a notice regarding the submission of its ongoing 1:0.42 ratio right share (1,42,79,312.48 units @ Rs.100.00 per unit) to its shareholders with the deadline set for Shrawan 13, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60481,1.0
"Jul 09, 2025","Asian Life Insurance Company Limited is going to issue its 1:0.42 ratio right share (1,42,79,312.48 units @ Rs.100 per unit) to its shareholders starting from today.",https://merolagani.com/AnnouncementDetail.aspx?id=60424,1.8
"Jul 03, 2025",Price Adjusted to Rs.519.77 for 3.591549% Bonus Shares on previous closing price of Rs.538.44 - Asian Life Insurance Co. Limited (ALICL),https://merolagani.com/AnnouncementDetail.aspx?id=60417,2.0
"Jun 25, 2025",Asian Life Insurance Co. Limited has published its annual financial statement for the fiscal year 2080/81 as issued by the Nepal Insurance Authority.,https://merolagani.com/AnnouncementDetail.aspx?id=60283,0.8
"Jun 23, 2025","Asian Life Insurance Co. Limited has proclaimed its 17th AGM going to be held on Ashad 30, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60251,0.0
