date,headline,link,sentiment
"Oct 15, 2025",API Power Company Limited has published a notice regarding claims on lost share certificates.,https://merolagani.com/AnnouncementDetail.aspx?id=61951,0.0
"Aug 15, 2025",API Power Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61075,0.0
"Aug 13, 2025",Information on Company Acquisition - API Power Company Limited (API),https://merolagani.com/AnnouncementDetail.aspx?id=60961,0.0
"May 13, 2025",API Power Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59755,0.0
"Apr 18, 2025",API Power Company Limited has published a notice regarding claims on lost share certificates.,https://merolagani.com/AnnouncementDetail.aspx?id=59321,0.0
"Feb 09, 2025",API Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58403,0.0
"Dec 04, 2024","28,93,298.956 Units (5%) of Bonus Share has been listed in NEPSE- Api Power Company Limited (API)",https://merolagani.com/AnnouncementDetail.aspx?id=56244,2.0
"Nov 02, 2024",Api Power Company Limited has published its annual report for the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=56074,0.0
"Oct 27, 2024",API Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55671,0.0
"Oct 17, 2024",Price Adjusted of Rs.296.19 for 5% Bonus shares on previous closing price of Rs.311.00 - Api Power Company Limited (API),https://merolagani.com/AnnouncementDetail.aspx?id=55536,2.0
"Oct 05, 2024","Api Power Company Limited has re-scheduled its postponed 21st AGM going to be held on Kartik 11, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55411,-1.0
"Oct 02, 2024",Api Power Company Limited has postponed its 21st AGM and a book closure date until further notice.,https://merolagani.com/AnnouncementDetail.aspx?id=55328,-1.0
"Sep 27, 2024",Company's Statement Regarding Dividend Declaration for the FY2080/81 - Api Power Company Limited (API),https://merolagani.com/AnnouncementDetail.aspx?id=55342,0.0
"Sep 26, 2024",ERC Letter Regarding Dividend for the FY2080/81 - Api Power Company Limited (API),https://merolagani.com/AnnouncementDetail.aspx?id=55311,0.0
"Sep 16, 2024","Api Power Company Limited has proclaimed its 21st AGM going to be held on Kartik 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55230,0.0
"Aug 23, 2024",Declaration of 9% Bonus Share and 0.4737% Cash Dividend - API Power Company Limited (API),https://merolagani.com/AnnouncementDetail.aspx?id=54980,2.0
"Aug 14, 2024",API Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54818,0.0
"May 12, 2024",API Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53765,0.0
"Mar 04, 2024",API Power Company Limited has published a notice regarding claim-over on lost share certificates.,https://merolagani.com/AnnouncementDetail.aspx?id=52932,0.0
"Feb 08, 2024",API Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52531,0.0
"Dec 21, 2023","Api Power Company Limited has proclaimed its 20th AGM going to be held on Poush 27, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51739,0.0
"Nov 16, 2023",API Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51221,0.0
"Nov 10, 2023","1,65,33,137.00 Units (40%) of Right Shares has been listed in NEPSE - Api Power Company Limited (API)",https://merolagani.com/AnnouncementDetail.aspx?id=51137,2.0
"Oct 21, 2023","API Power Company Limited has distributed its 11,94,934.00 units of ordinary right share to the interested whoever person, company, firm, institutions on Kartik 03, 2080 and is going to refund the payment to the non-allottees bank account starting from Kartik 10, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50731,2.0
"Oct 17, 2023","API Power Company Limited has published a notice regarding a bid opening date of its 11,94,934.00 units of ordinary right share to the interested whoever person, company, firm, institutions from today, Ashwin 30, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50680,1.0
"Sep 27, 2023","API Power Company Limited is going to sell its 11,94,934.00 units of ordinary right share in an auction to the interested whoever person, company, firm, institutions starting from 17th - 24th Ashwin, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50438,1.0
