date,headline,link,sentiment
"Aug 15, 2025",Bhugol Energy Development Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61109,0.0
"Jul 22, 2025","Bhugol Energy Development Company Limited has proclaimed its SGM going to be held on Shrawan 22, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60599,0.0
"May 14, 2025",Bhugol Energy Development Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59856,0.0
"Feb 12, 2025",Bhugol Energy Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58574,0.0
"Dec 23, 2024","Bhugol Energy Development Company Limited has proclaimed its 7th AGM going to be held on Poush 29, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56697,0.0
"Nov 15, 2024",Bhugol Energy Development Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55989,0.0
"Aug 16, 2024",Bhugol Energy Development Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54943,0.0
"May 13, 2024",Bhugol Energy Development Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53862,0.0
"Feb 22, 2024",Bhugol Energy Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52816,0.0
"Dec 29, 2023","Bhugol Energy Development Company Limited has proclaimed its 6th AGM going to be held on Magh 06, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51927,0.0
"Nov 29, 2023",Bhugol Energy Development Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51334,0.0
"Aug 11, 2023",Bhugol Energy Development Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49715,0.0
"Jun 18, 2023",Bhugol Energy Development Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49006,0.0
"Jun 07, 2023","54,40,534.00 units of IPO Shares has been listed in NEPSE. The open price range is set as Rs. 67.63 to Rs. 202.89 for the first transactions - Bhugol Energy Development Company Limited (BEDC)",https://merolagani.com/AnnouncementDetail.aspx?id=48876,2.0
"May 07, 2023","Bhugol Energy Development Company Limited has appointed NIC Asia Capital Limited as its share registrar starting from today, Baishakh 24, 2080.",https://merolagani.com/AnnouncementDetail.aspx?id=48298,0.3
"Apr 17, 2023","Bhugol Energy Development Company Limited has distributed its 13,46,993.00 units of IPO shares to the general public on Baishakh 03, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48000,2.0
"Apr 10, 2023","Bhugol Energy Development Company Limited is going to close its 13,46,993.00 units of IPO shares to the general public from today, Chaitra 27, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47898,1.0
"Apr 06, 2023","Bhugol Energy Development Company Limited is going to open its 13,46,993.00 units of IPO shares to the general public starting from today, Chaitra 23, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47855,1.0
"Mar 29, 2023","Bhugol Energy Development Company Limited is going to issue its 13,46,993.00 units of IPO shares to the general public starting from 23rd - 27th Chaitra 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47769,1.8
