date,headline,link,sentiment
"Aug 15, 2025",Best Finance Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61111,0.0
"Jul 16, 2025","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Shrawan 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60502,0.0
"Jun 14, 2025","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Ashad 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60136,0.0
"May 28, 2025","Best Finance Company Limited has proclaimed its 28th AGM going to be held on Ashad 18, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59992,0.0
"May 14, 2025","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Jestha 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59805,0.0
"Apr 20, 2025",Best Finance Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59360,0.0
"Apr 16, 2025","Best Finance Company Limited has made correction on its new interest rate which is going to be effective for the month of Baishakh, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59218,-1.0
"Apr 13, 2025","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Baishakh 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59257,0.0
"Mar 27, 2025",Conversion of Promoter Shares to Ordinary (51.42: 48.58) - Best Finance Company Limited (BFC),https://merolagani.com/AnnouncementDetail.aspx?id=59132,0.6
"Mar 13, 2025","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Chaitra 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58913,0.0
"Mar 12, 2025",Best Finance Company Limited has published a notice to the promoter shareholders regarding the conversion of share structure ratio (51.42:48.58).,https://merolagani.com/AnnouncementDetail.aspx?id=58891,0.3
"Feb 12, 2025","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Falgun 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58514,0.0
"Feb 04, 2025",Best Finance Company Limited has published a notice to the promoter shareholders regarding the conversion of share structure ratio of 51.42:48.58 and has urged them whether to change or retain the share within the given timeframe.,https://merolagani.com/AnnouncementDetail.aspx?id=58302,0.3
"Jan 20, 2025",Best Finance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58061,0.0
"Jan 13, 2025","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Magh 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56941,0.0
"Dec 15, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Poush 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56375,0.0
"Nov 15, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Mangsir 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55912,0.0
"Oct 23, 2024",Best Finance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55585,0.0
"Oct 16, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Kartik 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55483,0.0
"Oct 09, 2024","Best Finance Company Limited has proclaimed its 27th AGM going to be held on Kartik 14, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55457,0.0
"Sep 16, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Ashwin 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55186,0.0
"Sep 09, 2024","3,56,074.57 Units of Right Share (Auction of Promoter) has been listed in NEPSE - Best Finance Company Limited (BFC)",https://merolagani.com/AnnouncementDetail.aspx?id=55134,2.0
"Aug 16, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Bhadra 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54904,0.0
"Aug 05, 2024",Best Finance Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54575,0.0
"Jul 15, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Shrawan 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54402,0.0
"Jun 14, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Ashad 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54133,0.0
"May 13, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Jestha 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53816,0.0
"Apr 19, 2024",Best Finance Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53386,0.0
"Apr 12, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Baishakh 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53300,0.0
"Mar 13, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Chaitra 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=53017,0.0
"Feb 15, 2024",Best Finance Company Limited has published a notice regarding claim-over on lost promoter share certificates.,https://merolagani.com/AnnouncementDetail.aspx?id=28682,0.0
"Feb 12, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Falgun 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52629,0.0
"Jan 21, 2024",Best Finance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52237,0.0
"Jan 14, 2024","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Magh 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52081,0.0
"Dec 16, 2023","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Poush 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51569,0.0
"Nov 12, 2023","Best Finance Company Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Mangsir 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51158,0.0
"Nov 03, 2023",Best Finance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=50858,0.0
