date,headline,link,sentiment
"Sep 26, 2025",BPCL has decided to buy the shares of Himal Power Limited held by Statkraft Holding Singapore Pte. Ltd. (Singapore) and Eviny AS (Norway).,https://merolagani.com/AnnouncementDetail.aspx?id=61865,0.0
"Aug 14, 2025",Butwal Power Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60976,0.0
"May 12, 2025",Butwal Power Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59719,0.0
"May 07, 2025","Butwal Power Company Limited has published a notice regarding the sale of 31,00,000.00 units of shares of Nyadi Hydropower Limited in the secondary market.",https://merolagani.com/AnnouncementDetail.aspx?id=59591,0.0
"Apr 07, 2025",Cancellation of FPO and Initiation for the Issuance of 40% Right Share - Butwal Power Company Limited (BPCL),https://merolagani.com/AnnouncementDetail.aspx?id=59198,1.0
"Feb 11, 2025",Butwal Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58442,0.0
"Feb 09, 2025",Butwal Power Company Limited has published its 32nd AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=58372,0.0
"Jan 15, 2025",32nd AGM Minutes - Butwal Power Company Limited (BPCL),https://merolagani.com/AnnouncementDetail.aspx?id=57005,0.0
"Dec 19, 2024","Butwal Power Company Limited has proclaimed its 32nd AGM going to be held on Poush 28, 2081 and has published its annual financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=56527,0.0
"Nov 14, 2024",Butwal Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55872,0.0
"Aug 14, 2024",Butwal Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54784,0.0
"May 10, 2024",Butwal Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53703,0.0
"Feb 11, 2024",Butwal Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52597,0.0
"Feb 06, 2024",Butwal Power Company Limited has published its 31st AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=52497,0.0
"Dec 21, 2023","Butwal Power Company Limited has proclaimed its 31st AGM going to be held on Poush 29, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51726,0.0
"Dec 21, 2023",Butwal Power Company Limited has published its annual financial statement of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=51725,0.0
"Dec 17, 2023","Butwal Power Company Limited has published a notice regarding a book closure date of its upcoming 31st AGM from 19th - 29th Poush, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51628,0.0
"Dec 17, 2023","Declaration of 5% Cash Dividend and Issuance of 1,00,00,000.00 units FPO Shares - Butwal Power Company Limited (BPCL)",https://merolagani.com/AnnouncementDetail.aspx?id=51626,2.0
"Nov 10, 2023",Butwal Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51107,0.0
"Aug 11, 2023",Butwal Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49719,0.0
"May 09, 2023",Butwal Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48352,0.0
"Mar 11, 2023",Butwal Power Company Limited has published its annual report of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=47470,0.0
"Mar 09, 2023","16,27,378.00 Units (5%) of Bonus Shares has been listed in NEPSE - Butwal Power Company Limited (BPCL)",https://merolagani.com/AnnouncementDetail.aspx?id=47445,2.0
"Feb 10, 2023",Butwal Power Company Limited has published its 30th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=47006,0.0
"Feb 08, 2023",Butwal Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46898,0.0
"Jan 01, 2023",Price Adjusted of Rs.322.38 for 5% Bonus Shares on previous closing price of Rs.338.50 - Butwal Power Company Limited (BPCL),https://merolagani.com/AnnouncementDetail.aspx?id=46207,2.0
"Dec 23, 2022","Butwal Power Company Limited has proclaimed its 30th AGM going to be held on Poush 30, 2079 and has published its annual financial highlights of the fiscal year 2078/79",https://merolagani.com/AnnouncementDetail.aspx?id=46070,0.0
"Nov 15, 2022",Butwal Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45300,0.0
"Aug 12, 2022",Butwal Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44280,0.0
