date,headline,link,sentiment
"Aug 15, 2025",Chandragiri Hills Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61118,0.0
"May 10, 2025",Chandragiri Hills Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59651,0.0
"Feb 11, 2025",Chandragiri Hills Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58487,0.0
"Jan 12, 2025",Chandragiri Hills Limited has published its 15th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=56916,0.0
"Nov 26, 2024","Chandragiri Hills Limited has proclaimed its 15th AGM going to be held on Poush 03, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56124,0.0
"Nov 15, 2024",Chandragiri Hills Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=56022,0.0
"Aug 15, 2024",Chandragiri Hills Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54880,0.0
"May 11, 2024",Chandragiri Hills Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53730,0.0
"Feb 12, 2024",Chandragiri Hills Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52705,0.0
"Jan 20, 2024",Chandragiri Hills Limited has published its 14th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=52221,0.0
"Jan 05, 2024",Regarding lock in share - Chandragiri Hills Limited (CGH),https://merolagani.com/AnnouncementDetail.aspx?id=52005,0.0
"Dec 22, 2023","Chandragiri Hills Limited has published a notice to the promoter shareholders, local residents/employees, regulatory bodies along with stakeholders regarding expiration of lock-in period of the shares on Magh 08, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51770,0.0
"Dec 20, 2023","Chandragiri Hills Limited has proclaimed its 14th AGM going to be held on Poush 26, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51696,0.0
"Nov 10, 2023",Chandragiri Hills Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51030,0.0
"Aug 15, 2023",Chandragiri Hills Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49836,0.0
"May 12, 2023",Chandragiri Hills Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48455,0.0
"Feb 10, 2023",Chandragiri Hills Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46756,0.0
"Jan 28, 2023",Chandragiri Hills Limited has published its 13th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=46676,0.0
"Dec 15, 2022","Chandragiri Hills Limited has proclaimed its 13th AGM going to be held on Poush 21, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45854,0.0
"Nov 11, 2022",Chandragiri Hills Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45251,0.0
"Aug 06, 2022",Chandragiri Hills Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44153,0.0
"Apr 29, 2022",Chandragiri Hills Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=42928,0.0
"Jan 31, 2022",Chandragiri Hills Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41866,0.0
"Jan 26, 2022",Chandragiri Hills Limited has published its 12th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=41779,0.0
"Jan 12, 2022",Chandragiri Hills Limited has published a notice to its shareholders regarding its upcoming 12th AGM conducted by virtual medium.,https://merolagani.com/AnnouncementDetail.aspx?id=41542,0.0
"Dec 22, 2021","Chandragiri Hills Limited has proclaimed its 12th AGM going to be held on Poush 29, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=41308,0.0
"Oct 29, 2021",Chandragiri Hills Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=40485,0.0
"Aug 09, 2021",Chandragiri Hills Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=39506,0.0
"Apr 19, 2021",Chandragiri Hills Limited has published its provisional financial statement from the third quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38355,0.0
"Mar 16, 2021",Chandragiri Hills Limited has distributed its ordinary shares directly to the project-affected local resident's demat accounts and has urged to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=38057,1.0
"Jan 24, 2021","Chandragiri Hills Limited has allotted its 1396022.00 IPO shares to the general public on Magh 09, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=37388,1.0
"Jan 12, 2021","Chandragiri Hills Limited is going to close its 1534091.00 units of IPO shares to the general public from today, Poush 28, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=37257,1.0
"Jan 08, 2021","Chandragiri Hills Limited is going to open its 1534091.00 units of IPO shares to the general public starting from today, Poush 24, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=37241,1.0
"Jan 01, 2021","Chandragiri Hills Limited has allotted 306819.00 IPO shares to the project affected local residents of Chandragiri Municipality Ward No. 3,4,6, and 7, Thaha Municipality Ward No. 9 and 10, and Indrasarowar Rural Municipality Ward No, 5 on Poush 15, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=37209,1.0
"Jan 01, 2021","Chandragiri Hills Limited is going to publish its 1534091.00 units of IPO shares to the general public starting from 24th Poush - 28th Poush, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=37196,1.0
"Dec 30, 2020","Chandragiri Hills Limited is going to allot 306819.00 IPO shares to the project affected local residents of Chandragiri Municipality Ward No. 3,4,6, and 7, Thaha Municipality Ward No. 9 and 10, and Indrasarowar Rural Municipality Ward No, 5 today, Poush 15, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=37167,1.0
"Dec 23, 2020","Chandragiri Hills Limited has proclaimed its 11th AGM going to be held on Poush 29, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=37101,0.0
"Dec 16, 2020","Chandragiri Hills Limited is going to close its 306819.00 IPO shares to the project affected local residents of Chandragiri Municipality Ward No. 3,4,6, and 7, Thaha Municipality Ward No. 9 and 10, and Indrasarowar Rural Municipality Ward No, 5 from today Poush 01, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=36939,1.0
"Dec 02, 2020","Chandragiri Hills Limited is going to publish its 3,06,819 IPO shares to the project affected local residents of Chandragiri Municipality Ward No. 3,4,6, and 7, Thaha Municipality Ward No. 9 and 10, and Indrasarowar Rural Municipality Ward No, 5 from today to 1st Poush, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=36793,1.0
"Nov 25, 2020","Chandragiri Hills Limited is going to publish its 3,06,819 units of IPO shares to the project-affected locals' residents of Chandragiri Municipality Ward No. 3,4,6, And 7, Thaha Municipality Ward No. 9 ,10 and Indrasarowar Rural Municipality Ward No, 5 starting from 17th Mangsir to 1st Poush, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=36733,1.0
"Jan 03, 2019","Chandragiri Hills Limited has proclaimed its 9th AGM going to be held on Poush 30, 2075.",https://merolagani.com/AnnouncementDetail.aspx?id=31380,0.0
