date,headline,link,sentiment
"Aug 12, 2025",Chilime Jalvidyut Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60919,0.0
"May 13, 2025",Chilime Jalvidyut Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59752,0.0
"Mar 28, 2025","Chilime Jalvidyut Company Limited has distributed a 10% bonus share directly to the demat accounts of its shareholders on Chaitra 13, 2081 and has urged them to dematerialize their shares.",https://merolagani.com/AnnouncementDetail.aspx?id=59073,2.0
"Mar 25, 2025","79,83,997.20 Units (10%) of Bonus Share has been listed in NEPSE - Chilime Hydropower Company Limited (CHCL)",https://merolagani.com/AnnouncementDetail.aspx?id=59113,2.0
"Feb 03, 2025",Chilime Jalvidyut Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58294,0.0
"Jan 23, 2025","Chilime Hydropower Company Limited has distributed a 2% cash dividend directly to the bank accounts of its shareholders on Magh 07, 2081 and has urged them to dematerialize their shares along with requesting them to complete the interim process and receive the cash dividend on time.",https://merolagani.com/AnnouncementDetail.aspx?id=58141,2.0
"Dec 29, 2024",Price Adjusted to Rs.518.18 for 10% Bonus Shares on previous closing price of Rs.570.00 - Chilime Hydropower Company Limited (CHCL),https://merolagani.com/AnnouncementDetail.aspx?id=56791,2.0
"Dec 19, 2024","Chilime Hydropower Company Limited has proclaimed its 28th AGM going to be held on Poush 28, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56539,0.0
"Dec 17, 2024",Information Regarding 28th AGM and a Book Closure Date - Chilime Jalvidyut Company Limited (CHCL),https://merolagani.com/AnnouncementDetail.aspx?id=56466,0.0
"Dec 17, 2024",Declaration of 10% Bonus Share and 2% Cash Dividend - Chilime Jalvidyut Company Limited (CHCL),https://merolagani.com/AnnouncementDetail.aspx?id=56465,2.0
"Nov 15, 2024",Chilime Jalvidyut Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=56027,0.0
"Aug 05, 2024",Chilime Jalvidyut Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54623,0.0
"May 06, 2024",Chilime Jalvidyut Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53612,0.0
"Feb 27, 2024","Chilime Hydropower Company Limited has distributed 10% bonus share directly to the demat account of its shareholders on Falgun 03, 2080 and has urged them to dematerialize their shares.",https://merolagani.com/AnnouncementDetail.aspx?id=52886,2.0
"Feb 15, 2024","72,58,180.00 Units (10%) of Bonus Shares has been listed in NEPSE - Chilime Hydropower Company Limited (CHCL)",https://merolagani.com/AnnouncementDetail.aspx?id=52775,2.0
"Feb 05, 2024",Chilime Jalvidyut Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52480,0.0
"Jan 24, 2024","Chilime Hydropower Company Limited has distributed 5% cash dividend directly to the bank account of its shareholders on Poush 29, 2080 and has urged to dematerialize their share certificates/bank accounts.",https://merolagani.com/AnnouncementDetail.aspx?id=52311,2.0
