date,headline,link,sentiment
"Aug 25, 2025","38,69,775.00 Units (100%) of Right Share has been listed in NEPSE - Chhyangdi Hydropower Limited (CHL)",https://merolagani.com/AnnouncementDetail.aspx?id=61346,2.0
"Aug 25, 2025",9th AGM Minutes - Chhyangdi Hydropower Limited (CHL),https://merolagani.com/AnnouncementDetail.aspx?id=61309,0.0
"Aug 24, 2025",10th and 11th AGM Minutes - Chhyangdi Hydropower Limited (CHL),https://merolagani.com/AnnouncementDetail.aspx?id=61322,0.0
"Aug 16, 2025","Chhyangdi Hydropower Limited has distributed its 2,98,832.00 units of unsold ordinary right shares to the interested whoever person, company, association, institutions on Shrawan 29, 2082 and the final cut-off price is as Rs.266.20",https://merolagani.com/AnnouncementDetail.aspx?id=61222,2.0
"Aug 14, 2025",Chhyangdi Hydropower Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60969,0.0
"Aug 12, 2025","Chhyangdi Hydropower Limited has published a notice regarding a bid opening date of its 2,98,832.00 units of unsold ordinary right shares to the interested whoever person, company, association, institutions from today, Shrawan 27, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60909,0.5
"Jul 29, 2025","Chhyangdi Hydropower Limited has published a notice regarding the auction of its 2,98,832.00 units of unsold ordinary right shares to the interested whoever person, company, association, institutions starting from 14th - 21st Shrawan, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60674,0.5
"Jul 23, 2025","Chhyangdi Hydropower Limited has distributed its 1:1 ratio ordinary right share (38,69,775.00 units @Rs.100/unit) to its shareholders on Shrawan 05, 2082 and is refunding the payment to the non-allottee's bank account starting from Shrawan 08, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60608,2.0
"Jul 23, 2025","Chhyangdi Hydropower Limited is going to sell its 2,98,832.00 units of unsold ordinary right shares in an auction to the interested whoever person, company, association, institutions starting from 14th - 21st Shrawan, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60606,0.5
"Jul 11, 2025","Chhyangdi Hydropower Limited is going to close its 1:1 ratio ordinary right share (38,69,775.00 units @Rs.100/unit) to its shareholders from today, Ashad 27, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60447,1.0
"Jun 26, 2025","Chhyangdi Hydropower Limited has extended its 1:1 ratio ordinary right share (38,69,775.00 units @Rs.100/unit) to its shareholders till Ashad 27, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60311,1.0
"Jun 16, 2025","Chhyangdi Hydropower Limited has republished a notice regarding the submission of its ongoing 1:1 ratio ordinary right share (38,69,775.00 units @Rs.100/unit) to its shareholders with the deadline set for Ashad 12, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60186,1.0
"Jun 11, 2025","Chhyangdi Hydropower Limited has published a notice regarding the submission of its ongoing 1:1 ratio ordinary right share (38,69,775.00 units @Rs.100/unit) to its shareholders with the deadline set for Ashad 12, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60107,1.0
"Jun 06, 2025","Chhyangdi Hydropower Limited is going to open its 1:1 ratio ordinary right share (38,69,775.00 units @Rs.100/unit) to its shareholders starting from today, Jestha 23, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60076,1.0
"May 21, 2025",Chhyangdi Hydropower Limited has listed the application collection and payment deposit centres for its upcoming 1:1 ratio right share.,https://merolagani.com/AnnouncementDetail.aspx?id=59789,1.8
"May 20, 2025","Chhyangdi Hydropower Limited is going to issue its 1:1 ratio ordinary right share (38,69,775.00 units @Rs.100/unit) to its shareholders starting from 23rd Jestha - 12th Ashad, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59897,1.8
"May 15, 2025",Price Adjusted to Rs.289.11 for 100% Right Shares on previous closing price of Rs.478.22 - Chhyangdi Hydropower Limited (CHL),https://merolagani.com/AnnouncementDetail.aspx?id=59875,2.0
"May 14, 2025",Chhyangdi Hydropower Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59849,0.0
"May 08, 2025","Chhyangdi Hydropower Company Limited has published a notice regarding a book closure date for its upcoming 1:1 ratio right shares on Jestha 02, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59607,1.0
"Feb 11, 2025",Chhyangdi Hydropower Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58469,0.0
"Nov 20, 2024","Chhyangdi Hydropower Limited has proclaimed its 10th and 11th AGM going to be held on Poush 05, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56080,0.0
"Nov 15, 2024",Chhyangdi Hydropower Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=56024,0.0
"Aug 15, 2024",Chhyangdi Hydropower Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54857,0.0
"May 11, 2024",Chhyangdi Hydropower Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53717,0.0
"Feb 12, 2024",Chhyangdi Hydropower Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52718,0.0
"Nov 09, 2023",Chhyangdi Hydropower Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=50963,0.0
"Aug 15, 2023",Chhyangdi Hydropower Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49862,0.0
"May 09, 2023",Chhyangdi Hydropower Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48354,0.0
"Apr 19, 2023","Chhyangdi Hydropower Limited has proclaimed its 9th AGM going to be held on Baishakh 28, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48030,0.0
"Apr 05, 2023",Information Regarding 1:1 Ratio Right Share - Chhyangdi Hydropower Company Limited (CHL),https://merolagani.com/AnnouncementDetail.aspx?id=47850,1.0
"Feb 26, 2023",Information Regarding 1:1.5 Ratio Right Share - Chhyangdi Hydropower Company Limited (CHL),https://merolagani.com/AnnouncementDetail.aspx?id=47298,1.0
"Feb 09, 2023",Chhyangdi Hydropower Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46920,0.0
