date,headline,link,sentiment
"Oct 12, 2025","City Hotel Limited is going to close its 1:0.8 ratio ordinary right share (1,33,92,000.00 units @Rs.100.00/unit) to its shareholders from today, Ashwin 26, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61930,1.0
"Sep 28, 2025","City Hotel Limited has extended its 1:0.8 ratio ordinary right share (1,33,92,000.00 units @Rs.100.00/unit) to its shareholders until Ashwin 26, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61881,1.0
"Sep 18, 2025","City Hotel Limited has republished a notice regarding the submission of its ongoing 1:0.8 ratio ordinary right share (1,33,92,000.00 units @Rs.100.00/unit) to its shareholders with the deadline set for Ashwin 12, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61707,1.0
"Sep 14, 2025","City Hotel Limited has published a notice regarding the submission of its ongoing 1:0.8 ratio ordinary right share (1,33,92,000.00 units @Rs.100.00/unit) to its shareholders with the deadline set for Ashwin 12, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61613,1.0
"Sep 08, 2025","City Hotel Limited is going to open its 1:0.8 ratio ordinary right share (1,33,92,000.00 units @Rs.100.00/unit) to its shareholders starting from today, Bhadra 23, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61590,1.0
"Aug 23, 2025",City Hotel Limited has published a notice regarding the application submission and payment deposit centres for the upcoming 1:0.8 ratio right share issuance.,https://merolagani.com/AnnouncementDetail.aspx?id=61306,1.0
"Aug 22, 2025","City Hotel Limited is issuing right shares at a 1:0.8 ratio, shareholders can apply from 23rd Bhadra - 12th Ashwin, 2082 and has also listed the application submission and payment deposit centers for the right share issuance.",https://merolagani.com/AnnouncementDetail.aspx?id=61283,1.8
"Aug 21, 2025","City Hotel Limited is going to issue its 1:0.8 ratio ordinary right share (1,33,92,000.00 units @Rs.100.00/unit) to its shareholders starting from 23rd Bhadra - 12th Ashwin, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61274,1.8
"Aug 15, 2025",City Hotel Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61062,0.0
"Aug 11, 2025",Price Adjusted to Rs.578.42 for 80% Right Shares on previous closing price of Rs.961.15 - City Hotel Limited (CITY),https://merolagani.com/AnnouncementDetail.aspx?id=60902,2.0
"Aug 01, 2025","City Hotel Limited has published a notice regarding a book closure date for its upcoming 1:0.8 ratio right shares on Shrawan 27, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60738,1.0
"Jul 25, 2025",City Hotel Limited has published a notice to its company's directors and other basic shareholders to deposit the payable amount for the approved 1:0.8 ratio right shares within the given timeframe.,https://merolagani.com/AnnouncementDetail.aspx?id=60630,1.0
"Jul 21, 2025",1:0.8 Ratio Right Share Approval - City Hotel Limited (CITY),https://merolagani.com/AnnouncementDetail.aspx?id=60584,1.0
"May 10, 2025",City Hotel Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59644,0.0
"Feb 12, 2025",City Hotel Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58616,0.0
"Jan 31, 2025",City Hotel Limited has appointed Shree Prabhu Capital Limited as an issue manager for its upcoming 1:0.8 ratio right share.,https://merolagani.com/AnnouncementDetail.aspx?id=58274,1.3
"Jan 12, 2025",9th AGM Minutes - City Hotel Limited (CITY),https://merolagani.com/AnnouncementDetail.aspx?id=56924,0.0
"Dec 18, 2024","City Hotel Limited has proclaimed its 9th AGM going to be held on Poush 26, 2081 and has published its annual financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=56503,0.0
"Dec 01, 2024",Information Regarding Issuance of 1:0.8 Ratio Right Share - City Hotel Limited (CITY),https://merolagani.com/AnnouncementDetail.aspx?id=56202,1.0
"Nov 14, 2024",City Hotel Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55867,0.0
"Aug 14, 2024",City Hotel Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54774,0.0
"May 13, 2024",City Hotel Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53879,0.0
"Feb 11, 2024",City Hotel Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52595,0.0
"Jan 29, 2024",8th AGM Minutes - City Hotel Limited (CITY),https://merolagani.com/AnnouncementDetail.aspx?id=52403,0.0
"Dec 15, 2023","City Hotel Limited has proclaimed its 8th AGM going to be held on Poush 20, 2080 and has published its annual financial statement of the fiscal year 2079/80",https://merolagani.com/AnnouncementDetail.aspx?id=51546,0.0
"Dec 14, 2023",Notice on 8th AGM and a Book Closure Date - City Hotel Limited (CITY),https://merolagani.com/AnnouncementDetail.aspx?id=51531,0.0
"Nov 12, 2023",City Hotel Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51197,0.0
"Aug 15, 2023",City Hotel Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49835,0.0
"Jul 13, 2023",City Hotel Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49267,0.0
"Jun 08, 2023","1,67,40,000.00 units of IPO Share has been listed in NEPSE. The open price range is set as Rs. 87.83 to Rs. 263.49 for the first transactions - City Hotel Limited (CITY)",https://merolagani.com/AnnouncementDetail.aspx?id=48886,2.0
"May 21, 2023","City Hotel Limited has distributed its 13,55,940.00 units of IPO shares to the general public on Jestha 05, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48669,2.0
"May 21, 2023",City Hotel Limited has appointed Global IME Capital Limited as its share registrar.,https://merolagani.com/AnnouncementDetail.aspx?id=48668,0.3
"May 11, 2023","City Hotel Limited is going to close its 13,55,940.00 units of IPO shares to the general public from today, Baishakh 28, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48423,1.0
"May 08, 2023","City Hotel Limited is going to open its 13,55,940.00 units of IPO shares to the general public starting from today, Baishakh 25, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48314,1.0
"Apr 26, 2023","City Hotel Limited has distributed its 1,67,400.00 units of IPO shares to the foreign employment citizens of Nepal on Baishakh 12, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48178,2.0
"Apr 18, 2023","City Hotel Limited is going to close its 1,67,400.00 units of IPO shares to the foreign employment citizens of Nepal from today, Baishakh 05, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48018,1.0
"Apr 04, 2023","City Hotel Limited is going to open its 1,67,400.00 units of IPO shares to the foreign employment citizens of Nepal starting from today, Chaitra 21, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47844,1.0
"Mar 27, 2023","City Hotel Limited is going to issue its 13,55,940.00 units of IPO shares to the general public starting from 25th - 28th Baishakh, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=47732,1.8
"Mar 27, 2023","City Hotel Limited is going to issue its 1,67,400.00 units of IPO shares to the foreign employment citizens of Nepal starting from 21st Chaitra 2079 - 5th Baishakh, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=47731,1.8
"Mar 05, 2023",City Hotel Limited has published its annual audited financial statement of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=49269,0.0
"Dec 16, 2022","City Hotel Limited has proclaimed its 7th AGM going to be held on Poush 22, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45872,0.0
"Oct 02, 2022",City Hotel Limited has published its annual audited financial statement of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=49268,0.0
