date,headline,link,sentiment
"Sep 15, 2025","Citizen Life Insurance Company Limited has published a notice regarding an interest discount of 100% on the renewal of lapsed insurance policies, valid from 30th Bhadra to 12th Ashwin, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61587,0.0
"Aug 15, 2025",Citizen Life Insurance Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61054,0.0
"May 26, 2025","Citizen Life Insurance Company Limited has published a notice regarding an interest discount of 50%, 75%, and 100% on the renewal of lapsed insurance policies, valid from 12th to 27th Jestha, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59937,0.0
"May 25, 2025","1,06,25,000.00 Units (26.98412698%) of Bonus Share has been listed in NEPSE - Citizen Life Insurance Company Limited (CLI)",https://merolagani.com/AnnouncementDetail.aspx?id=59952,2.0
"May 12, 2025",Citizen Life Insurance Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59725,0.0
"Apr 08, 2025",Citizen Life Insurance Company Limited has published the details and decisions of its 8th AGM.,https://merolagani.com/AnnouncementDetail.aspx?id=59208,0.0
"Mar 20, 2025",Citizen Life Insurance Company Limited has re-published its 8th AGM going along with annual financial statement for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=59013,0.0
"Mar 11, 2025",Price Adjusted to Rs.571.41 for 26.98412698% Bonus Shares on previous closing price of Rs.725.60 - Citizen Life Insurance Company Limited (CLI),https://merolagani.com/AnnouncementDetail.aspx?id=58889,2.0
"Mar 02, 2025","Citizen Life Insurance Company Limited has proclaimed its 8th AGM going to be held on Chaitra 15, 2081 and has published its annual financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=58789,0.0
"Feb 21, 2025",Declaration of 26.98412698% Bonus Share and 1.42022% Cash Dividend - Citizen Life Insurance Company Limited (CLI),https://merolagani.com/AnnouncementDetail.aspx?id=58700,2.0
"Feb 10, 2025",Citizen Life Insurance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58418,0.0
"Jan 14, 2025",Citizen Life Insurance Company Limited has published a notice regarding new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=56986,0.0
"Dec 17, 2024","Citizen Life Insurance Company Limited has published a notice regarding a 100% interest discount (renewal) on lapsed insurance policies starting from 2nd - 25th Poush, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56461,0.0
"Nov 15, 2024",Citizen Life Insurance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55969,0.0
"Aug 14, 2024",Citizen Life Insurance Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54833,0.0
"May 14, 2024","Citizen Life Insurance Company Limited has published a notice regarding 100% interest discount (renewal) on lapsed insurance policies starting from 1st - 32nd Jestha, 2081 and 50% interest discount on same policies starting from 1st - 16th Ashad, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53886,0.0
"May 13, 2024",Citizen Life Insurance Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53870,0.0
"May 12, 2024",Transactions Release - Citizen Life Insurance Company Limited (CLI),https://merolagani.com/AnnouncementDetail.aspx?id=53804,0.0
"May 07, 2024",Transactions Suspended - Citizen Life Insurance Company Limited (CLI),https://merolagani.com/AnnouncementDetail.aspx?id=53633,-2.0
"May 07, 2024",Information on Cancellation of Dividend - Citizen Life Insurance Company Limited (CLI),https://merolagani.com/AnnouncementDetail.aspx?id=53631,0.0
"May 06, 2024",Declaration of 26.98412698% Bonus Share and 1.42022% Cash Dividend - Citizen Life Insurance Company Limited (CLI),https://merolagani.com/AnnouncementDetail.aspx?id=53613,2.0
"Mar 05, 2024",Citizen Life Insurance Company Limited has distributed 5% bonus share directly to the demat account of its shareholders and has urged them to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=52954,2.0
"Feb 29, 2024","18,75,000.00 Units (5%) of Bonus Shares has been listed in NEPSE - Citizen Life Insurance Company Limited (CLI)",https://merolagani.com/AnnouncementDetail.aspx?id=52906,2.0
"Feb 09, 2024","Citizen Life Insurance Company Limited has issued a notice to the all investors/stakeholders regarding the expiration of the lock-in period for its 4,34,906.00 units of shares on 27th of Falgun, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52550,0.8
"Feb 06, 2024",Citizen Life Insurance Company Limited has published its 7th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=52496,0.0
"Jan 26, 2024",Citizen Life Insurance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52331,0.0
"Jan 20, 2024",Citizen Life Insurance Company Limited has published its 7th AGM along with annual financial statement of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=52219,0.0
"Jan 11, 2024",Price Adjusted of Rs.471.81 for 5% bonus shares on previous closing price of Rs.495.40 - Citizen Life Insurance Company Limited (CLI),https://merolagani.com/AnnouncementDetail.aspx?id=52060,2.0
