date,headline,link,sentiment
"Sep 26, 2025",Declaration of 0.263% Cash Dividend and 5% Bonus Share - Citizens Bank International Limited (CZBIL),https://merolagani.com/AnnouncementDetail.aspx?id=61897,2.0
"Sep 19, 2025","Citizens Bank International Limited has published a notice regarding amendment on its new interest rate on deposit products which is going to be effective from Ashwin 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61715,0.0
"Sep 16, 2025","Citizens Bank International Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Ashwin 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61677,0.0
"Aug 18, 2025","Citizens Bank International Limited has made correction on its new interest rate which is going to be effective for the month of Bhadra, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61178,-1.0
"Aug 16, 2025","Citizens Bank International Limited has published a notice regarding new interest rate on deposits, loans and advances which is going to be effective from Bhadra 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61198,0.0
"Aug 09, 2025",Citizen Bank International Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60875,0.0
"Jul 16, 2025","Citizens Bank International Limited has published a notice regarding new interest rate on deposits, loans and advances which is going to be effective from Shrawan 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60533,0.0
"Jun 19, 2025",Citizens Bank International Limited has urged its Demat/Meroshare account holders to submit their annual renewal operating fees.,https://merolagani.com/AnnouncementDetail.aspx?id=60218,0.0
"Jun 14, 2025","Citizens Bank International Limited has published a notice regarding new interest rate on deposits, loans and advances which is going to be effective from Ashad 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60166,0.0
"May 14, 2025","Citizens Bank International Limited has published a notice regarding new interest rate on deposits, loans and advances which is going to be effective from Jestha 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59837,0.0
"Apr 20, 2025",Citizen Bank International Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59391,0.0
"Apr 14, 2025","Citizens Bank International Limited has published a notice regarding new interest rate on deposit products which is going to be effective from Baishakh 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59237,0.0
"Apr 13, 2025","Citizens Bank International Limited has published a notice regarding new interest rate on deposits, loans and advances which is going to be effective from Baishakh 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59290,0.0
"Mar 19, 2025",Citizens Bank International Limited has published a notice to its shareholders to collect unclaimed cash dividends for the fiscal year 2075/76 and has urged them to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=59006,1.0
