date,headline,link,sentiment
"Aug 15, 2025",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61050,0.0
"Jun 18, 2025","Deprosc Laghubitta Bittiya Sanstha Limited (Former Adarsha Laghubitta Bittiya Sanstha Limited) has issued a notice to the all investors/concerned stakeholders regarding the expiration of the lock-in period for its 2,03,824.00 units share of promoter shareholders/employees on 10th of Shrawan, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60210,0.8
"Apr 29, 2025",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59529,0.0
"Apr 03, 2025",Deprosc Laghubitta Bittiya Sanstha Limited has published its annual financial statement for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=59182,0.0
"Feb 23, 2025","16,20,887.1336 Units (9.5%) of Bonus Share has been listed in NEPSE - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL)",https://merolagani.com/AnnouncementDetail.aspx?id=58714,2.0
"Feb 10, 2025",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58412,0.0
"Jan 26, 2025",Deprosc Laghubitta Bittiya Sanstha Limited has published a notice to its shareholders to collect unclaimed cash dividends from the last five fiscal years and has urged them to present with their share certificates along with identity within the given timeframe.,https://merolagani.com/AnnouncementDetail.aspx?id=58185,1.0
"Dec 31, 2024",Price Adjusted to Rs.785.39 for 9.50% Bonus shares on previous closing price of Rs.860.00 - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=56817,2.0
"Dec 20, 2024","Deprosc Laghubitta Bittiya Sanstha Limited has proclaimed its 23rd AGM going to be held on Poush 26, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56569,0.0
"Dec 13, 2024",Declaration of 9.5% Bonus Share and 0.5% Cash Dividend - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=56356,2.0
"Nov 07, 2024",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55778,0.0
"Aug 14, 2024",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54768,0.0
"Jun 03, 2024","15,51,088.1661 Units (10%) of Bonus Share has been listed in NEPSE - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL)",https://merolagani.com/AnnouncementDetail.aspx?id=54054,2.0
"May 08, 2024",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53658,0.0
"Mar 27, 2024",Price Adjusted of Rs.725.18 for 10% bonus shares on previous closing price of Rs.797.70 - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=53193,2.0
"Mar 15, 2024","Deprosc Laghubitta Bittiya Sanstha Limited has proclaimed its 22nd AGM going to be held on Chaitra 25, 2080 and has published its annual financial statement of the fiscal year 2079/80",https://merolagani.com/AnnouncementDetail.aspx?id=53064,0.0
"Feb 15, 2024",Declaration of 10% Bonus Shares and 0.52632% Cash Dividend - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=52776,2.0
"Feb 12, 2024",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52694,0.0
"Dec 01, 2023",Deprosc Laghubitta Bittiya Sanstha Limited has published a notice to its shareholders to collect uncollected due cash dividends.,https://merolagani.com/AnnouncementDetail.aspx?id=51381,1.0
"Nov 09, 2023",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=50958,0.0
"Aug 15, 2023",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49843,0.0
"Jun 25, 2023","2,48,400.00 Units of Shares has been listed in NEPSE After Acquisition - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL)",https://merolagani.com/AnnouncementDetail.aspx?id=49081,1.6
"Jun 11, 2023","Deprosc Laghubitta Bittiya Sanstha Limited and Adarsha Laghubitta Bittiya Sanstha Limited has published a notice regarding closure of transactions on 32nd Jestha, 2080 due to successful acquisition.",https://merolagani.com/AnnouncementDetail.aspx?id=48905,0.0
"May 30, 2023",Final Approval of Acquisition from SEBON - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=48806,0.0
"May 30, 2023","Deprosc Laghubitta Bittiya Sanstha Limited has successfully acquired Adarsha Laghubitta Bittiya Sanstha Limited and will commence its joint transactions in the name of Deprosc Laghubitta Bittiya Sanstha Limited starting from Ashad 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48546,0.0
"May 18, 2023",Final Approval of Acquisition from NRB - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=48647,0.0
"May 09, 2023",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48337,0.0
"Apr 27, 2023","13,87,498.3328 Units (10%) of Bonus Shares has been Listed in NEPSE - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL)",https://merolagani.com/AnnouncementDetail.aspx?id=48201,2.0
"Mar 28, 2023",Final MOU between DDBL & ALBSL - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=47756,0.0
"Mar 27, 2023",Deprosc Laghubitta Bittiya Sanstha Limited has published its 21st AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=47726,0.0
"Mar 21, 2023",Deprosc Laghubitta Bittiya Sanstha Limited has distributed 11.052632% cash dividend directly to the bank account of its shareholders and has urged to dematerialize their shares/accounts.,https://merolagani.com/AnnouncementDetail.aspx?id=47640,2.0
"Mar 05, 2023",Deprosc Laghubitta Bittiya Sanstha Limited has published its annual financial statement of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=47399,0.0
"Mar 02, 2023",Price Adjusted of Rs.744.55 for 10% Bonus Shares on previous closing price of Rs.819.00 - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=47380,2.0
"Feb 22, 2023",Deprosc Laghubitta Bittiya Sanstha Limited has made correction on its 21st AGM.,https://merolagani.com/AnnouncementDetail.aspx?id=47211,-1.0
"Feb 21, 2023","Deprosc Laghubitta Bittiya Sanstha Limited has proclaimed its 21st AGM going to be held on Falgun 30, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47202,0.0
"Feb 20, 2023",Information on Book Closure Date - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=47197,0.0
"Feb 10, 2023",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46693,0.0
"Jan 10, 2023",Declaration of 10% Bonus Share and 11.052632% Cash Dividend - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=46304,2.0
"Jan 04, 2023","23,12,497.2214 Units (20%) of Bonus Shares has been Listed in NEPSE - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL)",https://merolagani.com/AnnouncementDetail.aspx?id=46253,2.0
"Nov 14, 2022",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45273,0.0
"Oct 09, 2022",Information about Acquisition MOU - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=44883,0.0
"Aug 12, 2022",Deprosc Laghubitta Bittiya Sanstha Limited has published a notice regarding correction on its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44277,-0.5
"Aug 10, 2022",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44195,0.0
"Jul 25, 2022",Deprosc Laghubitta Bittiya Sanstha Limited has published a notice to its shareholders to collect uncollected due cash dividends.,https://merolagani.com/AnnouncementDetail.aspx?id=43945,1.0
"May 09, 2022",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=43022,0.0
"Mar 17, 2022","Deprosc Laghubitta Bittiya Sanstha Limited has appointed Nabil Investment Banking Limited as its share registrar starting from today, Chaitra 03, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=42445,0.3
"Mar 10, 2022",Deprosc Laghubitta Bittiya Sanstha Limited has appointed Nabil Investment Banking Limited as its share registrar.,https://merolagani.com/AnnouncementDetail.aspx?id=42344,0.3
"Feb 18, 2022",Deprosc Laghubitta Bittiya Sanstha Limited has published its annual financial statement of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=42174,0.0
"Jan 27, 2022",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41780,0.0
"Oct 29, 2021",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=40470,0.0
"Sep 28, 2021",Adjusted Price of Rs.1388.42 for 20% Bonus Share on previous closing price of Rs.1666.10 - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=40161,2.0
"Sep 18, 2021","Deprosc Laghubitta Bittiya Sanstha Limited has proclaimed its 20th AGM going to be held on Ashwin 23, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=40088,0.0
"Sep 02, 2021",Dividend Declaration - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=39922,0.0
"Aug 27, 2021",Deprosc Laghubitta Bittiya Sanstha Limited has published a notice to its shareholders to collect uncollected due cash dividends.,https://merolagani.com/AnnouncementDetail.aspx?id=39838,1.0
"Jul 30, 2021",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=39384,0.0
"Jul 11, 2021","15,08,150.3618 Units (15%) of Bonus Shares has been Listed in NEPSE - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL)",https://merolagani.com/AnnouncementDetail.aspx?id=39193,2.0
"May 10, 2021",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the third quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38665,0.0
"Apr 16, 2021",Deprosc Laghubitta Bittiya Sanstha Limited has published its annual financial statement of the fiscal year 2076/77,https://merolagani.com/AnnouncementDetail.aspx?id=38315,0.0
"Apr 07, 2021",Deprosc Laghubitta Bittiya Sanstha Limited has distributed 5% cash dividend directly to the bank accounts of its shareholders and has urged to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=38226,2.0
"Mar 23, 2021",Adjusted Price of Rs.1720 for 15% Bonus Share on previous closing price of Rs.1978 - Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),https://merolagani.com/AnnouncementDetail.aspx?id=38121,2.0
"Mar 08, 2021","Deprosc Laghubitta Bittiya Sanstha Limited has proclaimed its 19th AGM going to be held on Chaitra 20, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=37954,0.0
"Mar 07, 2021",Deprosc Laghubitta Bittiya Sanstha Limited (DDBL) - announced its 19th AGM book closure date.,https://merolagani.com/AnnouncementDetail.aspx?id=37952,0.0
"Mar 05, 2021",Deprosc Laghubitta Bittiya Sanstha Limited (DDBL) - proposed 15% bonus share and 5% cash dividend approved by NRB.,https://merolagani.com/AnnouncementDetail.aspx?id=37939,2.0
"Feb 11, 2021",Deprosc Laghubitta Bittiya Sanstha Limited (DDBL) - proposed 15% bonus share and 5% cash dividend,https://merolagani.com/AnnouncementDetail.aspx?id=37682,2.0
"Feb 10, 2021",Deprosc Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the second quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=37635,0.0
"Nov 11, 2020",Deprosc Laghubitta Bikas Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2077/78.,https://merolagani.com/AnnouncementDetail.aspx?id=36585,0.0
"Aug 13, 2020",Deprosc Laghubitta Bikas Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2076/77,https://merolagani.com/AnnouncementDetail.aspx?id=36005,0.0
"May 11, 2020",Deprosc Laghubitta Bikas Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2076/77,https://merolagani.com/AnnouncementDetail.aspx?id=35403,0.0
"Feb 24, 2020",Deprosc Laghubitta Bittiya Sanstha Limited (DDBL) is distributing 15% cash dividend directly to the bank account and urges its shareholders to dematerialized their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=35044,2.0
"Feb 10, 2020",Deprosc Laghubitta Bikas Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2076/77,https://merolagani.com/AnnouncementDetail.aspx?id=34896,0.0
"Jan 27, 2020",Deprosc Laghubitta Bittiya Sanstha Limited (DDBL) - Price Adjusted,https://merolagani.com/AnnouncementDetail.aspx?id=34712,0.5
"Jan 08, 2020","Deprosc Laghubitta Bittiya Sanstha Limited proclaim its 18th AGM going to be held on Magh 26, 2076.",https://merolagani.com/AnnouncementDetail.aspx?id=34604,0.0
"Dec 16, 2019",Deprosc Laghubitta Bittiya Sanstha Limited (DDBL) has urged its shareholders to collect uncollected due dividends.,https://merolagani.com/AnnouncementDetail.aspx?id=34393,0.0
"Dec 11, 2019",Deprosc Laghubitta Bittiya Sanstha Limited (DDBL) - Proposed 30% bonus shares and 15% cash dividend.,https://merolagani.com/AnnouncementDetail.aspx?id=34358,2.0
"Nov 13, 2019",Deprosc Laghubitta Bikas Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2076/77,https://merolagani.com/AnnouncementDetail.aspx?id=34017,0.0
"Sep 27, 2019",Deprosc Laghubitta Bikas Bank Limited has shifted to Bhaktapur,https://merolagani.com/AnnouncementDetail.aspx?id=33670,0.0
"Aug 14, 2019",Deprosc Laghubitta Bikas Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2075/76,https://merolagani.com/AnnouncementDetail.aspx?id=33277,0.0
"Aug 12, 2019",Deprosce Laghubitta Bittiya Sanstha Limited has published a notice regarding formation of merger and acquisition committee.,https://merolagani.com/AnnouncementDetail.aspx?id=33237,0.0
"May 06, 2019",Deprosc Laghubitta Bikas Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2075/76,https://merolagani.com/AnnouncementDetail.aspx?id=32448,0.0
"Mar 31, 2019",Deprosc Laghubitta Biittiya Sanstha Limited is distributing 10% bonus share directly to DMAT accounts and urges to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=32130,2.0
"Feb 04, 2019",Deprosc Laghubitta Bikas Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=31677,0.0
"Jan 30, 2019",Deprosc Laghubitta Bittiya Sanstha Limited is distributing 10% cash dividend directly to bank account and urges its shareholders to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=31636,2.0
"Jan 10, 2019",Deprosc Development Bank Limited (DDBL) - Adjusted price.,https://merolagani.com/AnnouncementDetail.aspx?id=31419,0.0
"Jan 01, 2019","Deprosc Laghubitta Bikas Bank Limited proclaim its 17th AGM going to be held on Magh 11, 2075.",https://merolagani.com/AnnouncementDetail.aspx?id=31364,0.0
"Dec 07, 2018",Deprosc Laghubitta Bittiya Sanstha Limited urges its shareholders to collect uncollected due dividend.,https://merolagani.com/AnnouncementDetail.aspx?id=31017,0.0
"Nov 29, 2018",Deprosc Laghubitta Bittiya Sanstha Limited (DDBL)- 10% bonus share and 10% cash dividend.,https://merolagani.com/AnnouncementDetail.aspx?id=30957,2.0
"Nov 15, 2018",Deprosc Laghubitta Bikas Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=30793,0.0
"Aug 10, 2018",Deprosc Laghubitta Bittiya Sanstha Limited has amended its company analysis of the 4th quarterly report 2074/075.,https://merolagani.com/AnnouncementDetail.aspx?id=29533,0.0
"Aug 09, 2018",Deprosc Laghubitta Bikas Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=29530,0.0
"Jun 03, 2018",Deprosc Laghubitta Bittiya Sanstha Limited is distributing 16% bonus share directly to DEMAT accounts of its shareholders and has urged to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=28705,2.0
"May 11, 2018",Deprosc Laghubitta Bikas Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=29529,0.0
"May 02, 2018",Deprosc Laghubitta Bikas Bank Limited has changed its name to Deprosc Laghubitta Bittiya Sanstha Limited.,https://merolagani.com/AnnouncementDetail.aspx?id=28337,0.0
