date,headline,link,sentiment
"Aug 06, 2025",First Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60824,0.0
"Apr 30, 2025",First Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59534,0.0
"Apr 10, 2025",First Microfinance Laghubitta Bittiya Sanstha Limited has re-published its annual financial statement for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=59228,0.0
"Feb 21, 2025","11,10,444.21 Units (9%) of Bonus Share has been listed in NEPSE - First Micro Finance Laghubitta Bittiya Sanstha Limited (FMDBL)",https://merolagani.com/AnnouncementDetail.aspx?id=58698,2.0
"Jan 24, 2025",First Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58148,0.0
"Jan 08, 2025",15th AGM Minutes - First Microfinance Laghubitta Bittiya Sanstha Limited (FMDBL),https://merolagani.com/AnnouncementDetail.aspx?id=56898,0.0
"Dec 10, 2024",First Microfinance Laghubitta Bittiya Sanstha Limited has re-published its annual financial statement for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=56289,0.0
"Dec 05, 2024",Price Adjusted to Rs.731.19 for 9% Bonus shares on previous closing price of Rs.797.00 - First Micro Finance Laghubitta Bittiya Sanstha Limited (FMDBL),https://merolagani.com/AnnouncementDetail.aspx?id=56257,2.0
"Dec 02, 2024",First Microfinance Laghubitta Bittiya Sanstha Limited has published its annual financial statement for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=56211,0.0
"Nov 27, 2024","First Microfinance Laghubitta Bittiya Sanstha Limited has proclaimed its 15th AGM going to be held on Poush 11, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56151,0.0
"Nov 07, 2024",First Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55777,0.0
"Oct 30, 2024",Declaration of 9% Bonus Share and 0.47% Cash Dividend - First Microfinance Laghubitta Bittiya Sanstha Limited (FMDBL),https://merolagani.com/AnnouncementDetail.aspx?id=55739,2.0
