date,headline,link,sentiment
"Aug 15, 2025",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61049,0.0
"May 07, 2025",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59601,0.0
"Apr 01, 2025","14,03,899.76 Units (13.30%) of Bonus Share has been listed in NEPSE - Forward Microfinance Laghubitta Bittiya Sanstha Limited (FOWAD)",https://merolagani.com/AnnouncementDetail.aspx?id=59164,2.0
"Feb 13, 2025",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58640,0.0
"Dec 04, 2024",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its annual financial statement for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=56233,0.0
"Nov 28, 2024",Price Adjusted of Rs.1352.16 for 13.3% Bonus shares on previous closing price of Rs.1532.00 - Forward Microfinance Laghubitta Bittiya Sanstha Limited (FOWAD),https://merolagani.com/AnnouncementDetail.aspx?id=56176,2.0
"Nov 18, 2024","Forward Microfinance Laghubitta Bittiya Sanstha Limited has proclaimed its 12th AGM going to be held on Mangsir 28, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56057,0.0
"Nov 12, 2024",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55814,0.0
"Oct 02, 2024",Declaration of 13.3% Bonus Share and 0.3% Cash Dividend - Forward Microfinance Laghubitta Bittiya Sanstha Limited (FOWAD),https://merolagani.com/AnnouncementDetail.aspx?id=55401,2.0
"Aug 11, 2024",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54688,0.0
"Apr 26, 2024",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53526,0.0
"Feb 09, 2024",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=28832,0.0
"Jan 07, 2024",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its 11th AGM along with annual financial statement of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=52008,0.0
"Dec 22, 2023","Forward Microfinance Laghubitta Bittiya Sanstha Limited has proclaimed its 11th AGM going to be held on Poush 27, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51754,0.0
"Dec 20, 2023",Transactions Release - Forward Microfinance Laghubitta Bittiya Sanstha Limited (FOWAD),https://merolagani.com/AnnouncementDetail.aspx?id=51704,0.0
"Dec 14, 2023",Transactions Suspended - Forward Microfinance Laghubitta Bittiya Sanstha Limited (FOWAD),https://merolagani.com/AnnouncementDetail.aspx?id=51533,-2.0
"Dec 14, 2023",Information on Dividend Declaration - Forward Microfinance Laghubitta Bittiya Sanstha Limited (FOWAD),https://merolagani.com/AnnouncementDetail.aspx?id=51532,0.0
"Nov 19, 2023",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51004,0.0
"Aug 17, 2023",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=50047,0.0
"May 17, 2023","21,11,127.469 Units (25%) of Bonus Shares has been Listed in NEPSE - Forward Microfinance Laghubitta Bittiya Sanstha Limited (FOWAD)",https://merolagani.com/AnnouncementDetail.aspx?id=48642,2.0
"May 11, 2023",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48407,0.0
"Feb 10, 2023",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46695,0.0
"Jan 29, 2023","Forward Microfinance Laghubitta Bittiya Sanstha Limited is going to distribute 5% cash dividend directly to the bank account of its shareholders starting from today, Magh 15, 2079 and has urged to dematerialize their shares/accounts. (Note: 25% bonus share will be deposited in demat account after listing)",https://merolagani.com/AnnouncementDetail.aspx?id=46766,2.0
"Dec 29, 2022",Price Adjusted of Rs.1904 for 25% Bonus Shares on previous closing price of Rs.2380.00 - Forward Microfinance Laghubitta Bittiya Sanstha Limited (FOWAD),https://merolagani.com/AnnouncementDetail.aspx?id=46192,2.0
"Dec 28, 2022",Forward Microfinance Laghubitta Bittiya Sanstha Limited has published a notice regarding correction on its upcoming 10th AGM.,https://merolagani.com/AnnouncementDetail.aspx?id=46154,-0.5
