date,headline,link,sentiment
"Oct 15, 2025",17th AGM Minutes - Hathway Investment Nepal Limited (HATHY),https://merolagani.com/AnnouncementDetail.aspx?id=61960,0.0
"Sep 10, 2025","Hathway Investment Nepal Limited has rescheduled the date of its 17th AGM to Bhadra 31, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61607,-0.5
"Aug 28, 2025",Price Adjusted to Rs.1124.10 for 12% Bonus Shares on previous closing price of Rs.1258.99 - Hathway Investment Nepal Limited (HATHY),https://merolagani.com/AnnouncementDetail.aspx?id=61408,2.0
"Aug 20, 2025","Hathway Investment Nepal Limited has proclaimed its 17th AGM going to be held on Bhadra 25, 2082 and has published its annual financial statement for the fiscal year 2081/82",https://merolagani.com/AnnouncementDetail.aspx?id=61260,0.0
"Aug 19, 2025",Declaration of 12% Bonus Share and 0.632% Cash Dividend - Hathway Investment Nepal Limited (HATHY),https://merolagani.com/AnnouncementDetail.aspx?id=61266,2.0
"Aug 15, 2025",Hathway Investment Nepal Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61059,0.0
"Apr 29, 2025",Hathway Investment Nepal Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59530,0.0
"Feb 10, 2025",Hathway Investment Nepal Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58422,0.0
"Jan 01, 2025","25,74,000.00 Units (10%) of Bonus Share has been listed in NEPSE - Hathway Investment Nepal Limited (HATHY)",https://merolagani.com/AnnouncementDetail.aspx?id=56833,2.0
"Dec 02, 2024",16th AGM Minutes - Hathway Investment Nepal Limited (HATHY),https://merolagani.com/AnnouncementDetail.aspx?id=56218,0.0
"Oct 28, 2024",Hathway Investment Nepal Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55694,0.0
"Oct 22, 2024",Price Adjusted of Rs.1309.00 for 10% Bonus shares on previous closing price of Rs.1439.90 - Hathway Investment Nepal Limited (HATHY),https://merolagani.com/AnnouncementDetail.aspx?id=55570,2.0
"Oct 01, 2024","Hathway Investment Nepal Limited has proclaimed its 16th AGM going to be held on Kartik 25, 2081 and has published its annual financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=55391,0.0
"Sep 13, 2024",Declaration of 10% Bonus Share and 0.526% Cash Dividend - Hathway Investment Nepal Limited (HATHY),https://merolagani.com/AnnouncementDetail.aspx?id=55167,2.0
"Aug 14, 2024",Hathway Investment Nepal Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54796,0.0
"May 09, 2024",Hathway Investment Nepal Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53675,0.0
"Mar 16, 2024",Hathway Investment Nepal Limited has published its 15th annual report of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=53073,0.0
"Mar 06, 2024","Hathway Investment Nepal Limited has issued a notice to the all investors/stakeholders regarding the expiration of the lock-in period for its 36,512.00 units of shares (Mutual Fund) on 1st of Chaitra, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52959,0.8
"Feb 28, 2024","23,40,000.00 Units (10%) of Bonus Shares has been listed in NEPSE - Hathway Investment Nepal Limited (HATHY)",https://merolagani.com/AnnouncementDetail.aspx?id=52894,2.0
"Feb 11, 2024",Hathway Investment Nepal Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52590,0.0
"Jan 18, 2024",15th AGM Minutes - Hathway Investment Nepal Limited (HATHY),https://merolagani.com/AnnouncementDetail.aspx?id=52198,0.0
"Dec 27, 2023",Price Adjusted of Rs.724.09 for 10% bonus shares on previous closing price of Rs.796.50 - Hathway Investment Nepal Limited (HATHY),https://merolagani.com/AnnouncementDetail.aspx?id=51877,2.0
"Dec 20, 2023","Hathway Investment Nepal Limited has proclaimed its 15th AGM going to be held on Poush 26, 2080 and has published its annual financial statement of the fiscal year 2079/80",https://merolagani.com/AnnouncementDetail.aspx?id=51694,0.0
"Dec 19, 2023",Information on 15th AGM and Declaration of 10% Bonus Share and 0.526% Cash Dividend - Hathway Investment Nepal Limited (HATHY),https://merolagani.com/AnnouncementDetail.aspx?id=51674,2.0
