date,headline,link,sentiment
"Oct 04, 2025",Himalayan Distillery Limited has published its annual report for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=61976,0.0
"Aug 14, 2025",Himalayan Distillery Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61014,0.0
"May 14, 2025",Himalayan Distillery Limited has published its revised provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59857,0.0
"May 14, 2025",Himalayan Distillery Limited has made correction on its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59846,-1.0
"May 12, 2025",Himalayan Distillery Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59718,0.0
"Feb 23, 2025","40,08,784.97 Units (15%) of Bonus Share has been listed in NEPSE - Himalayan Distillery Limited (HDL)",https://merolagani.com/AnnouncementDetail.aspx?id=58713,2.0
"Feb 11, 2025",Himalayan Distillery Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58467,0.0
"Feb 04, 2025","Himalayan Distillery Limited has distributed 5% cash dividend directly to the bank account of its shareholders on Magh 13, 2081 and has urged them to dematerialize their shares/accounts along with collection of unclaimed due cash dividends from the fiscal year 2075/76",https://merolagani.com/AnnouncementDetail.aspx?id=58314,2.0
"Jan 02, 2025",Price Adjusted to Rs.1183.48 for 15% Bonus shares on previous closing price of Rs.1361.00 - Himalayan Distillery Limited (HDL),https://merolagani.com/AnnouncementDetail.aspx?id=56848,2.0
"Dec 21, 2024","Himalayan Distillery Limited has proclaimed its 24th AGM going to be held on Poush 28, 2081 and has published its annual financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=56610,0.0
"Dec 09, 2024",Declaration of 15% Bonus Share and 5% Cash Dividend (Including Dividend Tax) - Himalayan Distillery Limited (HDL),https://merolagani.com/AnnouncementDetail.aspx?id=56297,2.0
