date,headline,link,sentiment
"Aug 15, 2025",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61117,0.0
"May 11, 2025",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59681,0.0
"Apr 08, 2025",Hydroelectricity Investment and Development Company Limited has published a notice to its shareholders to collect unclaimed cash dividends and bonus shares from the fiscal year 2072/73 to 2080/81 and has urged them to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=59211,2.0
"Feb 12, 2025",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58612,0.0
"Jan 15, 2025",Hydroelectricity Investment and Development Company Limited has published its 13th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=56996,0.0
"Dec 18, 2024",Hydroelectricity Investment and Development Company Limited has published its 13th AGM along with financial statement for the fiscal year 2080/2081,https://merolagani.com/AnnouncementDetail.aspx?id=56495,0.0
"Dec 17, 2024","Hydroelectricity Investment and Development Company Limited has proclaimed its 13th AGM going to be held on Poush 24, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56452,0.0
"Dec 11, 2024","Information on 13th AGM, Book Closure Date and Declaration of 5.25% Cash Dividend - Hydroelectricity Investment and Development Company Limited HIDCL",https://merolagani.com/AnnouncementDetail.aspx?id=56324,2.0
"Nov 15, 2024",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=56012,0.0
"Sep 04, 2024","1,68,59,050.00 Units of Right Shares (Auction of Promoter) has been listed in NEPSE - Hydroelectricity Investment and Development Company Ltd (HIDCL)",https://merolagani.com/AnnouncementDetail.aspx?id=55093,2.0
"Aug 13, 2024",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54735,0.0
"May 15, 2024","9,81,090.00 Units of Right Shares (Auction of Promoter) has been listed in NEPSE - Hydroelectricity Investment and Development Company Limited (HIDCL)",https://merolagani.com/AnnouncementDetail.aspx?id=53903,2.0
"May 08, 2024",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53653,0.0
"Mar 31, 2024","Hydroelectricity Investment and Development Company Limited has distributed 5.263% cash dividend directly to the bank account of its shareholders on Falgun 27, 2080 and has urged them to dematerialize their shares/accounts.",https://merolagani.com/AnnouncementDetail.aspx?id=53207,2.0
"Jan 29, 2024",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52402,0.0
"Jan 20, 2024",Hydroelectricity Investment and Development Company Limited has published its 12th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=52222,0.0
"Jan 14, 2024",12th AGM Minutes - Hydroelectricity Investment and Development Company Limited (HIDCL),https://merolagani.com/AnnouncementDetail.aspx?id=52136,0.0
"Dec 24, 2023",Hydroelectricity Investment and Development Company Limited has published its 12th AGM along with annual financial statement of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=51827,0.0
"Dec 22, 2023","Hydroelectricity Investment and Development Company Limited has proclaimed its 12th AGM going to be held on Poush 29, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51768,0.0
"Dec 21, 2023",Declaration of 5.263% Cash Dividend - Hydroelectricity Investment and Development Company Limited (HIDCL),https://merolagani.com/AnnouncementDetail.aspx?id=51733,2.0
"Nov 11, 2023",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51015,0.0
"Aug 15, 2023",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49828,0.0
"Jul 12, 2023",Hydroelectricity Investment and Development Company Limited has published the company's activities along with future destination on its 12th anniversary.,https://merolagani.com/AnnouncementDetail.aspx?id=49244,0.0
"May 28, 2023","1,06,38,133.75 Units (5%) of Bonus Shares has been Listed in NEPSE - Hydroelectricity Investment and Development Company Limited (HIDCL)",https://merolagani.com/AnnouncementDetail.aspx?id=48786,2.0
"May 11, 2023",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48408,0.0
"Feb 12, 2023",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46745,0.0
"Jan 26, 2023",Hydroelectricity Investment and Development Company Limited has published its 11th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=46616,0.0
"Dec 28, 2022",Price Adjusted of Rs.177.14 for 5% Bonus Shares on previous closing price of Rs.186.00 - Hydroelectricity Investment and Development Company Limited (HIDCL),https://merolagani.com/AnnouncementDetail.aspx?id=46161,2.0
"Dec 20, 2022","Hydroelectricity Investment and Development Company Limited has proclaimed its 11th AGM going to be held on Poush 26, 2079 and has published its audited financial highlights of the fiscal year 2078/79",https://merolagani.com/AnnouncementDetail.aspx?id=45948,0.0
"Dec 15, 2022",Declaration of 5% Bonus Share and 0.263% Cash Dividend - Hydroelectricity Investment and Development Company Limited (HIDCL),https://merolagani.com/AnnouncementDetail.aspx?id=45866,2.0
"Nov 16, 2022",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45453,0.0
"Aug 15, 2022",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44217,0.0
"Jul 20, 2022","1,49,60,000.00 Units (8%) of Bonus Shares has been Listed in NEPSE - Hydroelectricity Investment and Development Company Limited (HIDCL)",https://merolagani.com/AnnouncementDetail.aspx?id=43907,2.0
"Jun 10, 2022",Hydroelectricity Investment and Development Company Limited has published a notice to its shareholders (Promoter/Ordinary) regarding different International Securities Identification Number (ISIN) received from CDS & Clearing Limited.,https://merolagani.com/AnnouncementDetail.aspx?id=43419,0.0
"May 10, 2022",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=43038,0.0
"Feb 11, 2022",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=42003,0.0
"Jan 13, 2022",Hydroelectricity Investment and Development Company Limited has published its 10th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=41548,0.0
"Dec 20, 2021",Adjusted Price of Rs.248.33 for 8% Bonus Share on previous closing price of Rs.268.20 - Hydroelectricity Investment and Development Company Limited (HIDCL),https://merolagani.com/AnnouncementDetail.aspx?id=41269,2.0
"Dec 12, 2021","Hydroelectricity Investment and Development Company Limited has proclaimed its 10th AGM going to be held on Poush 22, 2078 and has published its audited financial highlights of the fiscal year 2077/78",https://merolagani.com/AnnouncementDetail.aspx?id=41100,0.0
"Dec 06, 2021",10th AGM and Book Closure date Notice - Hydroelectricity Investment and Development Company Limited (HIDCL),https://merolagani.com/AnnouncementDetail.aspx?id=41052,0.0
"Nov 16, 2021",Hydroelectricity Investment and Development Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=40783,0.0
"Nov 11, 2021","7,70,00,000 Units of Right Share has been Listed in NEPSE - Hydorelectricity Investment and Development Company Limited (HIDCL)",https://merolagani.com/AnnouncementDetail.aspx?id=40655,2.0
"Nov 02, 2021",Proposed 8% Bonus Share and 0.421% Cash Dividend - Hydroelectricity Investment and Development Company Limited (HIDCL),https://merolagani.com/AnnouncementDetail.aspx?id=40597,2.0
"Oct 25, 2021","Hydroelectricity Investment and Development Company Limited has distributed its undistributed 1:1 ratio ordinary right share (32,29,724.00 units) to its shareholders on Kartik 07, 2078 and has refunded the payment to the non-allottee's bank account from Kartik 07, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=40429,2.0
"Oct 08, 2021","Hydroelectricity Investment and Development Company Limited has published a notice regarding a bid opening date of its 32,29,724.00 units ordinary right share shares to the general public on Ashwin 22, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=40243,1.0
"Sep 16, 2021","Hydroelectricity Investment and Development Company Limited is going to sell its 32,29,724.00 units ordinary right share in an auction to the general public starting from 7th - 14th Ashwin, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=40068,1.0
