date,headline,link,sentiment
"Aug 14, 2025",Himalayan Power Partner Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60996,0.0
"May 13, 2025",Himalayan Power Partner Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59748,0.0
"Feb 12, 2025",Himalayan Power Partner Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58566,0.0
"Feb 04, 2025",Himalayan Power Partner Limited has published its 12th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=58311,0.0
"Dec 23, 2024","Himalayan Power Partner Limited has proclaimed its 12th AGM going to be held on Poush 29, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56687,0.0
"Nov 15, 2024",Himalayan Power Partner Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=56016,0.0
"Nov 14, 2024",Declaration of 2:1 Ratio Right share - Himalayan Power Partner Limited (HPPL),https://merolagani.com/AnnouncementDetail.aspx?id=55898,2.0
"Aug 16, 2024",Himalayan Power Partner Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54949,0.0
"May 12, 2024",Himalayan Power Partner Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53753,0.0
"Mar 05, 2024",Himalayan Power Partner Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52956,0.0
"Jan 10, 2024",Completion of 11th AGM - Himalayan Power Partner Limited (HPPL),https://merolagani.com/AnnouncementDetail.aspx?id=52046,0.0
"Dec 18, 2023","Himalayan Power Partner Limited has proclaimed its 11th AGM going to be held on Poush 25, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51642,0.0
