date,headline,link,sentiment
"Sep 16, 2025","Himalayan Re-Insurance Limited has changed NMB Capital Limited and appointed Himalayan Investment Banker Limited as its share registrar starting from Ashwin 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61682,0.3
"Aug 19, 2025","46,80,000.00 Units (4.5%) of Bonus Share has been listed in NEPSE - Himalayan Reinsurance Limited (HRL)",https://merolagani.com/AnnouncementDetail.aspx?id=61263,2.0
"Aug 16, 2025",Himalayan Re-Insurance Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61212,0.0
"Jul 02, 2025",Minutes of Fourth Annual General Meeting - Himalayan Re-Insurance Limited (HRL),https://merolagani.com/AnnouncementDetail.aspx?id=60378,0.0
"May 22, 2025",Price Adjusted to Rs.933.69 for 4.5% Bonus Shares on previous closing price of Rs.975.71 - Himalayan Re-Insurance Limited (HRL),https://merolagani.com/AnnouncementDetail.aspx?id=59910,2.0
"May 16, 2025","Himalayan Re-Insurance Limited has proclaimed its 4th AGM going to be held on Jestha 25, 2082 and has published its annual financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=59876,0.0
"May 14, 2025",Himalayan Re-Insurance Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59843,0.0
"May 06, 2025",Declaration of 4.5% Bonus Share and 0.24% Cash Dividend - Himalayan Re-Insurance Limited (HRL),https://merolagani.com/AnnouncementDetail.aspx?id=59586,2.0
"Feb 12, 2025",Himalayan Re-Insurance Limited has published its unaudited financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58609,0.0
"Nov 15, 2024",Himalayan Re-Insurance Limited has published its unaudited financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55978,0.0
"Aug 14, 2024",Himalayan Re-Insurance Limited has published its unaudited financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54761,0.0
"Jun 11, 2024","Himalayan Re-Insurance Limited has issued a notice to the all investors/concerned stakeholders regarding the expiration of the lock-in period for its 15,00,000.00 units of shares (Mutual Fund) on 10th of Ashad, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54101,0.8
"May 12, 2024",Himalayan Re-Insurance Limited has published its unaudited financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53795,0.0
"May 05, 2024","40,00,000.00 Units (4%) of Bonus Share has been listed in NEPSE - Himalayan Reinsurance Limited (HRL)",https://merolagani.com/AnnouncementDetail.aspx?id=53600,2.0
"Mar 19, 2024",3rd AGM Minutes - Himalayan Re-Insurance Limited (HRL),https://merolagani.com/AnnouncementDetail.aspx?id=53102,0.0
"Mar 10, 2024",Himalayan Re-Insurance Limited has published its annual report of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=52988,0.0
"Feb 18, 2024",Price Adjusted of Rs.620.29 for 4% bonus shares on previous closing price of Rs.645.10 - Himalayan Re-Insurance Limited (HRL),https://merolagani.com/AnnouncementDetail.aspx?id=52798,2.0
"Feb 12, 2024",Himalayan Re-Insurance Limited has published its unaudited financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52682,0.0
"Feb 11, 2024","Himalayan Re-Insurance Limited has proclaimed its 3rd AGM going to be held on Falgun 20, 2080 and has published its annual financial statement of the fiscal year 2079/80",https://merolagani.com/AnnouncementDetail.aspx?id=52599,0.0
"Feb 09, 2024",Declaration of 4% Bonus Share and 0.21% Cash Dividend - Himalayan Reinsurance Limited (HRL),https://merolagani.com/AnnouncementDetail.aspx?id=52567,2.0
