date,headline,link,sentiment
"Aug 15, 2025",I.M.E. Life Insurance Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61079,0.0
"May 04, 2025",I.M.E. Life Insurance Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59555,0.0
"Apr 06, 2025",IME Life Insurance Company Limited has published its 8th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=59195,0.0
"Apr 02, 2025",8th AGM Minutes - IME Life Insurance Company Limited (ILI),https://merolagani.com/AnnouncementDetail.aspx?id=59177,0.0
"Feb 15, 2025","IME Life Insurance Company Limited has proclaimed its 8th AGM going to be held on Falgun 25, 2081 and has published its annual financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=58652,0.0
"Feb 12, 2025",Declaration of 21.05264% Cash Dividend - I.M.E. Life Insurance Company Limited (ILI),https://merolagani.com/AnnouncementDetail.aspx?id=58629,2.0
"Jan 29, 2025",I.M.E. Life Insurance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58262,0.0
"Jan 15, 2025",I.M.E. Life Insurance Company Limited has published a notice a notice to the claimants requesting to submit the necessary documents regarding the Insurance claim payment within the given timeframe.,https://merolagani.com/AnnouncementDetail.aspx?id=56950,0.0
"Jan 14, 2025",IME Life Insurance Company Limited has published a notice regarding a new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=56985,0.0
"Nov 14, 2024",I.M.E. Life Insurance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55887,0.0
"Aug 14, 2024",IME Life Insurance Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54792,0.0
"Aug 11, 2024","1,00,00,000.00 Units (25%) of Bonus Share has been listed in NEPSE - IME Life Insurance Company Limited (ILI)",https://merolagani.com/AnnouncementDetail.aspx?id=54691,2.0
"Jul 12, 2024","IME Life Insurance Company Limited has published a notice to the shareholders regarding the minutes of its 7th AGM, which are available on the company's official website.",https://merolagani.com/AnnouncementDetail.aspx?id=54383,0.0
"Jun 24, 2024",7th AGM Minutes - IME Life Insurance Company Limited (ILI),https://merolagani.com/AnnouncementDetail.aspx?id=54243,0.0
"May 26, 2024",Price Adjusted of Rs.448.00 for 25% bonus shares on previous closing price of Rs.560.00 - IME Life Insurance Company Limited (ILI),https://merolagani.com/AnnouncementDetail.aspx?id=53991,2.0
"May 17, 2024","IME Life Insurance Company Limited has proclaimed its 7th AGM going to be held on Jestha 28, 2081 and has published its annual financial statement of the fiscal year 2079/80",https://merolagani.com/AnnouncementDetail.aspx?id=53915,0.0
"May 05, 2024",Amendment on Dividend (25% Bonus Share and 1.3158% Cash Dividend) - IME Life Insurance Company Limited (ILI),https://merolagani.com/AnnouncementDetail.aspx?id=53599,2.0
"May 02, 2024",Declaration of 25% Bonus Share and 9.5% Cash Dividend - IME Life Insurance Company Limited (ILI),https://merolagani.com/AnnouncementDetail.aspx?id=53570,2.0
"Apr 29, 2024",IME Life Insurance Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53542,0.0
"Jan 28, 2024",IME Life Insurance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52381,0.0
"Jan 14, 2024",Information Regarding Extension of AGM Timeline of the Company - IME Life Insurance Company Limited (ILI),https://merolagani.com/AnnouncementDetail.aspx?id=52138,0.0
"Jan 11, 2024",IME Life Insurance Company Limited has published a notice regarding a new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=52051,0.0
"Dec 25, 2023",IME Life Insurance Company Limited has published a notice regarding claim-over on lost insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=51850,0.0
"Nov 10, 2023",I.M.E. Life Insurance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51053,0.0
"Aug 15, 2023",I.M.E. Life Insurance Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49811,0.0
"Aug 03, 2023","Listing of 4,00,000,00.00 Units IPO Shares. The open price range is set as Rs. 176.53 to Rs. 529.59 for the first transactions - I.M.E. Life Insurance Company Limited (ILI)",https://merolagani.com/AnnouncementDetail.aspx?id=49572,1.8
"Aug 03, 2023",IME Life Insurance Company Limited has appointed Global IME Capital Market Limited as its share registrar.,https://merolagani.com/AnnouncementDetail.aspx?id=49564,0.3
"Jul 16, 2023","IME Life Insurance Company Limited has distributed its 96,00,000.00 units of premium IPO shares to the general public on Ashad 30, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49334,2.0
"Jul 10, 2023","IME Life Insurance Company Limited is going to close its 96,00,000.00 units of premium IPO shares to the general public from today, Ashad 25, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49228,1.0
"Jul 06, 2023","IME Life Insurance Company Limited is going to open its 96,00,000.00 units of premium IPO shares to the general public starting from today, Ashad 21, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49199,1.0
"Jul 05, 2023","IME Life Insurance Company Limited has distributed its 12,00,000.00 units of premium IPO shares to the foreign employment citizens of Nepal on Ashad 19, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49184,2.0
"Jul 05, 2023","IME Life Insurance Company Limited is going to re-issue its 96,00,000.00 units of premium IPO shares to the general public starting from 21st - 25th Ashad, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49183,1.8
"Jul 05, 2023","IME Life Insurance Company Limited has changed the opening date of its 96,00,000.00 units of premium IPO shares to the general public on Ashad 21, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49182,1.0
"Jun 30, 2023","IME Life Insurance Company Limited is going to close its 12,00,000.00 units of premium IPO shares to the foreign employment citizens of Nepal from today, Ashad 15, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49146,1.0
"Jun 16, 2023","IME Life Insurance Company Limited is going to open its 12,00,000.00 units of premium IPO shares to the foreign employment citizens of Nepal starting from today, Ashad 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48998,1.0
"Jun 09, 2023","IME Life Insurance Company Limited is going to issue its 96,00,000.00 units of premium IPO shares to the general public starting from 20th - 24th Ashad, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48896,1.8
"Jun 09, 2023","IME Life Insurance Company Limited is going to issue its 12,00,000.00 units of premium IPO shares to the foreign employment citizens of Nepal starting from 1st - 15th Ashad, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48895,1.8
"May 03, 2023",IME Life Insurance Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48260,0.0
"Feb 27, 2023","IME Life Insurance Company Limited has proclaimed its 6th AGM going to be held on Chaitra 06, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47308,0.0
"Feb 12, 2023",IME Life Insurance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=47074,0.0
"Jan 28, 2023",IME Life Insurance Company Limited has published a notice regarding new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=46674,0.0
"Nov 22, 2022","IME Life Insurance Company Limited has extended the date to deposit additional 100% share payment to its promoter shareholders till Mangsir 20, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45517,0.0
"Nov 16, 2022",IME Life Insurance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45393,0.0
"Oct 18, 2022","IME Life Insurance Company Limited has published a notice to its promoter shareholders to deposit additional 100% share payment till Mangsir 05, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45010,0.0
"Sep 18, 2022","IME Life Insurance Company Limited has proclaimed its 5th AGM going to be held on Ashwin 26, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=44711,0.0
"Aug 16, 2022",IME Life Insurance Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44165,0.0
"Aug 01, 2022",IME Life Insurance Company Limited has published a notice regarding new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=44072,0.0
"May 11, 2022",IME Life Insurance Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=43080,0.0
"Apr 06, 2022","IME Life Insurance Company Limited has proclaimed its 4th AGM going to be held on Baishakh 14, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=42616,0.0
"Feb 12, 2022",IME Life Insurance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=42102,0.0
"Jan 24, 2022",IME Life Insurance Company Limited has published a notice regarding new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=41745,0.0
"Nov 16, 2021",IME Life Insurance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=40821,0.0
"Aug 16, 2021",IME Life Insurance Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=39704,0.0
"May 24, 2021","IME Life Insurance Company Limited has proclaimed its 3rd AGM going to be held on Jestha 31, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=38851,0.0
"May 03, 2021",IME Life Insurance Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38572,0.0
"Feb 22, 2021",IME Life Insurance Company Limited has published a notice regarding new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=37829,0.0
"Feb 02, 2021",IME Life Insurance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=37540,0.0
"Nov 13, 2020",IME Life Insurance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=37563,0.0
"Aug 16, 2020",IME Life Insurance Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=36101,0.0
"Feb 12, 2020",IME Life Insurance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34962,0.0
