date,headline,link,sentiment
"Aug 12, 2025",Kalika Power Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60914,0.0
"Jul 21, 2025","6,10,995.00 Units (7%) of Bonus Share has been listed in NEPSE - Kalika power Company Limited (KPCL)",https://merolagani.com/AnnouncementDetail.aspx?id=60597,2.0
"Jul 17, 2025",17th AGM Minutes - Kalika Power Company Limited (KPCL),https://merolagani.com/AnnouncementDetail.aspx?id=60552,0.0
"Jul 17, 2025",16th AGM Minutes - Kalika Power Company Limited (KPCL),https://merolagani.com/AnnouncementDetail.aspx?id=60551,0.0
"May 13, 2025",Kalika Power Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59746,0.0
"Feb 12, 2025",Kalika Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58564,0.0
"Jan 02, 2025",Price Adjusted to Rs.503.74 for 7% Bonus shares on previous closing price of Rs.539.00 - Kalika power Company Limited (KPCL),https://merolagani.com/AnnouncementDetail.aspx?id=56846,2.0
"Dec 23, 2024","Kalika Power Company Limited has proclaimed its AGM going to be held on Poush 29, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56686,0.0
"Nov 14, 2024",Kalika Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55856,0.0
"Aug 14, 2024",Kalika Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54819,0.0
"May 27, 2024","7,93,500.00 Units (10%) of Bonus Share has been listed in NEPSE - Kalika Power Company Limited (KPCL)",https://merolagani.com/AnnouncementDetail.aspx?id=54013,2.0
"May 08, 2024",Kalika Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53659,0.0
"Feb 12, 2024",Kalika Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52666,0.0
"Feb 11, 2024",16th AGM Minutes - Kalika Power Company Limited (KPCL),https://merolagani.com/AnnouncementDetail.aspx?id=52613,0.0
"Jan 02, 2024",Price Adjusted of Rs.334.55 for 10% bonus shares on previous closing price of Rs.368.00 - Kalika Power Company Limited (KPCL),https://merolagani.com/AnnouncementDetail.aspx?id=51968,2.0
"Dec 23, 2023","Kalika Power Company Limited has proclaimed its AGM going to be held on Poush 28, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51819,0.0
"Nov 10, 2023",Kalika Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51104,0.0
"Oct 10, 2023",SGM Minutes - Kalika Power Company Limited (KPCL),https://merolagani.com/AnnouncementDetail.aspx?id=50584,0.0
"Sep 26, 2023","Kalika Power Company Limited has re-published its SGM (Revised) going to be held on Ashwin 13, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=25711,0.0
"Sep 17, 2023",Kalika Power Company Limited has made correction on a book closure date its upcoming SGM.,https://merolagani.com/AnnouncementDetail.aspx?id=50373,-1.0
"Sep 15, 2023","Kalika Power Company Limited has proclaimed its SGM going to be held on Ashwin 13, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50315,0.0
"Aug 17, 2023",Kalika Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=50016,0.0
"Jun 06, 2023","10,35,000.00 Units (15%) of Bonus Shares has been Listed in NEPSE - Kalika Power Company Limited (KPCL)",https://merolagani.com/AnnouncementDetail.aspx?id=48865,2.0
"May 12, 2023",Kalika Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48443,0.0
"Feb 10, 2023",15th AGM Meeting Minutes - Kalika Power Company Limited (KPCL),https://merolagani.com/AnnouncementDetail.aspx?id=47012,0.0
"Feb 10, 2023",Kalika Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46929,0.0
"Dec 29, 2022",Price Adjusted of Rs.335.13 for 15% Bonus Shares on previous closing price of Rs.385.40 - Kalika power Company Limited (KPCL),https://merolagani.com/AnnouncementDetail.aspx?id=46191,2.0
"Dec 26, 2022",Transactions Release - Kalika Power Company Limited (KPCL),https://merolagani.com/AnnouncementDetail.aspx?id=46115,0.0
"Dec 22, 2022",Transactions Suspended - Kalika Power Company Limited (KPCL),https://merolagani.com/AnnouncementDetail.aspx?id=46033,-2.0
"Dec 22, 2022","Kalika Power Company Limited has proclaimed its AGM going to be held on Poush 29, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45988,0.0
"Nov 16, 2022",Kalika Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45429,0.0
"Aug 16, 2022",Kalika Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44378,0.0
"Jul 27, 2022","9,00,000.00 Units (15%) of Bonus Shares has been Listed in NEPSE - Kalika Power Company Limited (KPCL)",https://merolagani.com/AnnouncementDetail.aspx?id=43962,2.0
"May 12, 2022",Kalika Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=43120,0.0
"Feb 10, 2022",Kalika Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41978,0.0
"Jan 03, 2022",Adjusted Price of Rs.450.43 for 15% Bonus Share on previous closing price of Rs.518.00 - Kalika power Company Limited (KPCL),https://merolagani.com/AnnouncementDetail.aspx?id=41472,2.0
"Dec 24, 2021","Kalika Power Company Limited has proclaimed its AGM going to be held on Poush 30, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=41341,0.0
"Nov 15, 2021",Kalika Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=40690,0.0
"Aug 16, 2021",Kalika Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=39716,0.0
