date,headline,link,sentiment
"Aug 15, 2025",Life Insurance Corporation (Nepal) Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61115,0.0
"Aug 14, 2025",23rd AGM Minutes - Life Insurance Corporation (Nepal) Limited (LICN),https://merolagani.com/AnnouncementDetail.aspx?id=61028,0.0
"Jul 04, 2025",Life Insurance Corporation (Nepal) Limited has published a notice requesting its shareholders and investors to claim their unclaimed 35.53% cash dividends from the fiscal year 2074/75 onwards.,https://merolagani.com/AnnouncementDetail.aspx?id=29940,2.0
"Jul 04, 2025","Life Insurance Corporation (Nepal) Limited has published a notice requesting all valued policyholders to promptly submit their bank account details to ensure timely payment of claims through the online payment system and has also urged remaining policyholders to collect any unclaimed paid-up, survival benefit and maturity benefit claims.",https://merolagani.com/AnnouncementDetail.aspx?id=29781,0.0
"Jun 30, 2025",Price Adjusted to Rs.825.78 for 10% Bonus Shares on previous closing price of Rs.908.36 - Life Insurance Corporation (Nepal) Limited (LICN),https://merolagani.com/AnnouncementDetail.aspx?id=60361,2.0
"Jun 19, 2025","Life Insurance Corporation (Nepal) Limited has proclaimed its 23rd AGM going to be held on Ashad 30, 2082 and has published its annual financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=60225,0.0
"May 15, 2025","11,73,400.00 Units of Promoter Shares has been converted into Public Shares - Life Insurance Corporation (Nepal) Limited (LICN)",https://merolagani.com/AnnouncementDetail.aspx?id=59874,0.0
"May 15, 2025",Declaration of 10% Bonus Share and 0.526% Cash Dividend - Life Insurance Corporation (Nepal) Limited (LICN),https://merolagani.com/AnnouncementDetail.aspx?id=59869,2.0
"May 12, 2025",Life Insurance Corporation (Nepal) Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59724,0.0
"Apr 02, 2025",Life Insurance Corporation (Nepal) Limited has published a notice regarding a new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=59167,0.0
"Mar 17, 2025","Life Insurance Corporation (Nepal) Limited has distributed its 1:0.8845168 ratio right shares (2,34,68,000.00 units @ Rs.100.00 per unit) directly to the demat accounts of its shareholders and has provided information regarding the listing of these right shares.",https://merolagani.com/AnnouncementDetail.aspx?id=58984,2.0
"Mar 16, 2025","2,34,68,000.00 Units (88.45168%) of Right Share has been listed in NEPSE - Life Insurance Corporation (Nepal) Limited (LICN)",https://merolagani.com/AnnouncementDetail.aspx?id=58985,2.0
"Mar 06, 2025","Life Insurance Corporation (Nepal) Limited has re-distributed its 4,92,577.00 units unsold ordinary right shares to the interested whoever person, company, association, institutions on Falgun 21, 2081 and is going to refund the payment process to the non-allottees bank accounts, the final cut-off price per share is Rs.961.50",https://merolagani.com/AnnouncementDetail.aspx?id=58834,2.0
"Feb 28, 2025","Life Insurance Corporation (Nepal) Limited has distributed its 4,92,577.00 units unsold ordinary right shares to the interested whoever person, company, association, institutions on Falgun 15, 2081 and is going to refund the payment to the non-allottees bank account starting from Falgun 19, 2081, the final cut-off price per share is Rs.1,022.00",https://merolagani.com/AnnouncementDetail.aspx?id=58786,2.0
"Feb 23, 2025","Life Insurance Corporation (Nepal) Limited has published a notice regarding a bid opening date of its 4,92,577.00 units unsold ordinary right shares to the interested whoever person, company, association, institutions starting from tomorrow, Falgun 12, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58709,0.5
"Feb 18, 2025","""Sanima Equity Fund"" operated by Sanima Capital Limited is going to sell 1.00-unit non-listed bonus/right share of Life Insurance Corporation (Nepal) Limited in an auction to the interested person, firm, company, associations/institutions starting from 6th - 12th Falgun, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58662,1.8
"Feb 12, 2025","13,26,600.00 Units of Promoter Share has been converted into Public Shares - Life Insurance Corporation (Nepal) Limited (LICN)",https://merolagani.com/AnnouncementDetail.aspx?id=58630,0.0
"Feb 11, 2025",Life Insurance Corporation (Nepal) Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58486,0.0
"Feb 02, 2025","Life Insurance Corporation (Nepal) Limited has published a notice regarding its 4,92,577.00 units unsold ordinary right shares to be sold through auction to the interested whoever person, company, association, institutions and has also listed the application forms collection/payment deposit centers.",https://merolagani.com/AnnouncementDetail.aspx?id=58277,1.3
"Jan 27, 2025","Life Insurance Corporation (Nepal) Limited is going to sell its 4,92,577.00 units ordinary right shares in an auction to the interested whoever person, company, association, institutions starting from 21st Magh - 5th Falgun, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58214,1.0
"Jan 21, 2025","Life Insurance Corporation (Nepal) Limited has distributed its 1:0.8845168 ratio right share (2,34,68,220.00 units @ Rs.100.00 per unit) to its shareholders on Magh 07, 2081 and is going to transfer the payment to the non-allottees bank account starting from Magh 10, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58123,2.0
"Jan 01, 2025","Life Insurance Corporation (Nepal) Limited is going to close its 1:0.8845168 ratio right share (2,34,68,220.00 units @ Rs.100.00 per unit) to its shareholders from today, Poush 17, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56831,1.0
"Dec 17, 2024","Life Insurance Corporation (Nepal) Limited has extended its 1:0.8845168 ratio right share (2,34,68,220.00 units @ Rs.100.00 per unit) to its shareholders till Poush 17, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56454,1.0
"Dec 10, 2024","Life Insurance Corporation (Nepal) Limited has re-published a notice regarding the submission of its ongoing 1:0.8845168 ratio right share (2,34,68,220.00 units @ Rs.100.00 per unit) with the deadline set for Poush 02, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56292,1.0
"Dec 03, 2024","Life Insurance Corporation (Nepal) Limited has published a notice regarding the submission of its ongoing 1:0.8845168 ratio right share (2,34,68,220.00 units @ Rs.100.00 per unit) with the deadline set for Poush 02, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56224,1.0
"Nov 27, 2024","Life Insurance Corporation (Nepal) Limited is going to open its 1:0.8845168 ratio right share (2,34,68,220.00 units @ Rs.100.00 per unit) to its shareholders starting from today, Mangsir 12, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56152,1.0
"Nov 26, 2024","Life Insurance Corporation (Nepal) Limited is going to open its 1:0.8845168 ratio right share (2,34,68,220.00 units @ Rs.100.00 per unit) to its shareholders starting from tomorrow Mangsir 12, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56133,1.0
"Nov 16, 2024",Life Insurance Corporation (Nepal) Limited has listed the application collection/payment deposit centres for its upcoming 1:0.8845168 ratio right share.,https://merolagani.com/AnnouncementDetail.aspx?id=55926,1.8
