date,headline,link,sentiment
"Oct 16, 2025",Declaration of 10% Cash Dividend - Miteri Development Bank Limited (MDB),https://merolagani.com/AnnouncementDetail.aspx?id=61980,2.0
"Aug 10, 2025",Miteri Development Bank Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60885,0.0
"Apr 16, 2025",Miteri Development Bank Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59320,0.0
"Mar 30, 2025","10,56,734.26 Units (9.5079%) of Bonus Share has been listed in NEPSE - Miteri Development Bank Limited (MDB)",https://merolagani.com/AnnouncementDetail.aspx?id=59148,2.0
"Jan 21, 2025",Miteri Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58118,0.0
"Jan 12, 2025",Minutes of 19th Annual General Meeting - Miteri Development Bank Limited (MDB),https://merolagani.com/AnnouncementDetail.aspx?id=56927,0.0
"Dec 29, 2024",Price Adjusted to Rs.635.39 for 9.5079% Bonus Shares on previous closing price of Rs.695.80 - Miteri Development Bank Limited (MDB),https://merolagani.com/AnnouncementDetail.aspx?id=56792,2.0
"Dec 20, 2024","Miteri Development Bank Limited has proclaimed its 19th AGM going to be held on Poush 27, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56566,0.0
"Nov 24, 2024",Declaration of 9.5079% Bonus Shares and 0.5004% Cash Dividend - Miteri Development Bank Limited (MDB),https://merolagani.com/AnnouncementDetail.aspx?id=56110,2.0
"Oct 23, 2024",Miteri Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55593,0.0
"Aug 05, 2024",Miteri Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54583,0.0
"Apr 19, 2024",Miteri Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53394,0.0
"Feb 27, 2024",Miteri Development Bank Limited has distributed 9.5% bonus share directly to the demat account of its shareholders and urged them to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=52881,2.0
"Feb 22, 2024","9,64,251.365 Units (9.50%) of Bonus Shares has been listed in NEPSE- Miteri Development Bank Limited (MDB)",https://merolagani.com/AnnouncementDetail.aspx?id=52819,2.0
"Jan 22, 2024",Miteri Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52243,0.0
"Jan 01, 2024",18th AGM Minutes - Miteri Development Bank Limited (MDB),https://merolagani.com/AnnouncementDetail.aspx?id=51954,0.0
"Dec 13, 2023",Price Adjusted of Rs.390.87 for 9.50% bonus shares on previous closing price of Rs.428.00 - Miteri Development Bank Limited (MDB),https://merolagani.com/AnnouncementDetail.aspx?id=51516,2.0
"Dec 10, 2023","Miteri Development Bank Limited has re-published its 18th AGM going to be held on Poush 14, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51448,0.0
"Dec 07, 2023",Miteri Development Bank Limited has published a notice regarding correction on its upcoming 18th AGM.,https://merolagani.com/AnnouncementDetail.aspx?id=51426,-0.5
"Dec 06, 2023","Miteri Development Bank Limited has proclaimed its 18th AGM going to be held on Poush 14, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51416,0.0
"Nov 09, 2023",Declaration of 9.5% Bonus Shares and 0.5% Cash Dividend - Miteri Development Bank Limited (MDB),https://merolagani.com/AnnouncementDetail.aspx?id=50965,2.0
"Nov 03, 2023",Miteri Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=50866,0.0
"Aug 05, 2023",Miteri Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49618,0.0
"May 23, 2023",Miteri Development Bank Limited has distributed 12.35% bonus share directly to the demat account of its shareholders and has urged to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=48698,2.0
"May 18, 2023","11,15,733.6648 Units (12.35%) of Bonus Shares has been Listed in NEPSE - Miteri Development Bank Limited (MDB)",https://merolagani.com/AnnouncementDetail.aspx?id=48649,2.0
"Apr 20, 2023",Miteri Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48064,0.0
"Jan 21, 2023",Miteri Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46534,0.0
"Dec 28, 2022",Price Adjusted of Rs.364.93 for 12.35% Bonus Shares on previous closing price of Rs.410.00 - Miteri Development Bank Limited (MDB),https://merolagani.com/AnnouncementDetail.aspx?id=46158,2.0
"Dec 21, 2022","Miteri Development Bank Limited has proclaimed its 17th AGM going to be held on Poush 27, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45963,0.0
"Dec 05, 2022",Proposed 12.35% Bonus Share and 0.65% Cash Dividend - Miteri Development Bank Limited (MDB),https://merolagani.com/AnnouncementDetail.aspx?id=45679,2.0
"Oct 24, 2022",Miteri Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45080,0.0
"Aug 05, 2022",Miteri Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44044,0.0
"Apr 20, 2022",Miteri Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=42802,0.0
"Feb 25, 2022",Miteri Development Bank Limited has deposited 13.3% bonus share directly to the demat account of its shareholders and has urged to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=42277,2.0
"Feb 23, 2022","10,60,511.33 Units (13.30%) of Bonus Shares has been listed in NEPSE - Miteri Development Bank Limited (MDB)",https://merolagani.com/AnnouncementDetail.aspx?id=42228,2.0
"Jan 21, 2022",Miteri Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41715,0.0
"Dec 29, 2021",Adjusted Price of Rs.443.07 for 13.30% Bonus Share on previous closing price of Rs.502.00 - Miteri Development Bank Limited (MDB),https://merolagani.com/AnnouncementDetail.aspx?id=41431,2.0
"Dec 22, 2021","Miteri Development Bank Limited has proclaimed its 16th AGM going to be held on Poush 28, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=41291,0.0
"Dec 09, 2021",Declaration of 13.3% Bonus Share and 0.7% Cash Dividend - Miteri Development Bank Limited (MDB),https://merolagani.com/AnnouncementDetail.aspx?id=41081,2.0
"Nov 01, 2021",Miteri Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=40544,0.0
"Aug 16, 2021",Miteri Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=39625,0.0
"May 06, 2021",Miteri Development Bank Limited has published a notice regarding uncollected due cash dividends to collect and has urged its shareholders to collect within given time frame.,https://merolagani.com/AnnouncementDetail.aspx?id=38608,1.0
"Apr 28, 2021",Miteri Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38506,0.0
"Feb 16, 2021",Miteri Development Bank Limited is distributing 15% bonus share directly to the DEMAT accounts and has urged its shareholders to dematerialized their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=37795,2.0
"Feb 11, 2021","Miteri Development Bank Limited (MDB) - (15%) 10,40,056.875 Units of Bonus Share has been Listed in NEPSE.",https://merolagani.com/AnnouncementDetail.aspx?id=37685,2.0
"Jan 28, 2021",Miteri Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=37475,0.0
"Dec 29, 2020",Miteri Development Bank Limited (MDB) - Price Adjusted of Rs.337 for 15% Bonus Shares on previous closing price of Rs. 387,https://merolagani.com/AnnouncementDetail.aspx?id=37153,2.0
"Dec 20, 2020","Miteri Development Bank Limited proclaim its 15th AGM going to be held on Poush 27, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=36975,0.0
"Dec 06, 2020",MITERI Development Bank Limited (MDB) - Proposed 15% bonus share and 0.79% cash dividend,https://merolagani.com/AnnouncementDetail.aspx?id=36820,2.0
"Nov 15, 2020",Miteri Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2077/78.,https://merolagani.com/AnnouncementDetail.aspx?id=36674,0.0
"Aug 14, 2020",Miteri Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=36039,0.0
"Jul 19, 2020",Miteri Development Bank Limited is distributing 18.525% bonus share directly to the DMAT account and urges its shareholders to dematerialized their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=35794,2.0
"May 20, 2020","Miteri Development Bank Limited published a notice regarding the interest rate which is going to be effective from Jestha 07, 2077.",https://merolagani.com/AnnouncementDetail.aspx?id=35537,0.0
"May 04, 2020",Miteri Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=35355,0.0
"Mar 10, 2020",Miteri Development Bank Limited (MDB) - Adjusted Price by 18.525% Bonus Shares.,https://merolagani.com/AnnouncementDetail.aspx?id=35116,2.0
"Feb 28, 2020","Miteri Development Bank Limited proclaim its 14th AGM going to be held on Chaitra 08, 2076.",https://merolagani.com/AnnouncementDetail.aspx?id=35072,0.0
"Jan 26, 2020",Miteri Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34707,0.0
"Nov 16, 2019",Miteri Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34100,0.0
"Aug 14, 2019",Miteri Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=33262,0.0
"Aug 04, 2019",Miteri Development Bank Limited is distributing 17% bonus share directly to the DMAT account and urges its shareholders to dematerialized their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=33170,2.0
"May 01, 2019",Miteri Development Bank Limited have published annual report from the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=32773,0.0
"Apr 26, 2019",Miteri Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=32349,0.0
"Apr 09, 2019",Miteri Development Bank Limited has published its 13th AGM (minute) and has published a financial statement of the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=32178,0.0
"Feb 27, 2019",Miteri Development Bank Limited (MDB) - Adjusted price.,https://merolagani.com/AnnouncementDetail.aspx?id=31951,0.0
"Feb 18, 2019","Miteri Development Bank Limited proclaim its 13th AGM going to be held on Chaitra 09, 2075",https://merolagani.com/AnnouncementDetail.aspx?id=31870,0.0
"Jan 29, 2019",Miteri Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=31593,0.0
"Oct 25, 2018",Miteri Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=30577,0.0
"Sep 20, 2018",Miteri Development Bank Limited ( MDB ) is going to distribute 17% bonus share and 0.8947% cash dividend to its shareholders upon the approval of its upcoming AGM.,https://merolagani.com/AnnouncementDetail.aspx?id=30335,2.0
"Sep 20, 2018",Miteri Development Bank Limited proposed to distribute 17% bonus share to its shareholders.,https://merolagani.com/AnnouncementDetail.aspx?id=30332,2.0
"Jul 31, 2018",Miteri Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2074/75,https://merolagani.com/AnnouncementDetail.aspx?id=29436,0.0
"May 25, 2018",Miteri Development Bank Limited is distributing 31.478% bonus share directly to DEMAT accounts of its shareholders and has urged to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=28618,2.0
