date,headline,link,sentiment
"Sep 26, 2025","Manjushree Financial Limited has notified that its 18th AGM is scheduled for Ashwin 31, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61817,0.0
"Sep 23, 2025",Declaration of 15% Cash Dividend - Manjushree Finance Limited (MFIL),https://merolagani.com/AnnouncementDetail.aspx?id=61754,2.0
"Sep 16, 2025","Manjushree Finance Limited has published a notice regarding a new interest rate on deposit which is going to be effective from Ashwin 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61638,0.0
"Aug 16, 2025","Manjushree Finance Limited has published a notice regarding a new interest rate on deposit, loans and advances which is going to be effective from Bhadra 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61159,0.0
"Aug 11, 2025",Manjushree Finance Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60888,0.0
"Jul 16, 2025","Manjushree Finance Limited has published a notice regarding a new interest rate on deposit which is going to be effective from Shrawan 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60494,0.0
"Jun 26, 2025","Manjushree Finance Limited has published a notice regarding a new interest rate on new deposit schemes which is going to be effective for the month of Ashad, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60310,0.0
"Jun 14, 2025","Manjushree Finance Limited has published a notice regarding a new interest rate on deposit, Loans and advances which will remain same as of previous month ""Jestha"" and is going to be effective for the month of Ashad, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60130,0.0
"May 14, 2025","Manjushree Finance Limited has published a notice regarding a new interest rate on deposit, Loans and advances which will remain same as of previous month Baishakh and is going to be effective for the month of Jestha, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59799,0.0
"Apr 20, 2025",Manjushree Finance Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59353,0.0
"Apr 13, 2025","Manjushree Finance Limited has published a notice regarding a new interest rate on deposit, Loans and advances which is going to be effective from Baishakh 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59251,0.0
"Mar 13, 2025","Manjushree Finance Limited has published a notice regarding a new interest rate on deposit, Loans and advances which is going to be effective from Chaitra 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58907,0.0
"Feb 12, 2025","Manjushree Finance Limited has published a notice regarding new interest rate on fixed deposit and beside the other rates which will remain the same as of previous month ""Magh"" and is going to be effective for the month of Falgun, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58508,0.0
"Jan 20, 2025",Manjushree Finance Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58054,0.0
"Jan 19, 2025",17th AGM Minutes - Manjushree Finance Limited (MFIL),https://merolagani.com/AnnouncementDetail.aspx?id=58040,0.0
"Jan 13, 2025","Manjushree Finance Limited has published a notice regarding new interest rate on deposit and beside the other rates which will remain the same as of previous month ""Poush"" and is going to be effective for the month of Magh, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56934,0.0
"Dec 19, 2024","Manjushree Financial Limited has proclaimed its 17th AGM going to be held on Poush 28, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56533,0.0
"Dec 15, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which will be effective from Poush 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56369,0.0
"Dec 09, 2024",Declaration of 6.35% Cash Dividend - Manjushree Finance Limited (MFIL),https://merolagani.com/AnnouncementDetail.aspx?id=56284,2.0
"Nov 15, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which will remain the same as of previous month ""Ashwin"" and is going to be effective from Mangsir 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55906,0.0
"Oct 23, 2024",Manjushree Finance Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55578,0.0
"Oct 16, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Kartik 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55477,0.0
"Sep 16, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Ashwin 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55180,0.0
"Aug 16, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Bhadra 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54898,0.0
"Aug 05, 2024",Manjushree Finance Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54568,0.0
"Jul 15, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Shrawan 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54396,0.0
"Jun 14, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Ashad 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54127,0.0
"May 13, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Jestha 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53810,0.0
"Apr 19, 2024",Manjushree Finance Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53379,0.0
"Apr 12, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Baishakh 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53294,0.0
"Mar 13, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Chaitra 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=53011,0.0
"Feb 12, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Falgun 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52623,0.0
"Jan 30, 2024",16th AGM Minutes - Manjushree Finance Limited (MFIL),https://merolagani.com/AnnouncementDetail.aspx?id=52414,0.0
"Jan 22, 2024",Manjushree Finance Limited is going to distribute 5.263% cash dividend directly to the bank account of its shareholders and has urged them to dematerialize their accounts.,https://merolagani.com/AnnouncementDetail.aspx?id=52285,2.0
"Jan 21, 2024",Manjushree Finance Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52230,0.0
"Jan 14, 2024","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Magh 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52075,0.0
"Dec 20, 2023","Manjushree Financial Limited has proclaimed its 16th AGM going to be held on Poush 25, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51689,0.0
"Dec 19, 2023",16th AGM and a Book Closure Date - Manjushree Finance Limited (MFIL),https://merolagani.com/AnnouncementDetail.aspx?id=51679,0.0
"Dec 16, 2023","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Poush 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51563,0.0
"Dec 01, 2023",Declaration of 5.263% Cash Dividend - Manjushree Finance Limited (MFIL),https://merolagani.com/AnnouncementDetail.aspx?id=51384,2.0
"Nov 16, 2023","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Mangsir 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51153,0.0
"Nov 03, 2023",Manjushree Finance Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=50851,0.0
"Oct 17, 2023","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Kartik 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50630,0.0
"Sep 17, 2023","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Ashwin 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50326,0.0
"Aug 17, 2023","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Bhadra 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49819,0.0
"Aug 06, 2023",Manjushree Finance Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49604,0.0
"Jul 16, 2023","Manjushree Finance Limited has published a notice regarding new interest rate on saving accounts, deposits, loans & advances which is going to be effective from Shrawan 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49289,0.0
"Apr 20, 2023",Manjushree Finance Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48080,0.0
"Apr 13, 2023","Manjushree Finance Limited has published a notice regarding new interest rate on deposits, loans and advances which is going to be effective from Baishakh 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=47958,0.0
