date,headline,link,sentiment
"Aug 16, 2025",National Hydro Power Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61214,0.0
"May 13, 2025",National Hydro Power Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59739,0.0
"Feb 12, 2025",National Hydro Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58562,0.0
"Nov 22, 2024","National Hydro Power Company Limited has appointed Muktinath Capital Limited as its share registrar starting from Mangsir 16, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56093,0.3
"Nov 19, 2024","National Hydropower Company Limited has proclaimed its 27th and 28th AGM going to be held on Mangsir 28, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56071,0.0
"Nov 13, 2024",National Hydro Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55834,0.0
"Aug 17, 2024",National Hydro Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54849,0.0
"Apr 26, 2024",National Hydro Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53525,0.0
"Feb 26, 2024","National Hydropower Company Limited has again re-scheduled its postponed 27th AGM going to be held on Falgun 30, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52868,-1.0
"Feb 02, 2024",National Hydro Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52444,0.0
"Dec 10, 2023","National Hydropower Company Limited has re-scheduled its postponed 27th AGM going to be held on Poush 06, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51451,-1.0
"Nov 10, 2023","National Hydropower Company Limited has proclaimed its 27th AGM going to be held on Mangsir 22, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51129,0.0
"Nov 07, 2023",National Hydro Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=50928,0.0
"Oct 19, 2023","82,21,459.7178 Units (50%) of Right Shares has been listed in NEPSE - National Hydro Power Company Limited Company Limited (NHPC)",https://merolagani.com/AnnouncementDetail.aspx?id=50706,2.0
"Oct 12, 2023","25,000.00 units of ordinary Shares has been Listed in NEPSE After Acquisition (Sunkoshi Hydropower Company Limited) - National Hydro Power Company Limited (NHPC)",https://merolagani.com/AnnouncementDetail.aspx?id=50608,1.6
"Sep 20, 2023","National Hydro Power Company Limited has distributed its 13,36,742.7178 units of ordinary right share to the interested whoever person, company, firm, institutions on Ashwin 02, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50398,2.0
"Sep 15, 2023","National Hydro Power Company Limited has published a notice regarding a bid opening date of its 13,36,742.7178 units of ordinary right share to the interested whoever person, company, firm, institutions on Bhadra 29, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50310,1.0
"Aug 26, 2023",National Hydro Power Company Limited has published its annual report of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=50122,0.0
"Aug 22, 2023","National Hydro Power Company Limited is going to sell its 13,36,742.7178 units of ordinary right share in an auction to the interested whoever person, company, firm, institutions starting from 13th - 24th Bhadra, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50030,1.0
"Aug 16, 2023","National Hydro Power Company Limited has distributed its 10:5 ratio ordinary right share (82,21,459.7178 units @Rs.100/unit) to its shareholders on Shrawan 30, 2080 and is going to return the payment to the non-allottees bank account starting from Bhadra 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49941,2.0
"Aug 11, 2023",National Hydro Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49722,0.0
"Aug 03, 2023","National Hydro Power Company Limited is going to close its 10:5 ratio ordinary right share (82,21,459.7178 units @Rs.100/unit) to its shareholders from today, Shrawan 18, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49554,1.0
"Aug 02, 2023","National Hydro Power Company Limited has published a notice to the shareholders regarding 02 working days remaining for the closure of its 10:5 ratio ordinary right share (82,21,459.7178 units @Rs.100/unit).",https://merolagani.com/AnnouncementDetail.aspx?id=49550,1.0
"Aug 01, 2023","National Hydro Power Company Limited has published a notice to the shareholders regarding 03 working days remaining for the closure of its 10:5 ratio ordinary right share (82,21,459.7178 units @Rs.100/unit).",https://merolagani.com/AnnouncementDetail.aspx?id=49535,1.0
"Jul 20, 2023","National Hydro Power Company Limited has published a notice to its shareholders regarding the deadline for the closure of its 10:5 ratio ordinary right share (82,21,459.7178 units @Rs.100/unit) on Shrawan 18, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49390,1.0
"Jul 14, 2023","National Hydro Power Company Limited is going to open its 10:5 ratio ordinary right share (82,21,459.7178 units @Rs.100/unit) to its shareholders starting from today, Ashad 29, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49280,1.0
"Jun 26, 2023","National Hydro Power Company Limited is going to issue its 10:5 ratio ordinary right share (82,21,459.7178 units @Rs.100/unit) to its shareholders starting from 29th Ashad - 18th Shrawan, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49080,1.8
"Jun 19, 2023",National Hydro Power Company Limited has published a notice to its shareholders to deposit the partial payment of the unclaimed shares within the given time frame.,https://merolagani.com/AnnouncementDetail.aspx?id=49016,0.0
"Jun 15, 2023",Price Adjusted of Rs.182.07 for 50% Right Shares on previous closing price of Rs.223.10 - National Hydro Power Company Limited (NHPC),https://merolagani.com/AnnouncementDetail.aspx?id=48992,2.0
"Jun 07, 2023","National Hydro Power Company Limited has published a notice regarding a book closure date for its upcoming 10:5 ratio right shares on Ashad 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48873,1.0
"Apr 30, 2023",National Hydro Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48227,0.0
"Mar 20, 2023","National Hydropower Company Limited has re-scheduled its postponed 26th AGM going to be held on Chaitra 16, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47613,-1.0
"Feb 23, 2023","National Hydropower Company Limited has proclaimed its 26th AGM going to be held on Chaitra 03, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47230,0.0
"Jan 30, 2023",National Hydro Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46776,0.0
"Nov 13, 2022",National Hydro Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45259,0.0
"Sep 30, 2022","National Hydropower Company Limited has successfully acquired Sunkoshi Hydropower Company Limited and will commence its joint transactions in the name of National Hydropower Company Limited starting from today, Ashwin 14, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=44873,0.0
"Aug 27, 2022","National Hydropower Company Limited has re-announced its postponed SGM going to be held on Bhadra 17, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=44497,-1.0
"Aug 09, 2022","National Hydropower Company Limited has proclaimed its SGM going to be held on Bhadra 10, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=44250,0.0
"Jul 30, 2022",National Hydro Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44011,0.0
"Jun 21, 2022","25,66,057.4355 Units (18.525%) of Bonus Shares has been listed in NEPSE - National Hydro Power Company Limited (NHPC)",https://merolagani.com/AnnouncementDetail.aspx?id=43578,2.0
"Apr 29, 2022",National Hydro Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=42925,0.0
"Mar 15, 2022","National Hydropower Company Limited has re-announced its postponed 25th AGM going to be held on Chaitra 11, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=42431,-1.0
"Feb 24, 2022",Adjusted Price of Rs.350.14 for 18.525% Bonus Shares on Previous Closing Price of Rs.415.00 - National Hydro Power Company Limited,https://merolagani.com/AnnouncementDetail.aspx?id=42254,2.0
"Feb 14, 2022","National Hydropower Company Limited has proclaimed its 25th AGM going to be held on Falgun 30, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=42119,0.0
"Jan 30, 2022",National Hydro Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41840,0.0
"Dec 05, 2021",National Hydro Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41034,0.0
"Aug 22, 2021",National Hydro Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=39806,0.0
"Jul 04, 2021","National Hydropower Company Limited has proclaimed its 24th AGM going to be held on Ashad 31, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=39147,0.0
"May 19, 2021",adjournment of the 24th AGM - National Hydropower Company Limited (NHPC),https://merolagani.com/AnnouncementDetail.aspx?id=38840,0.0
"May 10, 2021",National Hydro Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38669,0.0
"Mar 15, 2021","National Hydropower Company Limited has proclaimed its 24th AGM going to be held on Chaitra 27, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=38052,0.0
"Feb 19, 2021",National Hydro Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=37809,0.0
"Sep 28, 2020",National Hydro Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=36362,0.0
"Jun 26, 2020",National Hydropower Company Limited has changed its 23rd AGM venue.,https://merolagani.com/AnnouncementDetail.aspx?id=35663,0.0
"Jun 14, 2020","National Hydropower Company Limited has proclaimed its 23rd AGM going to be held on Ashad 21, 2077.",https://merolagani.com/AnnouncementDetail.aspx?id=35600,0.0
"Feb 03, 2020",National Hydro Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34806,0.0
"Nov 12, 2019",National Hydro Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34001,0.0
"Aug 05, 2019",National Hydro Power Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=33174,0.0
"May 06, 2019",National Hydro Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=32450,0.0
"Apr 19, 2019","National Hydropower Company Limited has proclaimed its 22nd AGM going to be held on Baisakh 27, 2076.",https://merolagani.com/AnnouncementDetail.aspx?id=32265,0.0
"Apr 17, 2019","National Hydro Power Company Limited has announced a book closure date for its upcoming 22nd AGM from Baisakh 15 to Baisakh 20, 2076.",https://merolagani.com/AnnouncementDetail.aspx?id=32251,0.0
"Feb 04, 2019",National Hydro Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=31674,0.0
"Nov 12, 2018",National Hydropower Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=30738,0.0
"Aug 01, 2018",National Hydropower Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=29453,0.0
"Jun 08, 2018","National Hydropower Company Limited has proclaim its 21st AGM going to be held on Ashad 15, 2075.",https://merolagani.com/AnnouncementDetail.aspx?id=28774,0.0
"May 10, 2018",National Hydropower Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=28447,0.0
"Jan 31, 2018",National Hydropower Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=27682,0.0
"Oct 31, 2017",National Hydro Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=27084,0.0
"Sep 05, 2017",National Hydropower Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2073/74.,https://merolagani.com/AnnouncementDetail.aspx?id=26851,0.0
"Aug 27, 2017",National Hydropower Company Limited has published its 20th AGM (Annual General Meeting) minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=26809,0.0
"Jun 23, 2017","National Hydropower Company Limited proclaim its 20th AGM going to be held on Shrawan 31, 2074.",https://merolagani.com/AnnouncementDetail.aspx?id=26342,0.0
"Mar 22, 2017",National Hydropower Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2073/74.,https://merolagani.com/AnnouncementDetail.aspx?id=25549,0.0
"Feb 03, 2017","National Hydropower Company Limited has published its 16th, 17th, 18th and 19th AGM (Annual General Meeting) minutes.",https://merolagani.com/AnnouncementDetail.aspx?id=25129,0.0
"Nov 17, 2016","National Hydropower Company Limited proclaim its 16th, 17th, 18th and 19th AGM going to be held on Mangshir 26, 2073.",https://merolagani.com/AnnouncementDetail.aspx?id=24592,0.0
"Apr 28, 2016",National Hydro Power Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2072/73.,https://merolagani.com/AnnouncementDetail.aspx?id=22992,0.0
"Feb 28, 2016","National Hydro Power Company Limited proclaim its Special General Meeting going to be held on Chaitra 08, 2072.",https://merolagani.com/AnnouncementDetail.aspx?id=21569,0.0
"Feb 26, 2016",National Hydro Power Company Limited has postponed its Special General Meeting (SGM) till further notice.,https://merolagani.com/AnnouncementDetail.aspx?id=21565,-1.0
"Feb 24, 2016","National Hydro Power Company Limited proclaim its Special General Meeting going to be held on Falgun 28, 2072.",https://merolagani.com/AnnouncementDetail.aspx?id=21548,0.0
"Jan 28, 2016",National Hydro Power Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2072/73.,https://merolagani.com/AnnouncementDetail.aspx?id=21231,0.0
"Jan 07, 2016",National Hydro Power Compamy Limited has published a notice regarding its DMAT agreement with CDS Nepal and received International Securities Identification Number (ISIN) - NPE194A00008 and urges its shareholders to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=21088,0.0
"Dec 13, 2015",National Hydro Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2072/73.,https://merolagani.com/AnnouncementDetail.aspx?id=29082,0.0
"Dec 13, 2015",National Hydro Power Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2072/73.,https://merolagani.com/AnnouncementDetail.aspx?id=20907,0.0
"Jul 31, 2015",National Hydro Power Co. Limited has published its provisional financial statement from a fourth quarter of the fiscal year 2071/72.,https://merolagani.com/AnnouncementDetail.aspx?id=20106,0.0
"Jul 05, 2015",National Hydropower Company Limited has published a provisional financial statement from a third quarter of the fiscal year 2071/72.,https://merolagani.com/AnnouncementDetail.aspx?id=19009,0.0
"Jan 30, 2013","National Hydro Power Co. Limited has announced its 14th & 15th AGM going to be held on 26th Magh, 2069.",https://merolagani.com/AnnouncementDetail.aspx?id=7311,0.0
