date,headline,link,sentiment
"Oct 09, 2025","Nepal Insurance Co. Limited has distributed its 1,92,574.00 units of unsold promoter right shares through an auction to the interested person, company, association/institutions on Ashwin 22, 2082 and the refund process for non-allottee's begins today, Ashwin 23, 2082 and the final cut-off price is as Rs.503.43",https://merolagani.com/AnnouncementDetail.aspx?id=61903,2.0
"Sep 25, 2025","Nepal Insurance Co. Limited has published a notice regarding a bid opening date of its 1,92,574.00 units of unsold ordinary right shares to the interested person, company, association/institutions from today, Ashwin 09, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61792,0.5
"Sep 21, 2025","Nepal Insurance Co. Limited has extended the auction of its 1,92,574.00 units of unsold ordinary right shares to the interested person, company, association/institutions until Ashwin 08, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61734,0.5
"Sep 11, 2025","Nepal Insurance Co. Limited is going to open its auction of 1,92,574.00 units of unsold ordinary right shares in an auction to the interested person, company, association/institutions starting from tomorrow, Bhadra 27, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61606,0.5
"Sep 05, 2025","Nepal Insurance Co. Limited is going to sell its 1,92,574.00 units of unsold ordinary right shares in an auction to the interested person, company, association/institutions starting from 27th Bhadra - 5th Ashwin, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61565,0.5
"Sep 01, 2025","Nepal Insurance Co. Limited has distributed its 10:3.4783 ratio right share (65,76,967.76 units @ Rs.100.00 per unit) to its shareholders on Bhadra 15, 2082 and is refunding the payment to the non-allottee's bank account starting from Bhadra 18, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61488,2.0
"Aug 18, 2025","Nepal Insurance Co. Limited is going to close its 10:3.4783 ratio right share (65,76,967.76 units @ Rs.100.00 per unit) to its shareholders from today, Bhadra 02, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61238,1.0
"Aug 17, 2025","Nepal Insurance Co. Limited has published a notice to its shareholders regarding 02 working days remaining for the closure of its ongoing 10:3.4783 ratio right share (65,76,967.76 units @ Rs.100.00 per unit).",https://merolagani.com/AnnouncementDetail.aspx?id=61224,1.0
"Aug 15, 2025","Nepal Insurance Co. Limited has published a notice to its shareholders regarding 03 working days remaining for the closure of its ongoing 10:3.4783 ratio right share (65,76,967.76 units @ Rs.100.00 per unit).",https://merolagani.com/AnnouncementDetail.aspx?id=61122,1.0
"Aug 15, 2025",Nepal Insurance Co. Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61067,0.0
"Aug 11, 2025","Nepal Insurance Co. Limited has extended its 10:3.4783 ratio right share (65,76,967.76 units @ Rs.100.00 per unit) to its shareholders till Bhadra 02, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60894,1.0
"Jul 30, 2025","Nepal Insurance Co. Limited has re-published a notice regarding the submission of its ongoing 10:3.4783 ratio right share (65,76,967.76 units @ Rs.100.00 per unit) to its shareholders with the deadline set for Shrawan 26, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60684,1.0
"Jul 24, 2025","Nepal Insurance Co. Limited has published a notice regarding the submission of its ongoing 10:3.4783 ratio right share (65,76,967.76 units @ Rs.100.00 per unit) to its shareholders with the deadline set for Shrawan 26, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60617,1.0
"Jul 22, 2025","Nepal Insurance Co. Limited is going to open its 10:3.4783 ratio right share (65,76,967.76 units @ Rs.100.00 per unit) to its shareholders starting from today, Shrawan 06, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60593,1.0
"Jul 13, 2025","24,66,362.91 Units (15%) of Bonus Share has been listed in NEPSE - Nepal Insurance Co. Ltd. (NICL)",https://merolagani.com/AnnouncementDetail.aspx?id=60474,2.0
"Jul 11, 2025",76th AGM Minutes - Nepal Insurance Company Limited (NICL),https://merolagani.com/AnnouncementDetail.aspx?id=60453,0.0
"Jul 11, 2025",75th AGM Minutes - Nepal Insurance Company Limited (NICL),https://merolagani.com/AnnouncementDetail.aspx?id=60452,0.0
"Jul 05, 2025","Nepal Insurance Co. Limited is issuing right shares at a 10:3.4783 ratio, shareholders can apply from 6th - 26th Shrawan, 2082 and has also listed the application submission and payment deposit centres for the right share issuance.",https://merolagani.com/AnnouncementDetail.aspx?id=60391,1.8
"Jul 04, 2025","Nepal Insurance Co. Limited is going to issue its 10:3.4783 ratio right share (65,76,967.76 units @ Rs.100.00 per unit) to its shareholders starting from 6th - 26th Shrawan, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60389,1.8
"Jun 12, 2025",Price Adjusted to Rs.606.65 for 34.7826087% Right Shares on previous closing price of Rs.782.87 - Nepal Insurance Co. Limited (NICL),https://merolagani.com/AnnouncementDetail.aspx?id=60120,2.0
"Jun 08, 2025","Nepal Insurance Co. Limited has published a revised notice regarding a book closure date for its upcoming 10:3.4783 ratio right shares on Jestha 30, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60083,1.0
"Jun 05, 2025","Nepal Insurance Co. Limited has published a notice regarding a book closure date for its upcoming 10:4 ratio right shares on Jestha 30, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60058,1.0
"May 12, 2025",Nepal Insurance Co. Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59708,0.0
"Mar 19, 2025",Price Adjusted to Rs.865.30 for 15% Bonus Shares on previous closing price of Rs.995.10 - Nepal Insurance Co. Limited (NICL),https://merolagani.com/AnnouncementDetail.aspx?id=59010,2.0
"Mar 16, 2025",Nepal Insurance Company Limited has re-published its 76th AGM along with annual financial statement for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=58965,0.0
"Mar 11, 2025","Nepal Insurance Company Limited has proclaimed its 76th AGM going to be held on Chaitra 19, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58879,0.0
"Mar 09, 2025",Declaration of 15% Bonus Share and 0.79% Cash Dividend - Nepal Insurance Co. Limited (NICL),https://merolagani.com/AnnouncementDetail.aspx?id=58860,2.0
"Mar 03, 2025",Nepal Insurance Co. Limited has published a notice to the policyholders to submit the necessary documents regarding the claim-over on Insurance Claims within the given timeframe.,https://merolagani.com/AnnouncementDetail.aspx?id=58794,0.0
"Feb 12, 2025",Nepal Insurance Co. Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58588,0.0
"Nov 15, 2024",Nepal Insurance Co. Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55981,0.0
"Aug 14, 2024",Nepal Insurance Co. Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54759,0.0
"May 12, 2024",Nepal Insurance Co. Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53782,0.0
"May 03, 2024","Nepal Insurance Company Limited has changed its venue of its upcoming SGM which is going to be held on Jestha 04, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53553,0.0
"May 01, 2024","Nepal Insurance Company Limited has proclaimed its SGM going to be held on Jestha 04, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53557,0.0
"Mar 05, 2024",Nepal Insurance Company Limited has distributed 10% bonus share directly to the demat account of its shareholders and has urged them to dematerialize their shares along with collection of uncollected due dividends of past fiscal years.,https://merolagani.com/AnnouncementDetail.aspx?id=52953,2.0
"Feb 25, 2024","14,94,766.00 Units (10%) of Bonus Shares has been listed in NEPSE - Nepal Insurance Company Limited (NICL)",https://merolagani.com/AnnouncementDetail.aspx?id=52870,2.0
"Feb 12, 2024",Nepal Insurance Co. Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52696,0.0
"Dec 13, 2023",Price Adjusted of Rs.795.45 for 10% bonus shares on previous closing price of Rs.875 00 - Nepal Insurance Company Limited (NICL),https://merolagani.com/AnnouncementDetail.aspx?id=51515,2.0
"Dec 11, 2023",Nepal Insurance Company Limited has published its 75th AGM along with annual financial statement of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=51469,0.0
"Dec 06, 2023","Nepal Insurance Company Limited has proclaimed its 75th AGM going to be held on Poush 13, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51419,0.0
"Nov 26, 2023",Declaration of 10% Bonus Share and 0.5263% Cash Dividend - Nepal Insurance Co. Limited (NICL),https://merolagani.com/AnnouncementDetail.aspx?id=51304,2.0
"Nov 11, 2023",Nepal Insurance Co. Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51047,0.0
"Aug 15, 2023",Nepal Insurance Co. Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49808,0.0
"May 12, 2023",Nepal Insurance Co. Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48425,0.0
"Mar 03, 2023",Nepal Insurance Co. Limited has distributed 8% bonus share directly to the demat account of its shareholders and has urged to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=47391,2.0
"Feb 27, 2023","11,57,696.00 Units (8%) of Bonus Shares has been listed in NEPSE - Nepal Insurance Company Limited (NICL)",https://merolagani.com/AnnouncementDetail.aspx?id=47330,2.0
"Feb 09, 2023",Nepal Insurance Co. Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46940,0.0
"Jan 17, 2023",Nepal Insurance Company Limited has published its 74th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=46455,0.0
"Dec 22, 2022",Price Adjusted of Rs.387.96 for 8% Bonus Shares on previous closing price of Rs.419.00 - Nepal Insurance Company Limited (NICL),https://merolagani.com/AnnouncementDetail.aspx?id=46036,2.0
