date,headline,link,sentiment
"Sep 25, 2025",19th AGM Minutes - NLG Insurance Company Limited (NLG),https://merolagani.com/AnnouncementDetail.aspx?id=61798,0.0
"Aug 14, 2025",NLG Insurance Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60982,0.0
"Jul 01, 2025",NLG Insurance Company Limited has published its 19th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=59958,0.0
"Jun 24, 2025",NLG Insurance Company Limited has requested all concerned policyholders to submit the necessary documents promptly. Claims without proper documentation will be closed.,https://merolagani.com/AnnouncementDetail.aspx?id=60255,0.0
"Jun 05, 2025",Price Adjusted to Rs.741.48 for 2.50% Bonus Shares on previous closing price of Rs.760.02 - NLG Insurance Company Limited (NLG),https://merolagani.com/AnnouncementDetail.aspx?id=60049,2.0
"May 18, 2025","NLG Insurance Company Limited has proclaimed its 19th AGM going to be held on Jestha 29, 2082 and has published its annual financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=59884,0.0
"May 12, 2025",NLG Insurance Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59695,0.0
"May 11, 2025",Declaration of 2.5% Bonus Share and 0.131579% Cash Dividend - NLG Insurance Company Limited (NLG),https://merolagani.com/AnnouncementDetail.aspx?id=59686,2.0
"Mar 14, 2025",NLG Insurance Company Limited has distributed its 10:6.256 ratio right share directly to the demat account of its shareholders and has urged them to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=58963,2.0
"Mar 09, 2025","96,31,220.22 Units (62.56%) of Right Share has been listed in NEPSE - NLG Insurance Company Limited (NLG)",https://merolagani.com/AnnouncementDetail.aspx?id=58883,2.0
"Feb 21, 2025","NLG Insurance Company Limited has distributed its 2,90,555.91 units unsold ordinary right shares in an auction to the interested person, company, association, institutions on Falgun 05, 2081 and is going to refund the payment to the non-allottees bank account starting from Falgun 11, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58688,2.0
"Feb 18, 2025","""Sanima Equity Fund"" operated by Sanima Capital Limited is going to sell 3.00 units non-listed bonus/right shares of NLG Insurance Company Limited in an auction to the interested person, firm, company, associations/institutions starting from 6th - 12th Falgun, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58605,1.8
"Feb 12, 2025","NLG Insurance Company Limited has published a notice regarding a bid opening date of its 29,977.31 units and 2,90,555.91 units unsold promoter and ordinary right shares to be sold through auction to the interested whoever person, company, association, institutions starting from tomorrow, Falgun 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58620,1.0
"Feb 12, 2025",NLG Insurance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58587,0.0
"Feb 02, 2025","NLG Insurance Company Limited has published a notice regarding its 29,977.31 units and 2,90,555.91 units unsold promoter and ordinary right shares to be sold through auction to the interested whoever person, company, association, institutions and has also listed the application forms collection/payment deposit centers.",https://merolagani.com/AnnouncementDetail.aspx?id=58278,1.8
"Jan 26, 2025","NLG Insurance Company Limited is going to sell its 2,90,555.91 units ordinary right shares in an auction to the interested person, company, association, institutions starting from 20th - 27th Magh, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58179,1.0
"Jan 21, 2025","NLG Insurance Company Limited has distributed its 10:6.256 ratio right share (96,31,220.22 units @ Rs.100.00 per unit) to its shareholders on Magh 06, 2081 and is going to transfer the payment to the non-allottees bank account starting from Magh 09, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58124,2.0
"Dec 31, 2024","NLG Insurance Company Limited is going to close its 10:6.256 ratio right share (96,31,220.22 units @ Rs.100.00 per unit) to its shareholders from today, Poush 16, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56814,1.0
"Dec 29, 2024","NLG Insurance Company Limited has published a notice to its shareholders regarding 02 working days remaining for the closure of its ongoing 10:6.256 ratio right share (96,31,220.22 units @ Rs.100.00 per unit).",https://merolagani.com/AnnouncementDetail.aspx?id=56788,1.0
"Dec 27, 2024","NLG Insurance Company Limited has published a notice to its shareholders regarding 03 working days remaining for the closure of its ongoing 10:6.256 ratio right share (96,31,220.22 units @ Rs.100.00 per unit).",https://merolagani.com/AnnouncementDetail.aspx?id=56765,1.0
"Dec 16, 2024","NLG Insurance Company Limited has extended its 10:6.256 ratio right share (96,31,220.22 units @ Rs.100.00 per unit) to its shareholders till Poush 16, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56428,1.0
"Dec 12, 2024",NLG Insurance Company Limited has published a notice to the insured or representative requesting the submission of necessary documents regarding the extension of Insurance Claims.,https://merolagani.com/AnnouncementDetail.aspx?id=56301,0.0
"Dec 06, 2024","NLG Insurance Company Limited has published a notice regarding the submission of its ongoing 10:6.256 ratio right share (96,31,220.22 units @ Rs.100.00 per unit) with the deadline set for Poush 16, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56261,1.0
"Dec 01, 2024","NLG Insurance Company Limited has published a deadline notice for the submission of its ongoing 10:6.256 ratio right share (96,31,220.22 units @ Rs.100.00 per unit) on Poush 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56198,1.0
"Nov 26, 2024","NLG Insurance Company Limited is going to open its 10:6.256 ratio right share (96,31,220.22 units @ Rs.100.00 per unit) to its shareholders starting from today, Mangsir 11, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56132,1.0
"Nov 15, 2024",NLG Insurance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55976,0.0
"Nov 11, 2024",Price Adjusted of Rs.862.18 for 62.56% Right Shares on previous closing price of Rs.1339.00 - NLG Insurance Company Limited (NLG),https://merolagani.com/AnnouncementDetail.aspx?id=55803,2.0
"Nov 07, 2024",NLG Insurance Company Limited has listed the application collection/payment deposit centres for its upcoming 10:6.256 ratio right share.,https://merolagani.com/AnnouncementDetail.aspx?id=55775,1.8
"Nov 06, 2024","NLG Insurance Company Limited is going to issue its 10:6.256 ratio right share (96,31,220.22 units @ Rs.100.00 per unit) to its shareholders starting from 11th Mangsir - 1st Poush, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55758,1.8
"Oct 28, 2024","NLG Insurance Company Limited has published a notice regarding a book closure date for its upcoming 10:6.256 Ratio Right Share on Kartik 27, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55690,1.0
"Oct 28, 2024",NLG Insurance Company Limited has published its SGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=29226,0.0
"Oct 04, 2024","NLG Insurance Company Limited has proclaimed its SGM going to be held on Kartik 07, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55407,0.0
"Sep 10, 2024",Intimation regarding right share - NLG Insurance Company Limited (NLG),https://merolagani.com/AnnouncementDetail.aspx?id=55138,1.0
"Aug 14, 2024",NLG Insurance Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54762,0.0
"Jun 03, 2024",NLG Insurance Company Limited has distributed 5.5% bonus share directly to the demat account of its shareholders and has urged them to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=54045,2.0
