date,headline,link,sentiment
"Sep 16, 2025","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Ashwin 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61666,0.0
"Aug 16, 2025","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Bhadra 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61187,0.0
"Aug 12, 2025",NMB Bank Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60925,0.0
"Aug 01, 2025",NMB Bank Limited has published a notice to its shareholders including shareholders of former Kanchan Development Bank Limited to collect unclaimed cash dividends for the fiscal year 2075/76 and previous fiscal years within the specified timeframe.,https://merolagani.com/AnnouncementDetail.aspx?id=60696,1.0
"Jul 16, 2025","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Shrawan 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60522,0.0
"Jun 14, 2025","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Ashad 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60155,0.0
"May 14, 2025","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Jestha 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59826,0.0
"Apr 20, 2025",NMB Bank Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59382,0.0
"Apr 13, 2025","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Baishakh 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59279,0.0
"Mar 25, 2025",NMB Bank Limited has published an important notice to its shareholders including shareholders of former Kanchan Development Bank Limited to collect unclaimed cash dividends for the fiscal year 2074/75 within the given specific time frame.,https://merolagani.com/AnnouncementDetail.aspx?id=59076,1.0
"Mar 13, 2025","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Chaitra 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58932,0.0
"Feb 12, 2025","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Falgun 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58534,0.0
"Feb 06, 2025",NMB Bank Limited has published its annual financial statement for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=58334,0.0
"Feb 06, 2025",NMB Bank Limited has published its 29th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=58312,0.0
"Feb 04, 2025",29th AGM Minutes - NMB Bank Limited (NMB),https://merolagani.com/AnnouncementDetail.aspx?id=58347,0.0
"Jan 20, 2025",NMB Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58085,0.0
"Jan 13, 2025","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Magh 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56964,0.0
"Dec 17, 2024","NMB Bank Limited has proclaimed its 29th AGM going to be held on Poush 25, 2081 and has published its audited financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=56444,0.0
"Dec 16, 2024","NMB Bank Limited has published a notice regarding a book closure date for its upcoming 29th AGM on Poush 11, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56433,0.0
"Dec 15, 2024","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Poush 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56398,0.0
"Dec 08, 2024",Financial & Dividend Information - NMB Bank Limited (NMB),https://merolagani.com/AnnouncementDetail.aspx?id=56283,0.0
"Nov 15, 2024","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Mangsir 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55935,0.0
"Oct 23, 2024",NMB Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55609,0.0
"Oct 16, 2024","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Kartik 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55505,0.0
"Sep 16, 2024","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Ashwin 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55208,0.0
"Sep 01, 2024",Issuance of Non-Cumulative Preference Share - NMB Bank Limited (NMB),https://merolagani.com/AnnouncementDetail.aspx?id=55070,0.0
"Aug 16, 2024","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Bhadra 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54925,0.0
"Aug 15, 2024",NMB Bank Limited has published a notice to its shareholders to collect unclaimed cash dividends from the last five fiscal years.,https://merolagani.com/AnnouncementDetail.aspx?id=54885,1.0
"Aug 05, 2024",NMB Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54597,0.0
"Jul 15, 2024","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Shrawan 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54423,0.0
"Jun 17, 2024","NMB Bank Limited has made correction on its new interest rate on fixed deposit which is going to be effective from Ashad 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=28566,-1.0
"Jun 14, 2024","NMB Bank Limited has published a notice regarding new interest rate on deposit and loan products which is going to be effective from Ashad 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54154,0.0
