date,headline,link,sentiment
"Aug 15, 2025",Prabhu Insurance Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61056,0.0
"Jul 17, 2025",Price Adjusted to Rs.807.80 for 18% Bonus Shares on previous closing price of Rs.953.20 - Prabhu Insurance Limited (PRIN),https://merolagani.com/AnnouncementDetail.aspx?id=60554,2.0
"Jul 09, 2025","Prabhu Insurance Limited has proclaimed its 29th AGM going to be held on Shrawan 23, 2082 and has published its financial statement of the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=60428,0.0
"Jun 23, 2025",Declaration of 18% Bonus Share and 0.9474% Cash Dividend - Prabhu Insurance Limited (PRIN),https://merolagani.com/AnnouncementDetail.aspx?id=60285,2.0
"Jun 06, 2025",Prabhu Insurance Limited has urged its policyholders who have not yet claimed their insurance benefits under policies issued up to fiscal year 2081/82 to contact the company within the given time frame.,https://merolagani.com/AnnouncementDetail.aspx?id=60061,0.8
"May 12, 2025",Prabhu Insurance Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59715,0.0
"Mar 10, 2025",Prabhu Insurance Limited has published a notice to the policyholders to collect the unclaimed remaining payment of their insurance policies from the past fiscal years.,https://merolagani.com/AnnouncementDetail.aspx?id=58869,0.0
"Feb 12, 2025",Prabhu Insurance Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58585,0.0
"Nov 15, 2024",Prabhu Insurance Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=56028,0.0
"Aug 14, 2024",Prabhu Insurance Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54807,0.0
"Aug 09, 2024",Prabhu Insurance Limited has distributed 4.75% bonus share directly to the demat account of its shareholders and has urged them to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=54663,2.0
"Aug 07, 2024",653658.07 Units (4.75%) of Bonus Share has been listed in NEPSE - Prabhu Insurance Limited (PRIN),https://merolagani.com/AnnouncementDetail.aspx?id=54641,2.0
"May 17, 2024",Prabhu Insurance Limited has published a notice to the insured to collect the uncollected remaining claim payment of their insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=53866,0.0
"May 14, 2024",Prabhu Insurance Limited has made correction on its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53888,-1.0
"May 10, 2024",Prabhu Insurance Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53711,0.0
"May 03, 2024",Prabhu Insurance Limited has published a notice to the insured to collect the uncollected remaining claim payment of their insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=53537,0.0
"Apr 19, 2024",Prabhu Insurance Limited has published a notice to the insured to collect the uncollected remaining claim payment of their insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=53429,0.0
"Apr 18, 2024",Price Adjusted of Rs.737.47 for 4.75% bonus shares on previous closing price of Rs.772.50 - Prabhu Insurance Limited (PRIN),https://merolagani.com/AnnouncementDetail.aspx?id=53371,2.0
"Apr 11, 2024","Prabhu Insurance Limited has proclaimed its 28th AGM going to be held on Baishakh 20, 2081 and has published its financial statement of the fiscal year 2079/80",https://merolagani.com/AnnouncementDetail.aspx?id=53284,0.0
