date,headline,link,sentiment
"Sep 29, 2025","Rawa Energy Development Limited has notified that its 6th AGM is scheduled for Kartik 12, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61863,0.0
"Aug 14, 2025",Rawa Energy Development Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61003,0.0
"May 12, 2025",Rawa Energy Development Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59683,0.0
"Feb 11, 2025",Rawa Energy Development Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58444,0.0
"Dec 11, 2024","Rawa Energy Development Limited has proclaimed its 5th AGM going to be held on Poush 16, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56321,0.0
"Nov 16, 2024",Rawa Energy Development Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=56039,0.0
"Aug 16, 2024",Rawa Energy Development Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54948,0.0
"May 12, 2024",Rawa Energy Development Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53744,0.0
"Feb 04, 2024",Rawa Energy Development Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52465,0.0
"Dec 11, 2023","Rawa Energy Development Limited has proclaimed its 4th AGM going to be held on Poush 17, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51476,0.0
