date,headline,link,sentiment
"Aug 19, 2025",Reliable Nepal Life Insurance Limited has published a notice regarding claims on lost insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=60880,0.0
"Aug 15, 2025",Reliable Nepal Life Insurance Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61114,0.0
"Aug 14, 2025","55,68,000.00 Units (12%) of Bonus Share has been listed in NEPSE - Reliable Nepal Life Insurance Limited (RNLI)",https://merolagani.com/AnnouncementDetail.aspx?id=61030,2.0
"Aug 13, 2025",8th AGM minutes - Reliable Nepal Life Insurance Limited (RNLI),https://merolagani.com/AnnouncementDetail.aspx?id=60964,0.0
"Jul 09, 2025",Reliable Nepal Life Insurance Limited has published the details and decisions of its 8th AGM.,https://merolagani.com/AnnouncementDetail.aspx?id=60425,0.0
"Jul 03, 2025",Reliable Nepal Life Insurance Limited has published a notice regarding claims on lost insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=60371,0.0
"Jun 08, 2025",Price Adjusted to Rs.452.67 for 12% Bonus Shares on previous closing price of Rs.506.99 - Reliable Nepal Life Insurance Limited (RNLI),https://merolagani.com/AnnouncementDetail.aspx?id=60087,2.0
"May 22, 2025","Reliable Nepal Life Insurance Company Limited has proclaimed its 8th AGM going to be held on Ashad 02, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59908,0.0
"May 13, 2025",Reliable Nepal Life Insurance Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59762,0.0
"May 07, 2025",Declaration of 12% Bonus Share and 0.6315% Cash Dividend - Reliable Nepal Life Insurance Limited (RNLI),https://merolagani.com/AnnouncementDetail.aspx?id=59603,2.0
"Apr 22, 2025",Reliable Nepal Life Insurance Limited has published a notice regarding claims on lost insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=59406,0.0
"Mar 17, 2025",Reliable Nepal Life Insurance Limited has published a notice regarding a new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=58982,0.0
"Feb 15, 2025",Reliable Nepal Life Insurance Limited has published a notice regarding claims on lost insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=58554,0.0
"Feb 07, 2025",Reliable Nepal Life Insurance Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58386,0.0
"Jan 06, 2025",Reliable Nepal Life Insurance Limited has published a notice regarding claim-over on lost insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=56822,0.0
"Nov 15, 2024",Reliable Nepal Life Insurance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55986,0.0
"Sep 23, 2024",Reliable Nepal Life Insurance Limited has published a notice regarding claim-over on lost insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=55270,0.0
"Aug 14, 2024",Reliable Nepal Life Insurance Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54763,0.0
"May 07, 2024",Reliable Nepal Life Insurance Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53626,0.0
"Apr 11, 2024",Reliable Nepal Life Insurance Limited has published a notice regarding claim-over on lost insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=53278,0.0
"Apr 03, 2024","64,00,000.00 Units Bonus (16%) of Shares has been listed in NEPSE - Reliable Nepal Life Insurance Limited (RNLI)",https://merolagani.com/AnnouncementDetail.aspx?id=53246,1.6
"Feb 18, 2024",7th AGM minutes - Reliable Nepal Life Insurance Limited (RNLI),https://merolagani.com/AnnouncementDetail.aspx?id=52795,0.0
"Feb 12, 2024",Reliable Nepal Life Insurance Limited has published its annual financial statement of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=52713,0.0
"Feb 06, 2024",Reliable Nepal Life Insurance Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52491,0.0
"Jan 29, 2024",Price Adjusted of Rs.497.84 for 16% bonus shares on previous closing price of Rs.577.50 - Reliable Nepal Life Insurance Company Limited (RNLI),https://merolagani.com/AnnouncementDetail.aspx?id=52387,2.0
"Jan 19, 2024","Reliable Nepal Life Insurance Company Limited has proclaimed its 7th AGM going to be held on Magh 29, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52214,0.0
"Jan 11, 2024","Reliable Nepal Life Insurance Limited has issued a notice to all investors and stakeholders regarding the expiration of the lock-in period for its 3,11,141.00 units of ordinary shares within the month of Magh in the year 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52052,0.8
"Jan 10, 2024",Declaration of 16% Bonus Share and 0.84% Cash Dividend - Reliable Nepal Life Insurance Limited (RNLI),https://merolagani.com/AnnouncementDetail.aspx?id=52042,2.0
"Jan 09, 2024",Reliable Nepal Life Insurance Limited has published a notice regarding claim-over on lost insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=29222,0.0
"Dec 10, 2023",Reliable Nepal Life Insurance Limited has published a notice regarding new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=51446,0.0
"Nov 11, 2023",Reliable Nepal Life Insurance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51039,0.0
"Sep 13, 2023","4,00,00,000.00 Units of IPO Shares has been listed in NEPSE. The open price range is set as Rs.162.29 to Rs.486.87 for the first transactions - Reliable Nepal Life Insurance Limited (RNLI)",https://merolagani.com/AnnouncementDetail.aspx?id=50299,2.0
"Aug 17, 2023","Reliable Nepal Life Insurance Company Limited has distributed its 96,00,000.00 units of premium IPO shares to the general public on Shrawan 31, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50055,2.0
"Aug 17, 2023",Reliable Nepal Life Insurance Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=50025,0.0
"Aug 11, 2023","Reliable Nepal Life Insurance Company Limited is going to close its 96,00,000.00 units of premium IPO shares to the general public from today, Shrawan 26, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49725,1.0
"Aug 08, 2023","Reliable Nepal Life Insurance Company Limited is going to open its 96,00,000.00 units of premium IPO shares to the general public starting from today, Shrawan 23, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49675,1.0
"Jul 31, 2023","Reliable Nepal Life Insurance Company Limited is going to issue its 96,00,000.00 units of premium IPO shares to the general public starting from 23rd - 26th Shrawan, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49532,1.8
"Jul 31, 2023","Reliable Nepal Life Insurance Company Limited has distributed its 12,00,000.00 units of premium IPO shares to the foreign employment citizens of Nepal on Shrawan 14, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49529,2.0
"Jul 26, 2023","Reliable Nepal Life Insurance Company Limited is going to close its 12,00,000.00 units of premium IPO shares to the foreign employment citizens of Nepal from today, Shrawan 10, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49430,1.0
"Jul 12, 2023","Reliable Nepal Life Insurance Company Limited is going to open its 12,00,000.00 units of premium IPO shares to the foreign employment citizens of Nepal starting from today, Ashad 27, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49248,1.0
"Jul 04, 2023","Reliable Nepal Life Insurance Company Limited is going to issue its 12,00,000.00 units of premium IPO shares to the foreign employment citizens of Nepal starting from 27th Ashad - 10th Shrawan, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49175,1.8
"May 26, 2023","Reliable Nepal Life Insurance Company Limited has proclaimed its 6th AGM going to be held on Ashad 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48768,0.0
"May 22, 2023",Reliable Nepal Life Insurance Limited has published a notice regarding new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=48683,0.0
"May 11, 2023",Reliable Nepal Life Insurance Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48419,0.0
"Feb 09, 2023",Reliable Nepal Life Insurance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46949,0.0
"Nov 15, 2022",Reliable Nepal Life Insurance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45319,0.0
"Sep 30, 2022","Reliable Nepal Life Insurance Company Limited has proclaimed its 5th AGM going to be held on Kartik 06, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=44864,0.0
"Aug 26, 2022",Reliable Nepal Life Insurance Limited has published a notice regarding new bonus rate for its different life insurance policies.,https://merolagani.com/AnnouncementDetail.aspx?id=44489,0.0
"Jul 29, 2022",Reliable Nepal Life Insurance Company Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=43981,0.0
"Jul 01, 2022","Reliable Nepal Life Insurance Limited has published a notice to its promoter shareholders to deposit the additional investment payment till Bhadra 06, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=43709,0.0
"May 17, 2022","Reliable Nepal Life Insurance Company Limited has proclaimed its 4th AGM going to be held on Jestha 25, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=43217,0.0
"May 11, 2022",Reliable Nepal Life Insurance Company Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=43074,0.0
