date,headline,link,sentiment
"Sep 16, 2025","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Ashwin 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61648,0.0
"Aug 16, 2025","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Bhadra 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61169,0.0
"Aug 13, 2025",Shangrila Development Bank Limited has published a notice to its shareholders to collect the unclaimed remaining cash dividends for the past fiscal years and has also requested to its deposit holders to contact the bank/branches with valid proofs in order to activate their dormant accounts.,https://merolagani.com/AnnouncementDetail.aspx?id=60904,1.0
"Jul 24, 2025",Shangrila Development Bank Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60622,0.0
"Jul 16, 2025","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Shrawan 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60503,0.0
"Jun 14, 2025","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Ashad 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60138,0.0
"May 14, 2025","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Jestha 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59809,0.0
"Apr 20, 2025",Shangrila Development Bank Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59364,0.0
"Apr 13, 2025","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Baishakh 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59261,0.0
"Mar 25, 2025",20th AGM Minutes - Shangrila Development Bank Limited (SADBL),https://merolagani.com/AnnouncementDetail.aspx?id=59117,0.0
"Mar 25, 2025","12,52,844.17 Units (3.6516%) of Bonus Share has been listed in NEPSE - Shangrila Development Bank Limited (SADBL)",https://merolagani.com/AnnouncementDetail.aspx?id=59114,2.0
"Mar 13, 2025","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Chaitra 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58915,0.0
"Feb 12, 2025","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Falgun 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58516,0.0
"Jan 20, 2025",Shangrila Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58065,0.0
"Jan 13, 2025","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Magh 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56944,0.0
"Dec 31, 2024",Price Adjusted to Rs.372.40 for 3.6516% Bonus shares on previous closing price of Rs.386.00 - Shangrila Development Bank Limited (SADBL),https://merolagani.com/AnnouncementDetail.aspx?id=56818,2.0
"Dec 22, 2024","Shangri-la Development Bank Limited has proclaimed its 20th AGM going to be held on Poush 29, 2081 and has published its annual financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=56628,0.0
"Dec 18, 2024",Declaration of 3.65% Bonus Share and 0.19% Cash Dividend - Shangri-la Development Bank Limited (SADBL),https://merolagani.com/AnnouncementDetail.aspx?id=56513,2.0
"Dec 15, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Poush 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56379,0.0
"Nov 17, 2024","Shangri-la Development Bank Limited has made correction on its new interest rate on deposit which is going to be effective from Mangsir 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56046,-1.0
"Nov 15, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Mangsir 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55916,0.0
"Oct 23, 2024",Shangrila Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55589,0.0
"Oct 16, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Kartik 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55485,0.0
"Sep 16, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Ashwin 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55189,0.0
"Aug 16, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Bhadra 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54907,0.0
"Aug 07, 2024",Shangrila Development Bank Limited has published a notice to its shareholders to collect the unclaimed remaining cash dividends for the past fiscal years and has also urged its deposit holders to contact the bank/branches with valid proofs in order to activate their dormant accounts.,https://merolagani.com/AnnouncementDetail.aspx?id=54639,1.0
"Aug 05, 2024",Shangrila Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54579,0.0
"Jul 15, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Shrawan 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54405,0.0
"Jun 14, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Ashad 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=54136,0.0
"May 13, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Jestha 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53819,0.0
"Apr 19, 2024",Shangrila Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53390,0.0
"Apr 12, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Baishakh 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=53303,0.0
"Mar 13, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Chaitra 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=53020,0.0
"Mar 05, 2024",Shangri-la Development Bank Limited has distributed 5% bonus share directly to the demat account of its shareholders and has urged them to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=52949,2.0
"Feb 12, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Falgun 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52632,0.0
"Feb 09, 2024","16,33,795.86 Units (5%) of Bonus Shares has been listed in NEPSE - Shangrila Development Bank Limited (SADBL)",https://merolagani.com/AnnouncementDetail.aspx?id=52570,2.0
"Jan 20, 2024",Shangrila Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52217,0.0
"Jan 14, 2024","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Magh 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52085,0.0
"Dec 16, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Poush 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51571,0.0
"Dec 13, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit which is going to be effective from Mangsir 27, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51487,0.0
"Nov 26, 2023",Price Adjusted of Rs.280.95 for 5% bonus shares on previous closing price of Rs.295.00 - Shangrila Development Bank Limited (SADBL),https://merolagani.com/AnnouncementDetail.aspx?id=51306,2.0
"Nov 18, 2023","Shangri-la Development Bank Limited has proclaimed its 19th AGM going to be held on Mangsir 24, 2080 and has published its annual financial highlights of the fiscal year 2079/80",https://merolagani.com/AnnouncementDetail.aspx?id=51244,0.0
"Nov 16, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Mangsir 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51160,0.0
"Nov 03, 2023",Shangrila Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=50862,0.0
"Oct 20, 2023",Declaration of 5% Bonus Share and 0.263% Cash Dividend - Shangri-la Development Bank Limited (SADBL),https://merolagani.com/AnnouncementDetail.aspx?id=50728,2.0
"Oct 17, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Kartik 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50639,0.0
"Sep 17, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Ashwin 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=50335,0.0
"Aug 17, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Bhadra 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49826,0.0
"Aug 05, 2023",Shangrila Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49614,0.0
"Aug 03, 2023",Shangri-la Development Bank Limited has published a notice to its shareholders to collect uncollected due cash dividends.,https://merolagani.com/AnnouncementDetail.aspx?id=49565,1.0
"Jul 16, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Shrawan 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=49310,0.0
"Jun 15, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Ashad 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48968,0.0
"May 23, 2023",Shangri-la Development Bank Limited has distributed 8.534% bonus share directly to the demat account of its shareholders and has urged to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=48705,2.0
"May 21, 2023","25,69,220.5471 Units (8.534%) of Bonus Shares has been Listed in NEPSE - Shangrila Development Bank Limited (SADBL)",https://merolagani.com/AnnouncementDetail.aspx?id=48677,2.0
"May 14, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Jestha 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=48532,0.0
"Apr 25, 2023",Shangri-la Development Bank Limited has published its 18th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=48166,0.0
"Apr 20, 2023",Shangrila Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48068,0.0
"Apr 13, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Baishakh 01, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=47950,0.0
"Apr 03, 2023",Dividend Approved by 18th AGM - Shangri-la Development Bank Limited (SADBL),https://merolagani.com/AnnouncementDetail.aspx?id=47822,0.0
"Mar 15, 2023","Shangri-la Development Bank Limited has made correction on its new interest rate on deposit which is going to be effective from Chaitra 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47564,-1.0
"Mar 14, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Chaitra 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47528,0.0
"Mar 09, 2023",Price Adjusted of Rs.311.42 for 8.534% Bonus Shares on previous closing price of Rs.338.00 - Shangrila Development Bank Limited (SADBL),https://merolagani.com/AnnouncementDetail.aspx?id=47449,2.0
"Mar 01, 2023","Shangri-la Development Bank Limited has proclaimed its 18th AGM going to be held on Chaitra 17, 2079 and has published its annual financial highlights of the fiscal year 2078/79",https://merolagani.com/AnnouncementDetail.aspx?id=47354,0.0
"Feb 28, 2023",18th Annual General Meeting - Shangri-la Development Bank Limited (SADBL),https://merolagani.com/AnnouncementDetail.aspx?id=47344,0.0
"Feb 14, 2023","Shangri-la Development Bank Limited has made correction on its new interest rate which is going to be effective from Falgun 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47129,-1.0
"Feb 12, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Falgun 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47052,0.0
"Feb 10, 2023",Declaration of 8.534% Bonus Share and 0.449% Cash Dividend - Shangrila Development Bank Limited (SADBL),https://merolagani.com/AnnouncementDetail.aspx?id=47010,2.0
"Jan 21, 2023",Shangrila Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46537,0.0
"Jan 14, 2023","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposits, loans & advances which is going to be effective from Magh 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=46364,0.0
"Dec 15, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Poush 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45828,0.0
"Nov 16, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Mangsir 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45371,0.0
"Oct 24, 2022",Shangri-la Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45079,0.0
"Oct 17, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Kartik 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=44972,0.0
"Sep 16, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Ashwin 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=44678,0.0
"Aug 16, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Bhadra 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=44351,0.0
"Aug 15, 2022",Shangri-la Development Bank Limited has published a notice to its shareholders to collect uncollected due cash dividends.,https://merolagani.com/AnnouncementDetail.aspx?id=44290,1.0
"Aug 05, 2022",Shangri-la Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44047,0.0
"Jul 16, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Shrawan 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=43842,0.0
"Jun 14, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Ashad 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=43471,0.0
"May 14, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Jestha 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=43197,0.0
"Apr 20, 2022",Shangri-la Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=42787,0.0
"Apr 13, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Baishakh 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=42699,0.0
"Mar 14, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Chaitra 01, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=42394,0.0
"Feb 12, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Falgun 01, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=42075,0.0
"Jan 20, 2022",Shangri-la Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41671,0.0
"Jan 14, 2022","Shangri-la Development Bank Limited has published a notice regarding its new interest rate on deposit and loan which is going to be effective from Magh 01, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=41591,0.0
"Dec 24, 2021",Shangri-la Development Bank Limited has deposited 10% Bonus Share directly to the demat account of its shareholders and has urged to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=41357,2.0
"Dec 20, 2021","27,36,972.42 Units (10%) Bonus Shares has been Listed in NEPSE - Shangri-la Development Bank Limited (SADBL)",https://merolagani.com/AnnouncementDetail.aspx?id=41275,2.0
