date,headline,link,sentiment
"Aug 20, 2025","Saptakoshi Development Bank Limited has published a notice regarding a new interest rate on deposit & loan which is going to be effective from Bhadra 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61253,0.0
"Aug 16, 2025",Saptakoshi Development Bank Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61205,0.0
"Jul 17, 2025","Saptakoshi Development Bank Limited has published a notice regarding a new interest rate on deposit & loan which is going to be effective from Shrawan 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60535,0.0
"Apr 20, 2025",Saptakoshi Development Bank Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59363,0.0
"Jan 21, 2025",Saptakoshi Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58119,0.0
"Oct 24, 2024",Saptakoshi Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55600,0.0
"Oct 16, 2024","Saptakoshi Development Bank Limited has published a notice regarding new interest rate on deposit & loan which will remain the same as of previous month ""Ashwin"" and is going to be effective for the month of Kartik, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=28131,0.0
"Aug 06, 2024",Saptakoshi Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54632,0.0
"Apr 21, 2024",Saptakoshi Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53389,0.0
"Jan 22, 2024",Saptakoshi Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52240,0.0
"Dec 24, 2023","Saptakoshi Development Bank Limited proclaim its 14th AGM going to be held on Poush 29, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51836,0.0
"Nov 03, 2023",Saptakoshi Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=50861,0.0
"Aug 07, 2023",Saptakoshi Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49656,0.0
"Apr 25, 2023",Saptakoshi Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48165,0.0
"Jan 27, 2023",Saptakoshi Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46536,0.0
"Nov 06, 2022",Saptakoshi Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45085,0.0
"Aug 01, 2022",Saptakoshi Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44079,0.0
"May 14, 2022","Saptakoshi Development Bank Limited has published a notice regarding new interest rate on deposit & loan which is going to be effective from Jestha 01, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=43198,0.0
"Apr 28, 2022",Saptakoshi Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=42917,0.0
"Feb 12, 2022","Saptakoshi Development Bank Limited has published a notice regarding new interest rate on deposit & loan which is going to be effective from Falgun 01, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=42042,0.0
"Jan 30, 2022",Saptakoshi Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41849,0.0
"Nov 02, 2021",Saptakoshi Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=40599,0.0
"Oct 18, 2021","Saptakoshi Development Bank Limited has published a notice regarding new interest rate on deposit & loan which is going to be effective from Kartik 01, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=40325,0.0
"Aug 05, 2021",Saptakoshi Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=39459,0.0
"May 14, 2021","Saptakoshi Development Bank Limited has published a notice regarding new interest rate on deposit & loan products which is going to be effective from Jestha 01, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=38801,0.0
"Apr 29, 2021",Saptakoshi Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38539,0.0
"Mar 10, 2021","Saptakoshi Development Bank Limited proclaim its 13th AGM going to be held on Chaitra 28, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=37971,0.0
"Mar 07, 2021",Saptakoshi Development Bank Limited (SAPDBL) - announced its 13th AGM & Book Closure date.,https://merolagani.com/AnnouncementDetail.aspx?id=37951,0.0
"Feb 13, 2021","Saptakoshi Development Bank Limited has published a notice regarding new interest rate on deposit & loan products which is going to be effective from Falgun 01, 2077",https://merolagani.com/AnnouncementDetail.aspx?id=37772,0.0
"Jan 28, 2021",Saptakoshi Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38540,0.0
"Nov 23, 2020",Saptakoshi Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38564,0.0
"Oct 17, 2020","Saptakoshi Development Bank Limited has published a notice regarding new interest rate which is going to be effecttive from Kartik 01, 2077.",https://merolagani.com/AnnouncementDetail.aspx?id=36457,0.0
"Aug 23, 2020",Saptakoshi Development Bank Limited has published a notice regarding new interest rate.,https://merolagani.com/AnnouncementDetail.aspx?id=36171,0.0
"Aug 12, 2020",Saptakoshi Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=35989,0.0
"Jun 23, 2020","Saptakoshi Development Bank Limited proclaim its 12th AGM going to be held on Ashad 21, 2077.",https://merolagani.com/AnnouncementDetail.aspx?id=35647,0.0
"May 13, 2020",Saptakoshi Development Bank Limited (SAPDBL) -Price adjusted of bonus shares.,https://merolagani.com/AnnouncementDetail.aspx?id=35503,1.5
"May 11, 2020",Saptakoshi Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=35404,0.0
"Apr 03, 2020",Saptakoshi Development Bank Limited has postponed its 12th AGM.,https://merolagani.com/AnnouncementDetail.aspx?id=35200,-1.0
"Mar 23, 2020",Saptakoshi Development Bank Limited has amended its Book Closure Date.,https://merolagani.com/AnnouncementDetail.aspx?id=35186,0.0
"Mar 22, 2020","Saptakoshi Development Bank Limited proclaim its 12th AGM going to be held on Chaitra 30, 2076.",https://merolagani.com/AnnouncementDetail.aspx?id=35174,0.0
"Jan 29, 2020",Saptakoshi Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34757,0.0
"Jan 14, 2020",Saptakoshi Development Bank Limited (SAPDBL) - Proposed 6% bonus share,https://merolagani.com/AnnouncementDetail.aspx?id=34635,2.0
"Nov 17, 2019",Saptakoshi Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34129,0.0
"Aug 15, 2019",Saptakoshi Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=33303,0.0
"Jun 28, 2019",Saptakoshi Development Bank Limited and Kabeli Bikas Bank Limited have received final merger approval from NRB to commence its joint transaction in the name of Saptakoshi Development Bank Limited.,https://merolagani.com/AnnouncementDetail.aspx?id=32904,0.0
"Apr 29, 2019",Saptakoshi Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=32384,0.0
"Mar 26, 2019","Saptakoshi Development Bank Limited proclaim its SGM going to be held on Chaitra 27, 2075.",https://merolagani.com/AnnouncementDetail.aspx?id=32084,0.0
"Mar 08, 2019",Saptakoshi Development Bank Ltd (SKDBL) - Listing of bonus shares.,https://merolagani.com/AnnouncementDetail.aspx?id=31985,1.8
"Jan 29, 2019",Saptakoshi Development Bank Limited is distributing 5.0363973% cash dividend directly to bank accounts to its shareholders and urges its shareholders to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=31611,2.0
"Jan 25, 2019",Saptakoshi Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=31540,0.0
"Dec 17, 2018","Saptakoshi Development Bank Limited proclaim its 6th AGM going to be held on Poush 28, 2075.",https://merolagani.com/AnnouncementDetail.aspx?id=31128,0.0
"Oct 30, 2018",Saptakoshi Development Bank Limited has published its provisional financial statement from the first quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=30614,0.0
"Sep 13, 2018",Saptakoshi Development Bank Limited (SKDBL) proclaimed 3% bonus share and 5.036% cash dividend to its shareholders.,https://merolagani.com/AnnouncementDetail.aspx?id=30284,2.0
"Jul 24, 2018",Saptakoshi Development Bank Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=29356,0.0
"Apr 22, 2018",Saptakoshi Development Bank Limited has published its provisional financial statement from the third quarter of the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=28158,0.0
"Apr 02, 2018","Saptakoshi Development Bank Limited proclaim its SGM going to be held on Baisakh 15, 2075.",https://merolagani.com/AnnouncementDetail.aspx?id=28008,0.0
"Jan 28, 2018",Saptakoshi Development Bank Limited has published its provisional financial statement from the second quarter of the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=27631,0.0
"Dec 31, 2017","Saptakoshi Development Bank Limited proclaim its 5th AGM going to be held on Magh 13, 2074.",https://merolagani.com/AnnouncementDetail.aspx?id=27482,0.0
"Nov 23, 2017","Saptakoshi Development Bank Limited has alloted its 8,16,677 units promoter right share in auction to general public on 5th Mangsir, 2074.",https://merolagani.com/AnnouncementDetail.aspx?id=27310,1.0
"Nov 19, 2017","Saptakoshi Development Bank Limited has published the details of its bid opening date (8,16,677 units Promoter right shares) of the auction on Mangsir 03(today).",https://merolagani.com/AnnouncementDetail.aspx?id=27278,1.0
"Nov 17, 2017",Saptakoshi Development Bank Limited (SFDBL) has published its provisional financial statement from the first quarter of the fiscal year 2074/75.,https://merolagani.com/AnnouncementDetail.aspx?id=27266,0.0
"Oct 30, 2017","Saptakoshi Development Bank Limited has published a notice regarding the allotment of its 1,57,000 units unsold right share in auction to the general public on Kartik 08, 2074 and refunding money to the non-allottee investors from Kartik 13, 2074.",https://merolagani.com/AnnouncementDetail.aspx?id=27069,1.0
"Oct 27, 2017","Saptakoshi Development Bank Limited has published a notice regarding the allotment of its 1,57,000 units unsold right share in auction to the general public on Kartik 08, 2074.",https://merolagani.com/AnnouncementDetail.aspx?id=27056,1.0
