date,headline,link,sentiment
"Oct 03, 2025",Standard Chartered Bank Nepal Limited has published its annual report for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=61972,0.0
"Oct 03, 2025",Standard Chartered Bank Nepal Limited has published its annual report for the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=61971,0.0
"Sep 16, 2025","Standard Chartered Bank Nepal Limited has published a notice regarding new interest rate on deposit and lending rates which is going to be effective from Ashwin 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61658,0.0
"Aug 19, 2025","Standard Chartered Bank Nepal Limited has amended on its new interest rate on fixed deposit which is going to be effective from Bhadra 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61168,0.0
"Aug 16, 2025","Standard Chartered Bank Nepal Limited has published a notice regarding new interest rate on deposit and lending rates which is going to be effective from Bhadra 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61179,0.0
"Aug 15, 2025",Standard Chartered Bank Nepal Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61063,0.0
"Jul 16, 2025","Standard Chartered Bank Nepal Limited has published a notice regarding new interest rate on deposit and lending rates which is going to be effective from Shrawan 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60514,0.0
"Jun 14, 2025","Standard Chartered Bank Nepal Limited has published a notice regarding new interest rate on deposit and lending rates which is going to be effective from Ashad 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60147,0.0
"May 26, 2025",Standard Chartered Bank Nepal Limited has published a notice regarding claims on lost share certificates.,https://merolagani.com/AnnouncementDetail.aspx?id=59913,0.0
"May 14, 2025","Standard Chartered Bank Nepal Limited has published a notice regarding new interest rate on deposit and lending rates which is going to be effective from Jestha 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59818,0.0
"Apr 20, 2025",Standard Chartered Bank Nepal Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59375,0.0
"Apr 13, 2025","Standard Chartered Bank Nepal Limited has published a notice regarding new interest rate on deposit and lending rates which is going to be effective from Baishakh 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=59271,0.0
"Mar 31, 2025",Standard Chartered Bank Nepal Limited has published its annual financial statement for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=59152,0.0
"Mar 13, 2025","Standard Chartered Bank Nepal Limited has published a notice regarding new interest rate on deposit and lending rates which is going to be effective from Chaitra 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58924,0.0
"Mar 11, 2025","61,29,145.00 Units (6.5%) of Bonus Share has been listed in NEPSE - Standard Chartered Bank Limited (SCB)",https://merolagani.com/AnnouncementDetail.aspx?id=58899,2.0
"Feb 12, 2025","Standard Chartered Bank Nepal Limited has published a notice regarding new interest rate on deposit and lending rates which is going to be effective from Falgun 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58526,0.0
"Jan 24, 2025",Standard Chartered Bank Nepal Limited has published a notice regarding claims on lost share certificates.,https://merolagani.com/AnnouncementDetail.aspx?id=58036,0.0
"Jan 20, 2025",Standard Chartered Bank Nepal Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58078,0.0
"Jan 13, 2025","Standard Chartered Bank Nepal Limited has published a notice regarding new interest rate on deposit and lending rates which is going to be effective from Magh 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56956,0.0
"Dec 15, 2024","Standard Chartered Bank Nepal Limited has published a notice regarding new interest rate on deposit and lending rates which is going to be effective from Poush 01, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56390,0.0
