date,headline,link,sentiment
"Aug 13, 2025",Shivam Cements Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60954,0.0
"May 13, 2025",Shivam Cements Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59783,0.0
"Feb 21, 2025","42,98,085.00 Units (8.55%) of Bonus Share has been listed in NEPSE - SHIVAM CEMENTS LTD (SHIVM)",https://merolagani.com/AnnouncementDetail.aspx?id=58697,2.0
"Feb 18, 2025","""Sanima Equity Fund"" operated by Sanima Capital Limited is going to sell 4,063.00 units non-listed bonus/right shares of Shivam Cements Limited in an auction to the interested person, firm, company, associations/institutions starting from 6th - 12th Falgun, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=58603,1.8
"Feb 10, 2025",Shivam Cements Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58413,0.0
"Jan 31, 2025",Shivam Cements Limited has published its 9th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=58271,0.0
"Dec 31, 2024",Price Adjusted to Rs.512.21 for 8.55% Bonus shares on previous closing price of Rs.556.00 - Shivam Cements Limited (SHIVM),https://merolagani.com/AnnouncementDetail.aspx?id=56819,2.0
"Dec 20, 2024","Shivam Cements Limited has published a notice regarding a book closure date for its upcoming 9th AGM on Poush 17, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56579,0.0
"Dec 19, 2024","Shivam Cements Limited has proclaimed its 9th AGM going to be held on Poush 29, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56528,0.0
"Dec 16, 2024","Shivam Cements Limited has published a notice regarding a book closure date for its upcoming 9th AGM on Poush 17, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56443,0.0
"Dec 16, 2024","Declaration of 8.55% Bonus Share, 0.45% Cash Dividend, 9th AGM and a Book Closure Date - Shivam Cements Limited (SHIVM)",https://merolagani.com/AnnouncementDetail.aspx?id=56429,2.0
"Nov 14, 2024",Shivam Cements Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55860,0.0
"Aug 11, 2024",Shivam Cements Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54686,0.0
"May 11, 2024",Shivam Cements Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53715,0.0
"Mar 01, 2024","Shivam Cements Limited has distributed 14.25% bonus share directly to the demat account of its shareholders on Falgun 14, 2080 and has urged them to dematerialize their shares.",https://merolagani.com/AnnouncementDetail.aspx?id=52910,2.0
"Feb 25, 2024","62,70,000.00 Units (14.25%) of Bonus Shares has been listed in NEPSE - Shivm Cements Limited (SHIVM)",https://merolagani.com/AnnouncementDetail.aspx?id=52871,2.0
"Feb 10, 2024",Shivam Cements Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52573,0.0
"Jan 31, 2024",Shivam Cements Limited has published its 8th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=52416,0.0
"Jan 30, 2024",8th AGM Minutes - Shivam Cements Limited (SHIVM),https://merolagani.com/AnnouncementDetail.aspx?id=52412,0.0
"Jan 03, 2024",Price Adjusted of Rs.517.29 for 14.25% bonus shares on previous closing price of Rs.591.00 - Shivam Cements Limited (SHIVM),https://merolagani.com/AnnouncementDetail.aspx?id=51976,2.0
"Dec 28, 2023","Shivam Cements Limited has published a notice regarding a book closure date of its upcoming 8th AGM on Poush 19, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51878,0.0
"Dec 20, 2023","Shivam Cements Limited has proclaimed its 8th AGM going to be held on Poush 27, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51697,0.0
"Dec 19, 2023",Notice on a Book Closure Date and Declaration of 14.25% Bonus Share and 0.75% Cash Dividend - Shivam Cements Limited (SHIVM),https://merolagani.com/AnnouncementDetail.aspx?id=51682,2.0
"Nov 10, 2023",Shivam Cements Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51019,0.0
"Aug 15, 2023",Shivam Cements Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49817,0.0
"May 12, 2023",Shivam Cements Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48432,0.0
"Feb 10, 2023",Shivam Cements Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46750,0.0
"Jan 30, 2023","Shivam Cements Limited has distributed 10.53% cash dividend directly to the bank account of its shareholders on Magh 05, 2079 and has urged to dematerialize their shares/accounts.",https://merolagani.com/AnnouncementDetail.aspx?id=46774,2.0
"Jan 29, 2023",Shivam Cements Limited has published its 7th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=46763,0.0
"Dec 28, 2022","Shivam Cements Limited has published a book closure date for its upcoming 7th AGM on Poush 20, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=46155,0.0
"Dec 19, 2022","Shivam Cements Limited has proclaimed its 7th AGM going to be held on Poush 29, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45926,0.0
"Dec 15, 2022",Declaration of 10.53% Cash Dividend - Shivam Cements Limited (SHIVM),https://merolagani.com/AnnouncementDetail.aspx?id=45865,2.0
"Dec 15, 2022",7th Annual General Meeting and a Book Closure Date - Shivam Cements Limited (SHIVM),https://merolagani.com/AnnouncementDetail.aspx?id=45864,0.0
"Nov 14, 2022",Shivam Cements Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45278,0.0
"Sep 14, 2022",Shivam Cements Limited has published its SGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=44634,0.0
"Aug 15, 2022","Shivam Cements Limited has published a notice regarding a book closure date of its upcoming SGM on Bhadra 02, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=44302,0.0
"Aug 15, 2022",Shivam Cements Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44225,0.0
"Aug 09, 2022","Shivam Cements Limited has proclaimed its SGM going to be held on Bhadra 10, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=44252,0.0
"May 11, 2022",Shivam Cements Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=43081,0.0
"Feb 11, 2022",Shivam Cements Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41997,0.0
"Nov 26, 2021",Shivam Cements Limited has published its 6th AGM minutes.,https://merolagani.com/AnnouncementDetail.aspx?id=40941,0.0
"Nov 26, 2021",Shivam Cements Limited has deposited 29% cash dividend directly to the bank account of its shareholders and has urged to dematerialized their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=40936,2.0
"Nov 16, 2021",Shivam Cements Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=40806,0.0
"Oct 22, 2021","Shivam Cements Limited has published a notice regarding a book closure date on Kartik 08, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=40379,0.0
"Oct 10, 2021",Proposed 29% Cash Dividend - Shivam Cements Limited (SHIVM),https://merolagani.com/AnnouncementDetail.aspx?id=40259,2.0
"Oct 09, 2021","Shivam Cements Limited has proclaimed its 6th AGM going to be held on Kartik 16, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=40250,0.0
"Aug 16, 2021",Shivam Cements Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=39719,0.0
"May 12, 2021",Shivam Cements Limited has published its provisional financial statement from the third quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38711,0.0
"Feb 09, 2021",Shivam Cements Limited has published its provisional financial statement from the second quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=37614,0.0
"Nov 15, 2020",Shivam Cements Limited has published its provisional financial statement from the first quarter of the fiscal year 2077/78.,https://merolagani.com/AnnouncementDetail.aspx?id=36672,0.0
