date,headline,link,sentiment
"Sep 04, 2025",Shikhar Insurance Company Limited has published a notice requesting claimants to submit the necessary documents within 35 days. Incomplete claims will be closed.,https://merolagani.com/AnnouncementDetail.aspx?id=61514,0.0
"Aug 15, 2025",Shikhar Insurance Company Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61070,0.0
"Jun 04, 2025",Shikhar Insurance Company Limited has published a notice requesting claimants to submit the necessary documents within 35 days. Incomplete claims will be closed.,https://merolagani.com/AnnouncementDetail.aspx?id=60043,0.0
"Jun 02, 2025","26,81,518.00 Units (10%) of Bonus Share of has been listed in NEPSE Shikhar Insurance Co. Limited (SICL)",https://merolagani.com/AnnouncementDetail.aspx?id=60038,2.0
"May 26, 2025",20th AGM Minutes - Shikhar Insurance Company Limited (SICL),https://merolagani.com/AnnouncementDetail.aspx?id=59955,0.0
"May 26, 2025",19th AGM Minutes - Shikhar Insurance Company Limited (SICL),https://merolagani.com/AnnouncementDetail.aspx?id=59954,0.0
"May 12, 2025",Shikhar Insurance Company Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59691,0.0
"Mar 04, 2025",Shikhar Insurance Company Limited has published a notice to the policyholders or their representatives to submit the necessary documents regarding the claim-over on Insurance Claims within the given timeframe.,https://merolagani.com/AnnouncementDetail.aspx?id=58807,0.0
"Feb 12, 2025",Shikhar Insurance Company Limited has published its provisional financial statement from the second quarter of the fiscal year 20801/82,https://merolagani.com/AnnouncementDetail.aspx?id=58583,0.0
"Feb 11, 2025",Price Adjusted to Rs.765.45 for 10% Bonus Shares on previous closing price of Rs.842.00 - Shikhar Insurance Co. Ltd. (SICL),https://merolagani.com/AnnouncementDetail.aspx?id=58547,2.0
"Feb 04, 2025","Shikhar Insurance Company Limited has proclaimed its 20th AGM going to held on Falgun 13, 2081 and has published its annual financial statement for the fiscal year 2080/81",https://merolagani.com/AnnouncementDetail.aspx?id=58304,0.0
"Jan 31, 2025",Declaration of 10% Bonus Share and 0.5263% Cash Dividend - Shikhar Insurance Company Limited (SICL),https://merolagani.com/AnnouncementDetail.aspx?id=58273,2.0
"Dec 07, 2024",Shikhar Insurance Company Limited has published a notice to the insured or insured representatives to submit the necessary documents regarding the claim-over on Insurance Claims within the given time frame.,https://merolagani.com/AnnouncementDetail.aspx?id=56247,0.0
"Nov 15, 2024",Shikhar Insurance Company Limited has published its provisional financial statement from the first quarter of the fiscal year 20801/82,https://merolagani.com/AnnouncementDetail.aspx?id=55954,0.0
"Sep 05, 2024",Shikhar Insurance Company Limited has published a notice to the insured or insured representatives to submit the necessary documents regarding the claim-over on Insurance Claims within the given time frame.,https://merolagani.com/AnnouncementDetail.aspx?id=55094,0.0
