date,headline,link,sentiment
"Aug 27, 2025","Sikles Hydropower Limited has issued a notice to the promoter shareholders, Local residents, employees, investors, concerned regulatory bodies and all other stakeholders regarding the expiration of the lock-in period of 73,84,500.00 units share on 10th of Ashwin, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=61352,0.8
"Aug 11, 2025","Declaration of 15% Bonus Share, 0.789% Cash Dividend and 1:1 Ratio Right Share - Sikles Hydropower Limited (SIKLES)",https://merolagani.com/AnnouncementDetail.aspx?id=60901,2.0
"Aug 11, 2025",Sikles Hydropower Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60881,0.0
"May 12, 2025",Sikles Hydropower Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59711,0.0
"Feb 11, 2025",Sikles Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58460,0.0
"Nov 15, 2024",Sikles Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55958,0.0
"Aug 14, 2024",Sikles Hydropower Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54786,0.0
"May 10, 2024",Sikles Hydropower Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53705,0.0
"Feb 08, 2024",Sikles Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52516,0.0
"Dec 21, 2023","Sikles Hydropower Limited has proclaimed its 18th AGM going to be held on Poush 27, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51713,0.0
"Nov 12, 2023",Sikles Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51202,0.0
"Aug 16, 2023",Sikles Hydropower Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49887,0.0
"May 11, 2023",Sikles Hydropower Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48402,0.0
"Mar 14, 2023","Sikles Hydropower Limited has proclaimed its 18th AGM going to be held on Chaitra 20, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=47547,0.0
"Feb 13, 2023",Sikles Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=47092,0.0
"Nov 16, 2022",Sikles Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45403,0.0
"Nov 14, 2022","85,00,000.00 Units of IPO Shares has been listed in NEPSE. The Open Price Range is set as Rs.116.86 to Rs.350.58 for the First Transactions - Sikles Hydropower Limited (SIKLES)",https://merolagani.com/AnnouncementDetail.aspx?id=45296,2.0
"Nov 11, 2022",Sikles Hydropower Limited has appointed B.O.K. Capital Market Limited as its share registrar.,https://merolagani.com/AnnouncementDetail.aspx?id=45246,0.3
