date,headline,link,sentiment
"Sep 01, 2025",Information Regarding Share Structure Ratio - Swabalamban Laghubitta Bittiya Sanstha Limited (SWBBL),https://merolagani.com/AnnouncementDetail.aspx?id=61491,0.0
"Aug 14, 2025",Swabalamban Laghubitta Bittiya Sanstha Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=60995,0.0
"Aug 07, 2025","Swabalamban Laghubitta Bittiya Sanstha Limited has published a notice to its shareholders to collect unclaimed cash dividends for the fiscal year 2063/64, 2065/66 to 2075/76 along with fiscal year 2076/77 to 2079/80 respectively and has urged them to present their share certificates along with valid identities within the specified timeframe.",https://merolagani.com/AnnouncementDetail.aspx?id=60833,1.0
"Jul 14, 2025","Swabalamban Laghubitta Bittiya Sanstha Limited has appointed NIMB Ace Capital Limited as its share registrar starting from Shrawan 01, 2082",https://merolagani.com/AnnouncementDetail.aspx?id=60469,0.3
"May 13, 2025",Swabalamban Laghubitta Bittiya Sanstha Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59768,0.0
"Mar 19, 2025",Swabalamban Laghubitta Bittiya Sanstha Limited has published its annual financial statement for the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=59007,0.0
"Jan 29, 2025",Swabalamban Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58265,0.0
"Dec 11, 2024","20,66,250.00 Units (14.25%) of Bonus Share has been listed in NEPSE - Swabalamban Laghubitta Bittiya Sanstha Limited (SWBBL)",https://merolagani.com/AnnouncementDetail.aspx?id=56328,2.0
"Nov 15, 2024",Swabalamban Laghubitta Bittiya Sanstha Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55973,0.0
"Oct 25, 2024",Price Adjusted of Rs.940.92 for 14.25% Bonus shares on previous closing price of Rs.1075.00 - Swabalamban Laghubitta Bittiya Sanstha Limited (SWBBL),https://merolagani.com/AnnouncementDetail.aspx?id=55647,2.0
